ticker,route,name_src,bond_code,bond_name,quote_date,curve_date,maturity,tenor_yrs,coupon,price,yield_pct,tsy_pct,spread_bp,ytm_check_gap_bp
AAPL,cusip6,catalogue,US037833AT77,APPLE INC 4.45% 06May2044,2026-08-19,2026-08-13,2044-05-06,17.7139,4.45,85.983,5.7184,5.0697,64.87,-0.0
AAPL,cusip6,catalogue,US037833BA77,APPLE INC 3.45% 09Feb2045,2026-08-19,2026-08-13,2045-02-09,18.4778,3.45,73.748,5.7813,5.1132,66.81,-0.1
AAPL,cusip6,catalogue,US037833BH21,APPLE INC 4.375% 13May2045,2026-08-19,2026-08-13,2045-05-13,18.7324,4.375,83.865,5.7978,5.1277,67.01,-0.0
AAPL,cusip6,catalogue,US037833BX70,APPLE INC 4.65% 23Feb2046,2026-08-19,2026-08-13,2046-02-23,19.5154,4.65,87.342,5.7366,5.1724,56.42,-0.0
AAPL,cusip6,catalogue,US037833CD08,APPLE INC 3.85% 04Aug2046,2026-08-19,2026-08-13,2046-08-04,19.9589,3.85,76.799,5.8325,5.1977,63.48,-0.0
AAPL,cusip6,catalogue,US037833CH12,APPLE INC 4.25% 09Feb2047,2026-08-19,2026-08-13,2047-02-09,20.4764,4.25,81.2502,5.8305,5.2005,63.0,-0.0
AAPL,cusip6,catalogue,US037833DD98,APPLE INC 3.75% 12Sep2047,2026-08-19,2026-08-13,2047-09-12,21.065,3.75,74.393,5.887,5.2011,68.59,-0.0
AAPL,cusip6,catalogue,US037833DG20,APPLE INC 3.75% 13Nov2047,2026-08-19,2026-08-13,2047-11-13,21.2348,3.75,74.699,5.845,5.2012,64.38,-0.0
AAPL,cusip6,fundamentals,US037833DQ02,APPLE INC 2.95% 11Sep2049,2026-08-19,2026-08-13,2049-09-11,23.0637,2.95,63.08,5.9,5.2031,69.69,-0.0
AAPL,cusip6,fundamentals,US037833DW79,APPLE INC 2.65% 11May2050,2026-08-19,2026-08-13,2050-05-11,23.7262,2.65,58.464,5.9351,5.2037,73.14,-0.0
AAPL,cusip6,fundamentals,US037833DZ01,APPLE INC 2.4% 20Aug2050,2026-08-19,2026-08-13,2050-08-20,24.0027,2.4,55.261,5.9129,5.204,70.89,-0.0
AAPL,cusip6,fundamentals,US037833EF38,APPLE INC 2.65% 08Feb2051,2026-08-19,2026-08-13,2051-02-08,24.4736,2.65,58.102,5.9103,5.2045,70.58,-0.1
AAPL,cusip6,fundamentals,US037833EK23,APPLE INC 2.7% 05Aug2051,2026-08-19,2026-08-13,2051-08-05,24.961,2.7,58.486,5.898,5.205,69.3,-0.0
AAPL,cusip6,catalogue,US037833EQ92,AAPL 3.95 08-AUG-52,2026-08-19,2026-08-13,2052-08-08,25.9713,3.95,74.248,5.9001,5.206,69.41,-0.0
AAPL,cusip6,fundamentals,US037833EA41,APPLE INC 2.55% 20Aug2060,2026-08-19,2026-08-13,2060-08-20,34.0041,2.55,51.186,5.8885,5.21,67.85,-0.0
AAPL,cusip6,fundamentals,US037833EG11,APPLE INC 2.8% 08Feb2061,2026-08-19,2026-08-13,2061-02-08,34.475,2.8,54.287,5.927,5.21,71.7,-0.0
AAPL,cusip6,fundamentals,US037833EL06,APPLE INC 2.85% 05Aug2061,2026-08-19,2026-08-13,2061-08-05,34.9624,2.85,54.719,5.938,5.21,72.8,-0.0
AAPL,cusip6,catalogue,US037833ER75,AAPL 4.1 08-AUG-62,2026-08-19,2026-08-13,2062-08-08,35.9699,4.1,72.816,5.9382,5.21,72.82,-0.0
ABBV,cusip6,fundamentals,US00287YBV02,ABBVIE INC 2.95% 21Nov2026,2026-08-19,2026-08-13,2026-11-21,0.2574,2.95,99.7,4.1191,3.871,24.81,-0.0
ABBV,cusip6,catalogue,US00287YBF51,ABBVIE INC 4.25% 14Nov2028,2026-08-19,2026-08-13,2028-11-14,2.2396,4.25,99.586,4.444,4.162,28.2,-0.1
ABBV,cusip6,fundamentals,US00287YBX67,ABBVIE INC 3.2% 21Nov2029,2026-08-19,2026-08-13,2029-11-21,3.258,3.2,95.668,4.6489,4.2155,43.34,-0.2
ABBV,cusip6,fundamentals,US00287YCY32,ABBVIE INC 4.55% 15Mar2035,2026-08-19,2026-08-13,2035-03-15,8.5695,4.55,95.196,5.2529,4.5537,69.92,-0.0
ABBV,cusip6,catalogue,US00287YAR09,ABBVIE INC 4.5% 14May2035,2026-08-19,2026-08-13,2035-05-14,8.7337,4.5,94.853,5.241,4.5625,67.85,-0.0
ABBV,cusip6,catalogue,US00287YAV11,ABBVIE INC 4.3% 14May2036,2026-08-19,2026-08-13,2036-05-14,9.7358,4.3,92.242,5.3311,4.6159,71.52,-0.0
ABBV,cusip6,fundamentals,US00287YCA55,ABBVIE INC 4.05% 21Nov2039,2026-08-19,2026-08-13,2039-11-21,13.2567,4.05,85.78,5.5818,4.8156,76.62,-0.0
ABBV,cusip6,catalogue,US00287YAM12,ABBVIE INC 4.4% 06Nov2042,2026-08-19,2026-08-13,2042-11-06,16.2163,4.4,85.1842,5.8238,4.9843,83.95,-0.0
ABBV,cusip6,fundamentals,US00287YDA47,ABBVIE INC 4.85% 15Jun2044,2026-08-19,2026-08-13,2044-06-15,17.8234,4.85,88.744,5.8768,5.0759,80.09,-0.0
ABBV,cusip6,fundamentals,US00287YDB20,ABBVIE INC 4.75% 15Mar2045,2026-08-19,2026-08-13,2045-03-15,18.5708,4.75,86.516,5.96,5.1185,84.15,-0.0
ABBV,cusip6,catalogue,US00287YAS81,ABBVIE INC 4.7% 14May2045,2026-08-19,2026-08-13,2045-05-14,18.7351,4.7,86.381,5.9113,5.1279,78.34,-0.0
ABBV,cusip6,catalogue,US00287YAW93,ABBVIE INC 4.45% 14May2046,2026-08-19,2026-08-13,2046-05-14,19.7344,4.45,82.877,5.9334,5.1849,74.85,-0.0
ABBV,cusip6,catalogue,US00287YBD04,ABBVIE INC 4.875% 14Nov2048,2026-08-19,2026-08-13,2048-11-14,22.2396,4.875,86.622,5.9688,5.2022,76.66,-0.0
ABBV,cusip6,fundamentals,US00287YCB39,ABBVIE INC 4.25% 21Nov2049,2026-08-19,2026-08-13,2049-11-21,23.258,4.25,78.511,5.9707,5.2033,76.74,-0.0
ABT,cusip6,fundamentals,US002824BG43,ABBOTT LABS 4.75% 30Nov2036,2026-08-14,2026-08-13,2036-11-30,10.2971,4.75,95.74,5.2914,4.6469,64.45,-0.0
ABT,name_block,fundamentals,US002819AC45,ABBOTT LABORATORIES 6.15% 30Nov2037,2026-08-13,2026-08-13,2037-11-30,11.2991,6.15,107.048,5.311,4.704,60.7,0.0
ABT,cusip6,fundamentals,US002824AV29,ABBOTT LABS 6% 01Apr2039,2026-08-14,2026-08-13,2039-04-01,12.6297,6.0,105.053,5.4406,4.7799,66.07,0.0
ABT,cusip6,fundamentals,US002824AY67,ABBOTT LABS 5.3% 27May2040,2026-08-14,2026-08-13,2040-05-27,13.7851,5.3,98.326,5.4737,4.8457,62.8,-0.0
ABT,cusip6,fundamentals,US002824BN93,ABBOTT LABS 4.75% 15Apr2043,2026-08-13,2026-08-13,2043-04-15,16.6708,4.75,89.3042,5.7558,5.0102,74.56,-0.0
ABT,cusip6,fundamentals,US002824BH26,ABBOTT LABS 4.9% 30Nov2046,2026-08-14,2026-08-13,2046-11-30,20.2957,4.9,88.3122,5.8945,5.2003,69.42,-0.0
ACGL,cusip6,catalogue,US03937LAA35,ARCH CAP GROUP LTD 7.35% 01May2034,2026-07-30,2026-07-30,2034-05-01,7.7536,7.35,112.367,5.3758,4.5602,81.56,0.1
ACGL,name_block,fundamentals,US03939AAA51,ARCH CAP GROUP LTD 3.635% 30Jun2050,2026-08-19,2026-08-13,2050-06-30,23.8631,3.635,69.66,6.0546,5.2039,85.07,-0.0
ADBE,name_block,catalogue,US00724PAC32,Adobe 2.15% 1feb2027 USD,2026-08-19,2026-08-13,2027-02-01,0.4545,2.15,99.098,4.2,3.8973,30.27,-2.8
ADBE,name_block,catalogue,US00724PAD15,Adobe 2.3% 1feb2030 USD,2026-08-19,2026-08-13,2030-02-01,3.4552,2.3,92.292,4.7501,4.2273,52.28,-0.5
ADI,cusip6,catalogue,US032654AN54,ANALOG DEVICES INC 3.5% 05Dec2026,2026-08-19,2026-08-13,2026-12-05,0.2957,3.5,99.804,4.1499,3.8761,27.38,0.9
ADI,cusip6,catalogue,US032654AU97,ADI 1.7 01-OCT-28,2026-08-19,2026-08-13,2028-10-01,2.1191,1.7,94.506,4.4512,4.156,29.52,-0.7
ADI,cusip6,catalogue,US032654AV70,ADI 2.1 01-OCT-31,2026-08-19,2026-08-13,2031-10-01,5.117,2.1,87.719,4.8392,4.3288,51.04,-0.2
ADI,cusip6,catalogue,US032654AW53,ADI 2.8 01-OCT-41,2026-08-19,2026-08-13,2041-10-01,15.1184,2.8,70.365,5.7633,4.9217,84.16,-0.1
ADI,cusip6,catalogue,US032654AK16,ANALOG DEVICES INC 5.3% 15Dec2045,2026-08-18,2026-08-13,2045-12-15,19.3265,5.3,91.3983,6.0608,5.1616,89.92,-0.0
ADI,cusip6,catalogue,US032654AX37,ADI 2.95 01-OCT-51,2026-08-18,2026-08-13,2051-10-01,25.1198,2.95,59.8818,6.0879,5.2051,88.28,-0.0
ADM,cusip6,catalogue,US039483AM40,ARCHER-DANIELS MIDLAND CO 7.5% 15Mar2027,2026-08-19,2026-08-13,2027-03-15,0.5695,7.5,101.977,3.947,3.9126,3.44,0.0
ADM,name_block,fundamentals,US039482AB02,ARCHER DANIELS MIDLAND CO 3.25% 27Mar2030,2026-08-19,2026-08-13,2030-03-27,3.603,3.25,95.109,4.7419,4.2362,50.57,-0.0
ADM,name_block,catalogue,US039482AD67,ADM 2.9 01-MAR-32,2026-08-19,2026-08-13,2032-03-01,5.5332,2.9,90.709,4.8344,4.36,47.44,-0.1
ADM,cusip6,catalogue,US039483BE15,ARCHER-DANIELS MIDLAND CO 4.535% 26Mar2042,2026-08-11,2026-08-11,2042-03-26,15.6222,4.535,86.708,5.84,5.0092,83.08,0.3
ADM,cusip6,catalogue,US039483BQ45,ARCHER-DANIELS MIDLAND CO 4.5% 15Mar2049,2026-08-19,2026-08-13,2049-03-15,22.5708,4.5,82.4845,5.9157,5.2026,71.31,-0.0
ADM,name_block,catalogue,US039482AC84,ADM 2.7 15-SEP-51,2026-08-19,2026-08-13,2051-09-15,25.0732,2.7,57.856,5.959,5.2051,75.39,-0.0
ADP,cusip6,fundamentals,US053015AG87,AUTOMATIC DATA PROCESSING INC 1.7% 15May2028,2026-08-13,2026-08-13,2028-05-15,1.755,1.7,95.8,4.2095,4.1059,10.36,-0.3
ADP,cusip6,fundamentals,US053015AF05,AUTOMATIC DATA PROCESSING INC 1.25% 01Sep2030,2026-08-14,2026-08-13,2030-09-01,4.0493,1.25,87.6605,4.6374,4.263,37.44,-1.1
ADSK,cusip6,catalogue,US052769AE63,AUTODESK INC 3.5% 15Jun2027,2026-08-19,2026-08-13,2027-06-15,0.8214,3.5,99.5407,4.0706,3.9462,12.44,-0.1
ADSK,cusip6,catalogue,US052769AH94,ADSK 2.4 15-DEC-31,2026-08-19,2026-08-13,2031-12-15,5.3224,2.4,87.529,5.1061,4.3442,76.19,-0.1
AEE,cusip6,catalogue,US023608AL60,AEE 1.95 15-MAR-27,2026-08-14,2026-08-13,2027-03-15,0.5832,1.95,98.3,4.9683,3.9144,105.39,-2.8
AEE,name_block,catalogue,US906548CM25,UNION ELEC CO 2.95% 15Jun2027,2026-08-19,2026-08-13,2027-06-15,0.8214,2.95,98.893,4.3351,3.9462,38.89,-0.3
AEE,cusip6,catalogue,US023608AK87,AEE 1.75 15-MAR-28,2026-08-14,2026-08-13,2028-03-15,1.5852,1.75,95.759,4.5656,4.0753,49.03,-1.3
AEE,cusip6,fundamentals,US023608AJ15,AMEREN CORP 3.5% 15Jan2031,2026-08-14,2026-08-13,2031-01-15,4.4216,3.5,94.187,4.9834,4.2853,69.81,-0.3
AEE,name_block,catalogue,US906548CT77,AEE 2.15 15-MAR-32,2026-08-14,2026-08-13,2032-03-15,5.5852,2.15,86.967,4.8441,4.3639,48.02,-0.3
AEE,name_block,catalogue,US02361DAY67,AEE 3.85 01-SEP-32,2026-08-14,2026-08-13,2032-09-01,6.0507,3.85,94.037,5.0061,4.3988,60.73,-0.2
AEE,name_block,catalogue,US906548CH30,UNION ELEC CO 8.45% 15Mar2039,2026-08-19,2026-08-13,2039-03-15,12.5695,8.45,124.037,5.7388,4.7765,96.23,-0.0
AEE,name_block,catalogue,US906548CJ95,UNION ELEC CO 3.9% 15Sep2042,2026-08-19,2026-08-13,2042-09-15,16.0739,3.9,79.885,5.8472,4.9762,87.1,-0.0
AEE,name_block,fundamentals,US02361DAQ34,AMEREN ILL CO 4.15% 15Mar2046,2026-08-11,2026-08-11,2046-03-15,19.5921,4.15,78.8082,6.0038,5.2276,77.62,-0.0
AEE,name_block,fundamentals,US02361DAR17,AMEREN ILL CO 3.7% 01Dec2047,2026-08-13,2026-08-13,2047-12-01,21.3005,3.7,72.544,6.0,5.2013,79.87,-0.0
AEE,name_block,catalogue,US906548CN08,UNION ELEC CO 4% 01Apr2048,2026-08-18,2026-08-13,2048-04-01,21.6208,4.0,74.656,6.1312,5.2016,92.96,-0.0
AEE,name_block,catalogue,US02361DAX84,AEE 2.9 15-JUN-51,2026-07-21,2026-07-21,2051-06-15,24.9008,2.9,61.8587,5.8194,5.1351,68.43,-0.0
AEE,name_block,catalogue,US906548CU41,AEE 3.9 01-APR-52,2026-08-14,2026-08-13,2052-04-01,25.6318,3.9,71.785,6.0881,5.2056,88.25,-0.0
AEE,name_block,catalogue,US02361DAZ33,AEE 5.9 01-DEC-52,2026-08-14,2026-08-13,2052-12-01,26.2998,5.9,97.139,6.1194,5.2063,91.31,-0.0
AEE,name_block,catalogue,US906548CW07,AEE 5.45 15-MAR-53,2026-08-13,2026-08-13,2053-03-15,26.5873,5.45,91.612,6.0905,5.2066,88.39,-0.0
AEP,name_block,catalogue,US845437BP68,SOUTHWESTERN ELEC PWR CO 2.75% 01Oct2026,2026-08-19,2026-08-13,2026-10-01,0.1177,2.75,99.864,3.908,3.87,3.8,-0.9
AEP,name_block,fundamentals,US00115AAE91,AEP TRANSMISSION CO LLC 3.1% 01Dec2026,2026-08-14,2026-08-13,2026-12-01,0.2984,3.1,99.669,4.2321,3.8765,35.56,-1.8
AEP,name_block,catalogue,US037735CW53,APPALACHIAN PWR CO 3.3% 01Jun2027,2026-08-19,2026-08-13,2027-06-01,0.783,3.3,99.13,4.4405,3.9411,49.94,-0.4
AEP,cusip6,catalogue,US025537AV36,AEP 5.75 01-NOV-27,2026-08-14,2026-08-13,2027-11-01,1.2156,5.75,100.92,4.8939,4.0088,88.51,6.0
AEP,cusip6,fundamentals,US025537AJ08,AMERICAN ELEC PWR CO INC 3.2% 13Nov2027,2026-08-14,2026-08-13,2027-11-13,1.2485,3.2,98.462,4.4864,4.0147,47.17,-1.0
AEP,name_block,catalogue,US454889AS52,INDIANA MICH PWR CO 3.85% 15May2028,2026-08-10,2026-08-10,2028-05-15,1.7632,3.85,98.839,4.54,4.2003,33.97,-0.1
AEP,name_block,fundamentals,US00108WAH34,AEP TEX INC 3.95% 01Jun2028,2026-08-14,2026-08-13,2028-06-01,1.7988,3.95,98.7986,4.6545,4.1138,54.07,-0.4
AEP,name_block,catalogue,US845437BR25,SOUTHWESTERN ELEC PWR CO 4.1% 15Sep2028,2026-08-19,2026-08-13,2028-09-15,2.0753,4.1,98.871,4.6773,4.1538,52.35,-0.2
AEP,cusip6,fundamentals,US025537AM37,AMERICAN ELEC PWR CO INC 4.3% 01Dec2028,2026-08-14,2026-08-13,2028-12-01,2.2998,4.3,99.31,4.6184,4.165,45.34,-0.1
AEP,name_block,catalogue,US00108WAM29,AEP Texas 2.1% 1jul2030,2026-08-13,2026-08-13,2030-07-01,3.8823,2.1,90.33,4.8639,4.2529,61.1,-0.1
AEP,name_block,catalogue,US677415CT66,AEP 1.625 15-JAN-31,2026-08-13,2026-08-13,2031-01-15,4.4244,1.625,87.184,4.8839,4.2855,59.84,-0.3
AEP,name_block,catalogue,US037735CZ84,AEP 2.7 01-APR-31,2026-08-14,2026-08-13,2031-04-01,4.6297,2.7,91.007,4.897,4.2978,59.92,-0.3
AEP,name_block,catalogue,US744533BM10,AEP 2.2 15-AUG-31,2026-08-14,2026-08-13,2031-08-15,5.0021,2.2,87.465,5.0726,4.3202,75.24,-0.4
AEP,name_block,catalogue,US00108WAP59,AEP 4.7 15-MAY-32,2026-08-14,2026-08-13,2032-05-15,5.7522,4.7,97.888,5.1276,4.3764,75.12,-0.0
AEP,name_block,catalogue,US037735DA25,AEP 4.5 01-AUG-32,2026-08-14,2026-08-13,2032-08-01,5.9658,4.5,96.894,5.1111,4.3924,71.87,-0.1
AEP,cusip6,catalogue,US025537AW19,AEP 5.95 01-NOV-32,2026-08-14,2026-08-13,2032-11-01,6.2177,5.95,104.259,5.1111,4.4113,69.98,2.8
AEP,name_block,catalogue,US744533BQ24,AEP 5.25 15-JAN-33,2026-08-14,2026-08-13,2033-01-15,6.423,5.25,99.753,5.295,4.4267,86.83,0.0
AEP,name_block,catalogue,US677415CF62,OHIO PWR CO 6.6% 15Feb2033,2026-08-19,2026-08-13,2033-02-15,6.4942,6.6,106.436,5.41,4.4321,97.79,0.1
AEP,cusip6,catalogue,US025537AX91,AEP 5.625 01-MAR-33,2026-08-14,2026-08-13,2033-03-01,6.5462,5.625,102.19,5.2128,4.436,77.68,1.2
AEP,name_block,catalogue,US037735BZ93,APPALACHIAN PWR CO 5.95% 15May2033,2026-08-19,2026-08-13,2033-05-15,6.7379,5.95,104.0053,5.235,4.4503,78.47,0.0
AEP,name_block,catalogue,US037735CE55,APPALACHIAN PWR CO 5.8% 01Oct2035,2026-08-18,2026-08-13,2035-10-01,9.1198,5.8,100.122,5.7815,4.5831,119.84,0.0
AEP,name_block,catalogue,US037735CG04,APPALACHIAN PWR CO 6.375% 01Apr2036,2026-08-19,2026-08-13,2036-04-01,9.6181,6.375,104.137,5.8063,4.6096,119.67,0.0
AEP,name_block,catalogue,US037735CK16,APPALACHIAN PWR CO 6.7% 15Aug2037,2026-08-18,2026-08-13,2037-08-15,10.9925,6.7,106.625,5.8731,4.6866,118.65,0.0
AEP,name_block,catalogue,US037735CM71,APPALACHIAN PWR CO 7% 01Apr2038,2026-08-19,2026-08-13,2038-04-01,11.6167,7.0,109.584,5.8503,4.7222,112.81,0.0
AEP,name_block,catalogue,US845437BL54,SOUTHWESTERN ELEC PWR CO 6.2% 15Mar2040,2026-08-19,2026-08-13,2040-03-15,13.5715,6.2,102.309,5.949,4.8336,111.54,0.0
AEP,name_block,catalogue,US037735CT25,APPALACHIAN PWR CO 4.4% 15May2044,2026-08-13,2026-08-13,2044-05-15,17.755,4.4,80.956,6.181,5.072,110.9,-0.0
AEP,name_block,catalogue,US845437BN11,SOUTHWESTERN ELEC PWR CO 3.9% 01Apr2045,2026-08-11,2026-08-11,2045-04-01,18.6393,3.9,73.98,6.2898,5.1752,111.46,-0.0
AEP,name_block,catalogue,US037735CV70,APPALACHIAN PWR CO 4.45% 01Jun2045,2026-08-19,2026-08-13,2045-06-01,18.7844,4.45,80.451,6.2296,5.1307,109.89,-0.0
AEP,name_block,catalogue,US454889AQ96,INDIANA MICH PWR CO 4.55% 15Mar2046,2026-08-14,2026-08-13,2046-03-15,19.5838,4.55,81.877,6.155,5.1763,97.87,-0.0
AEP,name_block,catalogue,US454889AR79,INDIANA MICH PWR CO 3.75% 01Jul2047,2026-08-19,2026-08-13,2047-07-01,20.8652,3.75,73.0352,6.04,5.2009,83.91,-0.0
AEP,name_block,fundamentals,US00108WAF77,AEP TEX INC 3.8% 01Oct2047,2026-08-13,2026-08-13,2047-10-01,21.1335,3.8,71.599,6.2364,5.2011,103.53,-0.0
AEP,name_block,catalogue,US00115AAH23,AEP TRANSMISSION CO LLC 3.75% 01Dec2047,2026-08-13,2026-08-13,2047-12-01,21.3005,3.75,72.64,6.0521,5.2013,85.08,-0.0
AEP,name_block,catalogue,US845437BQ42,SOUTHWESTERN ELEC PWR CO 3.85% 01Feb2048,2026-08-19,2026-08-13,2048-02-01,21.4538,3.85,71.465,6.2919,5.2015,109.04,-0.0
AEP,name_block,catalogue,US677415CQ28,OHIO PWR CO 4.15% 01Apr2048,2026-08-19,2026-08-13,2048-04-01,21.6181,4.15,75.814,6.195,5.2016,99.34,-0.0
AEP,name_block,catalogue,US00115AAJ88,AEP TRANSMISSION CO LLC 4.25% 15Sep2048,2026-08-12,2026-08-12,2048-09-15,22.0945,4.25,77.751,6.096,5.24,85.6,-0.0
AEP,name_block,catalogue,US00108WAJ99,AEP Texas 4.15% 1may2049,2026-08-07,2026-08-07,2049-05-01,22.7324,4.15,74.552,6.264,5.1973,106.67,-0.0
AEP,name_block,catalogue,US00115AAK51,AEP Transmission Company 3.8% 15jun2049,2026-08-06,2026-08-06,2049-06-15,22.8583,3.8,71.849,6.0989,5.22,87.89,-0.0
AEP,name_block,catalogue,US00108WAK62,AEP Texas 3.45% 15jan2050,2026-08-10,2026-08-10,2050-01-15,23.4333,3.45,65.728,6.257,5.25,100.7,-0.0
AEP,name_block,catalogue,US00115AAM18,AEP Transmission Company 3.65% 1apr2050,2026-08-11,2026-08-11,2050-04-01,23.6386,3.65,69.536,6.1,5.2464,85.36,-0.0
AEP,name_block,catalogue,US454889AU09,AEP 3.25 01-MAY-51,2026-08-11,2026-08-11,2051-05-01,24.7201,3.25,63.435,6.145,5.2453,89.97,-0.0
AEP,name_block,catalogue,US00108WAN02,AEP 3.45 15-MAY-51,2026-08-14,2026-08-13,2051-05-15,24.7502,3.45,63.9,6.3663,5.2048,116.15,-0.0
AEP,name_block,catalogue,US00115AAN90,AEP 2.75 15-AUG-51,2026-08-13,2026-08-13,2051-08-15,25.0048,2.75,57.833,6.04,5.205,83.5,-0.0
AEP,name_block,catalogue,US744533BP41,AEP 3.15 15-AUG-51,2026-08-12,2026-08-12,2051-08-15,25.0075,3.15,62.528,6.0866,5.24,84.66,-0.0
AEP,name_block,catalogue,US677415CU30,AEP 2.9 01-OCT-51,2026-08-14,2026-08-13,2051-10-01,25.1307,2.9,57.5727,6.2784,5.2051,107.33,-0.1
AEP,name_block,catalogue,US845437BT80,AEP 3.25 01-NOV-51,2026-08-10,2026-08-10,2051-11-01,25.2266,3.25,62.54,6.208,5.25,95.8,-0.0
AEP,name_block,catalogue,US00108WAQ33,AEP 5.25 15-MAY-52,2026-08-07,2026-08-07,2052-05-15,25.7714,5.25,86.548,6.3129,5.1942,111.87,-0.0
AEP,name_block,catalogue,US00115AAP49,AEP 4.5 15-JUN-52,2026-08-10,2026-08-10,2052-06-15,25.848,4.5,80.001,6.0375,5.25,78.75,-0.0
AEP,name_block,catalogue,US00115AAQ22,AEP 5.4 15-MAR-53,2026-08-14,2026-08-13,2053-03-15,26.5845,5.4,90.554,6.1238,5.2066,91.72,-0.0
AES,name_block,catalogue,US00109AAB35,AES 4.375 31-MAY-30,2026-08-03,2026-08-03,2030-05-31,3.8248,4.375,94.0,6.15,4.353,179.7,0.7
AES,cusip6,catalogue,US00130HCG83,AES 2.45 15-JAN-31,2026-08-19,2026-08-13,2031-01-15,4.4079,2.45,88.85,5.3236,4.2845,103.91,-0.3
AES,name_block,catalogue,US455434BV12,AES 5.65 01-DEC-32,2026-08-14,2026-08-13,2032-12-01,6.2998,5.65,102.967,5.073,4.4175,65.55,1.9
AFL,cusip6,catalogue,US001055AQ51,AFLAC INC 2.875% 15Oct2026,2026-08-19,2026-08-13,2026-10-15,0.1561,2.875,99.86,3.7591,3.87,1.0,0.5
