ticker,route,name_src,bond_code,bond_name,quote_date,curve_date,maturity,tenor_yrs,coupon,price,yield_pct,tsy_pct,spread_bp,ytm_check_gap_bp
A,cusip6,fundamentals,US00846UAK79,AGILENT TECHNOLOGIES INC 3.05% 22Sep2026,2026-08-14,2026-08-13,2026-09-22,0.1068,3.05,99.744,5.6284,3.87,175.84,-17.4
A,cusip6,fundamentals,US00846UAM36,"Agilent Technologies, 2.1% 4jun2030",2026-08-13,2026-08-13,2030-06-04,3.8084,2.1,90.739,4.7902,4.2485,54.17,-0.2
A,cusip6,fundamentals,US00846UAN19,AGILENT TECHNOLOGIES INC 2.3% 12Mar2031,2026-08-14,2026-08-13,2031-03-12,4.5749,2.3,89.279,4.95,4.2945,65.55,-0.3
AAPL,cusip6,fundamentals,US037833DN70,APPLE INC 2.05% 11Sep2026,2026-08-19,2026-08-13,2026-09-11,0.063,2.05,99.88,4.0751,3.87,20.51,-11.6
AAPL,cusip6,catalogue,US037833CJ77,APPLE INC 3.35% 09Feb2027,2026-08-19,2026-08-13,2027-02-09,0.4764,3.35,99.727,3.9383,3.9002,3.81,-0.6
AAPL,cusip6,catalogue,US037833CR93,APPLE INC 3.2% 11May2027,2026-08-19,2026-08-13,2027-05-11,0.7255,3.2,99.436,3.9914,3.9334,5.8,-0.1
AAPL,cusip6,catalogue,US037833CX61,APPLE INC 3% 20Jun2027,2026-08-19,2026-08-13,2027-06-20,0.835,3.0,99.195,3.9877,3.948,3.97,-0.2
AAPL,cusip6,catalogue,US037833DB33,APPLE INC 2.9% 12Sep2027,2026-08-19,2026-08-13,2027-09-12,1.065,2.9,98.767,4.0978,3.9817,11.61,-0.4
AAPL,cusip6,catalogue,US037833DK32,APPLE INC 3% 13Nov2027,2026-08-19,2026-08-13,2027-11-13,1.2348,3.0,98.581,4.1919,4.0123,17.96,-0.4
AAPL,cusip6,catalogue,US037833EC07,AAPL 1.2 08-FEB-28,2026-08-19,2026-08-13,2028-02-08,1.473,1.2,95.921,4.0935,4.0551,3.84,-1.2
AAPL,cusip6,fundamentals,US037833EH93,APPLE INC 1.4% 05Aug2028,2026-08-19,2026-08-13,2028-08-05,1.963,1.4,94.791,4.1983,4.1433,5.5,-0.7
AAPL,cusip6,catalogue,US037833EN61,AAPL 3.25 08-AUG-29,2026-08-19,2026-08-13,2029-08-08,2.9706,3.25,97.005,4.3364,4.1985,13.79,-0.1
AAPL,cusip6,fundamentals,US037833DP29,APPLE INC 2.2% 11Sep2029,2026-08-19,2026-08-13,2029-09-11,3.0637,2.2,93.973,4.3265,4.2038,12.27,-0.5
AAPL,cusip6,fundamentals,US037833DU14,APPLE INC 1.65% 11May2030,2026-08-19,2026-08-13,2030-05-11,3.7262,1.65,90.175,4.5463,4.2436,30.27,-0.1
AAPL,cusip6,fundamentals,US037833DY36,APPLE INC 1.25% 20Aug2030,2026-08-19,2026-08-13,2030-08-20,4.0027,1.25,88.245,4.4936,4.2602,23.34,-0.2
AAPL,cusip6,fundamentals,US037833ED89,APPLE INC 1.65% 08Feb2031,2026-08-19,2026-08-13,2031-02-08,4.4736,1.65,88.58,4.5007,4.2884,21.23,-0.4
AAPL,cusip6,fundamentals,US037833EJ59,APPLE INC 1.7% 05Aug2031,2026-08-19,2026-08-13,2031-08-05,4.961,1.7,87.38,4.5734,4.3177,25.57,-0.1
AAPL,cusip6,catalogue,US037833EP10,AAPL 3.35 08-AUG-32,2026-08-19,2026-08-13,2032-08-08,5.9713,3.35,93.848,4.5383,4.3928,14.55,-0.1
AAPL,cusip6,catalogue,US037833BW97,APPLE INC 4.5% 23Feb2036,2026-08-19,2026-08-13,2036-02-23,9.514,4.5,97.206,4.8706,4.6041,26.65,-0.0
AAPL,cusip6,fundamentals,US037833EE62,APPLE INC 2.375% 08Feb2041,2026-08-19,2026-08-13,2041-02-08,14.475,2.375,69.392,5.4631,4.8851,57.8,-0.1
AAPL,cusip6,catalogue,US037833AL42,APPLE INC 3.85% 04May2043,2026-08-19,2026-08-13,2043-05-04,16.7064,3.85,80.464,5.6748,5.0123,66.25,-0.0
