date,market_total,20_total,20_ratio,20_resid,25_total,25_ratio,25_resid,30_total,30_ratio,30_resid,40_total,40_ratio,40_resid,55_total,55_ratio,55_resid
1930-01-31,24.1853,,,,,,,,,,,,,30.4214,1.2578,8.8519
1930-02-28,24.9959,,,,,,,,,,,,,31.7092,1.2686,8.8575
1930-03-31,25.1311,,,,,,,,,,,,,32.0311,1.2746,8.8904
1930-04-30,25.0638,,,,,,,,,,,,,32.1187,1.2815,8.8123
1930-05-29,25.0345,,,,,,,,,,,,,32.0254,1.2792,8.7836
1930-06-30,24.8296,,,,,,,,,,,,,32.0409,1.2904,8.592
1930-07-31,25.1601,,,,,,,,,,,,,32.481,1.291,8.2608
1930-08-29,25.8795,,,,,,,,,,,,,33.0692,1.2778,8.0234
1930-09-30,26.2294,,,,,,,,,,,,,33.4269,1.2744,7.7064
1930-10-31,26.3891,,,,,,,,,,,,,33.3823,1.265,7.5211
1930-11-29,21.8802,,,,,,,,,,,,,27.7354,1.2676,7.2613
1930-12-31,20.8227,,,,,,,,,,,,,25.4598,1.2227,6.6152
1931-01-31,21.3832,,,,,,,,,,,,,26.0915,1.2202,6.8092
1931-02-28,21.371,,,,,,,,,,,,,26.0703,1.2199,6.6143
1931-03-31,21.8727,,,,,,,,,,,,,26.5549,1.2141,6.7516
1931-04-30,21.8557,,,,,,,,,,,,,26.4895,1.212,6.8964
1931-05-29,21.7977,,,,,,,,,,,,,26.3097,1.207,6.7507
1931-06-30,21.2171,,,,,,,,,,,,,25.5434,1.2039,6.6683
1931-07-31,20.9342,,,,,,,,,,,,,24.86,1.1875,6.8012
1931-08-31,21.3853,,,,,,,,,,,,,24.993,1.1687,6.8543
1931-09-30,19.5283,,,,,,,,,,,,,22.0682,1.1301,6.7901
1931-10-31,18.3337,,,,,,,,,,,,,19.9241,1.0867,6.2772
1931-11-30,17.8922,,,,,,,,,,,,,19.0305,1.0636,5.7921
1931-12-31,21.1427,,,,,,,,,,,,,22.1521,1.0477,6.4257
1932-01-30,21.6926,,,,,,,,,,,,,22.394,1.0323,6.4542
1932-02-29,22.1552,,,,,,,,,,,,,22.8607,1.0318,6.4877
1932-03-31,23.1265,,,,,,,,,,,,,23.2058,1.0034,6.5323
1932-04-30,24.1209,,,,,,,,,,,,,23.834,0.9881,6.5499
1932-05-31,24.0988,,,,,,,,,,,,,23.5831,0.9786,6.4096
1932-06-30,24.5874,,,,,,,,,,,,,24.4242,0.9934,6.6444
1932-07-30,24.9581,,,,,,,,,,,,,24.7577,0.992,6.8139
1932-08-31,27.1182,,,,,,,,,,,,,28.0173,1.0332,8.2359
1932-09-30,27.6473,,,,,,,,,,,,,28.688,1.0376,8.4011
1932-10-31,28.5236,,,,,,,,,,,,,29.2992,1.0272,8.4811
1932-11-30,29.6069,,,,,,,,,,,,,30.1614,1.0187,8.5182
1932-12-31,31.8327,,,,,,,,,,,,,32.0387,1.0065,8.6565
1933-01-31,32.2304,,,,,,,,,,,,,32.3015,1.0022,8.5253
1933-02-28,32.3659,,,,,,,,,,,,,32.5099,1.0045,8.5664
1933-03-31,32.1826,,,,,,,,,,,,,32.3506,1.0052,8.6149
1933-04-29,31.8064,,,,,,,,,,,,,31.8648,1.0018,8.8108
1933-05-31,32.315,,,,,,,,,,,,,32.2276,0.9973,9.67
1933-06-30,32.1975,,,,,,,,,,,,,32.0198,0.9945,10.963
1933-07-31,32.2096,,,,,,,,,,,,,32.5912,1.0118,11.9306
1933-08-31,32.1865,,,,,,,,,,,,,32.8033,1.0192,12.1823
1933-09-30,31.2974,,,,,,,,,,,,,32.0262,1.0233,12.1201
1933-10-31,32.1454,,,,,,,,,,,,,32.6246,1.0149,12.274
1933-11-29,30.7654,,,,,,,,,,,,,31.5436,1.0253,12.4909
1933-12-30,31.4393,,,,,,,,,,,,,31.9318,1.0157,12.7631
1934-01-31,31.7999,,,,,,,,,,,,,31.8229,1.0007,12.9331
1934-02-28,31.8685,,,,,,,,,,,,,32.0346,1.0052,13.1898
1934-03-31,31.0135,,,,,,,,,,,,,31.6933,1.0219,13.5591
1934-04-30,30.333,,,,,,,,,,,,,31.0115,1.0224,13.2751
1934-05-31,28.8851,,,,,,,,,,,,,28.5707,0.9891,11.58
1934-06-30,28.2588,,,,,,,,,,,,,27.6148,0.9772,11.3074
1934-07-31,26.9605,,,,,,,,,,,,,26.1823,0.9711,11.139
1934-08-31,24.1007,,,,,,,,,,,,,23.8937,0.9914,11.0361
1934-09-29,23.035,,,,,,,,,,,,,22.614,0.9817,10.5176
1934-10-31,22.0225,,,,,,,,,,,,,22.3153,1.0133,10.5038
1934-11-30,21.3998,,,,,,,,,,,,,21.7429,1.016,10.1972
1934-12-31,21.4038,,,,,,,,,,,,,21.8147,1.0192,9.9281
1935-01-31,20.7178,,,,,,,,,,,,,21.6301,1.044,10.6071
1935-02-28,20.0767,,,,,,,,,,,,,20.9006,1.041,10.5232
1935-03-30,19.4207,,,,,,,,,,,,,20.3139,1.046,10.3979
1935-04-30,18.9813,,,,,,,,,,,,,19.9386,1.0504,10.6252
1935-05-31,18.3901,,,,,,,,,,,,,19.6375,1.0678,10.8505
1935-06-29,16.9512,,,,,,,,,,,,,19.0559,1.1242,11.2427
1935-07-31,16.7067,,,,,,,,,,,,,19.3267,1.1568,11.785
1935-08-31,14.0602,,,,,,,,,,,,,18.4362,1.3112,12.3797
1935-09-30,13.3636,,,,,,,,,,,,,18.1768,1.3602,12.3398
1935-10-31,13.154,,,,,,,,,,,,,18.8652,1.4342,13.019
1935-11-30,13.2577,,,,,,,,,,,,,19.6585,1.4828,13.3228
1935-12-31,13.5969,,,,,,,,,,,,,19.4138,1.4278,12.8358
