tenor,real_rf,market_erp,credit_relative,idiosyncratic,company_erp,real_coe
1,0.011147,0.051263,0.00583593,0.0051,0.06219893,0.07334593
2,0.0127,0.050576,0.00567635,0.0042,0.06045235,0.07315235
3,0.014061,0.049935,0.00552113,0.0033,0.05875613,0.07281713
4,0.01525,0.049336,0.00537015,0.0024,0.05710615,0.07235615
5,0.016282,0.048778,0.0052233,0.0015,0.0555013,0.0717833
6,0.017184,0.048257,0.00508047,0.0006,0.05393747,0.07112147
7,0.017961,0.047771,0.00494155,-0.0003,0.05241255,0.07037355
8,0.01864,0.047318,0.00480642,-0.0012,0.05092442,0.06956442
9,0.019213,0.046895,0.00467499,-0.0021,0.04946999,0.06868299
10,0.01971,0.0465,0.00454715,-0.003,0.04804715,0.06775715
11,0.020134,0.046132,0.00442281,-0.0039,0.04665481,0.06678881
12,0.020498,0.045788,0.00430187,-0.0048,0.04528987,0.06578787
13,0.020788,0.045467,0.00418423,-0.0057,0.04395123,0.06473923
14,0.02105,0.045168,0.00406981,-0.0066,0.04263781,0.06368781
15,0.02124,0.044889,0.00395852,-0.0075,0.04134752,0.06258752
16,0.021421,0.044629,0.00385028,-0.0084,0.04007928,0.06150028
17,0.02156,0.044386,0.00374499,-0.0093,0.03883099,0.06039099
18,0.02166,0.044159,0.00364258,-0.0102,0.03760158,0.05926158
19,0.021743,0.043947,0.00354298,-0.0111,0.03638998,0.05813298
20,0.021799,0.04375,0.0034461,-0.012,0.0351961,0.0569951
21,0.021852,0.043566,0.00335186,-0.0129,0.03401786,0.05586986
22,0.021865,0.043394,0.0032602,-0.0138,0.0328542,0.0547192
23,0.021886,0.043234,0.00317105,-0.0147,0.03170505,0.05359105
24,0.021874,0.043084,0.00308434,-0.0156,0.03056834,0.05244234
25,0.021878,0.042945,0.003,-0.0165,0.029445,0.051323
26,0.021856,0.042814,0.00291796,-0.0174,0.02833196,0.05018796
27,0.021834,0.042693,0.00283817,-0.0183,0.02723117,0.04906517
28,0.021787,0.042579,0.00276056,-0.0192,0.02613956,0.04792656
29,0.021775,0.042474,0.00268508,-0.0201,0.02505908,0.04683408
30,0.021745,0.042375,0.00261165,-0.021,0.02398665,0.04573165
