tenor,real_rf,market_erp,credit_relative,idiosyncratic,company_erp,real_coe
1,0.011147,0.051263,0.00338078,0.0114581,0.06610188,0.07724888
2,0.0127,0.050576,0.00326562,0.01094067,0.06478229,0.07748229
3,0.014061,0.049935,0.00315438,0.01044661,0.06353599,0.07759699
4,0.01525,0.049336,0.00304693,0.00997485,0.06235778,0.07760778
5,0.016282,0.048778,0.00294314,0.00952441,0.06124555,0.07752755
6,0.017184,0.048257,0.00284288,0.0090943,0.06019418,0.07737818
7,0.017961,0.047771,0.00274604,0.00868362,0.05920066,0.07716166
8,0.01864,0.047318,0.0026525,0.00829148,0.05826198,0.07690198
9,0.019213,0.046895,0.00256215,0.00791705,0.0573742,0.0765872
10,0.01971,0.0465,0.00247487,0.00755953,0.0565344,0.0762444
11,0.020134,0.046132,0.00239057,0.00721815,0.05574072,0.07587472
12,0.020498,0.045788,0.00230914,0.00689219,0.05498933,0.07548733
13,0.020788,0.045467,0.00223048,0.00658095,0.05427843,0.07506643
14,0.02105,0.045168,0.0021545,0.00628376,0.05360626,0.07465626
15,0.02124,0.044889,0.00208111,0.006,0.05297011,0.07421011
16,0.021421,0.044629,0.00201022,0.00572905,0.05236827,0.07378927
17,0.02156,0.044386,0.00194175,0.00547033,0.05179808,0.07335808
18,0.02166,0.044159,0.0018756,0.0052233,0.0512579,0.0729179
19,0.021743,0.043947,0.00181171,0.00498743,0.05074614,0.07248914
20,0.021799,0.04375,0.00175,0.0047622,0.0502622,0.0720612
21,0.021852,0.043566,0.00169039,0.00454715,0.04980354,0.07165554
22,0.021865,0.043394,0.00163281,0.00434181,0.04936862,0.07123362
23,0.021886,0.043234,0.00157719,0.00414574,0.04895693,0.07084293
24,0.021874,0.043084,0.00152346,0.00395852,0.04856598,0.07043998
25,0.021878,0.042945,0.00147157,0.00377976,0.04819633,0.07007433
26,0.021856,0.042814,0.00142144,0.00360908,0.04784452,0.06970052
27,0.021834,0.042693,0.00137302,0.0034461,0.04751212,0.06934612
28,0.021787,0.042579,0.00132625,0.00329047,0.04719572,0.06898272
29,0.021775,0.042474,0.00128107,0.00314188,0.04689695,0.06867195
30,0.021745,0.042375,0.00123744,0.003,0.04661244,0.06835744
