date,capw_avg_semidev,err_vs_constant_median,drawdown
1995-06-30,17.7211,0.0216,0
1995-07-31,17.5723,0.0130,0
1995-08-31,17.3462,0.0000,0
1995-09-29,16.9680,-0.0218,0
1995-10-31,16.8513,-0.0285,0
1995-11-30,16.8043,-0.0312,0
1995-12-29,16.9059,-0.0254,0
1996-01-31,16.9456,-0.0231,0
1996-02-29,16.9107,-0.0251,0
1996-03-29,16.9747,-0.0214,0
1996-04-30,17.4734,0.0073,0
1996-05-31,17.9228,0.0332,0
1996-06-28,18.1017,0.0436,0
1996-07-31,18.0808,0.0424,0
1996-08-30,17.9614,0.0355,0
1996-09-30,17.9821,0.0367,0
1996-10-31,17.8784,0.0307,0
1996-11-29,17.9884,0.0370,0
1996-12-31,17.6229,0.0160,0
1997-01-31,17.6075,0.0151,0
1997-02-28,17.3861,0.0023,0
1997-03-31,17.4139,0.0039,0
1997-04-30,17.2867,-0.0034,0
1997-05-30,17.4417,0.0055,0
1997-06-30,17.5420,0.0113,0
1997-07-31,17.9957,0.0374,0
1997-08-29,18.2053,0.0495,0
1997-09-30,18.7870,0.0831,0
1997-10-31,18.3412,0.0574,0
1997-11-28,18.2893,0.0544,0
1997-12-31,17.8357,0.0282,0
1998-01-30,18.1829,0.0482,0
1998-02-27,18.3470,0.0577,0
1998-03-31,18.5862,0.0715,0
1998-04-30,18.6152,0.0732,0
1998-05-29,18.4175,0.0618,0
1998-06-30,18.3847,0.0599,0
1998-07-31,18.7410,0.0804,0
1998-08-31,18.6640,0.0760,0
1998-09-30,18.9994,0.0953,0
1998-10-30,19.0717,0.0995,0
1998-11-30,19.4109,0.1190,0
1998-12-31,20.5375,0.1840,0
1999-01-29,21.4566,0.2370,0
1999-02-26,21.5553,0.2427,0
1999-03-31,21.6117,0.2459,0
1999-04-30,22.2769,0.2843,0
1999-05-28,22.5670,0.3010,0
1999-06-30,22.9585,0.3235,0
1999-07-30,24.3132,0.4016,0
1999-08-31,24.7076,0.4244,0
1999-09-30,24.9797,0.4401,0
1999-10-29,25.0502,0.4441,0
1999-11-30,25.6624,0.4794,0
1999-12-31,25.7812,0.4863,0
2000-01-31,25.3418,0.4609,0
2000-02-29,26.5133,0.5285,0
2000-03-31,26.9966,0.5563,0
2000-04-28,27.5481,0.5881,0
2000-05-31,27.3981,0.5795,0
2000-06-30,28.4033,0.6374,0
2000-07-31,29.0294,0.6735,0
2000-08-31,29.8829,0.7227,0
2000-09-29,29.4247,0.6963,0
2000-10-31,29.0784,0.6764,0
2000-11-30,28.9478,0.6688,0
2000-12-29,30.1923,0.7406,0
2001-01-31,31.6233,0.8231,0
2001-02-28,31.3572,0.8077,0
2001-03-30,32.4360,0.8699,1
2001-04-30,32.7790,0.8897,1
2001-05-31,31.8661,0.8371,1
2001-06-29,32.1730,0.8548,1
2001-07-31,31.5603,0.8194,1
2001-08-31,31.0762,0.7915,1
2001-09-28,30.1510,0.7382,1
2001-10-31,30.3610,0.7503,1
2001-11-30,33.6421,0.9395,1
2001-12-31,33.5640,0.9350,1
