date,capw_avg_semidev,err_vs_constant_median,drawdown
2002-01-31,32.6335,0.8813,1
2002-02-28,31.0390,0.7894,1
2002-03-28,29.5305,0.7024,1
2002-04-30,28.0135,0.6150,1
2002-05-31,27.1431,0.5648,1
2002-06-28,24.8668,0.4336,1
2002-07-31,23.5861,0.3597,1
2002-08-30,23.1403,0.3340,1
2002-09-30,23.2367,0.3396,1
2002-10-31,24.6948,0.4236,1
2002-11-29,25.3863,0.4635,1
2002-12-31,24.0324,0.3855,1
2003-01-31,24.4367,0.4088,1
2003-02-28,24.8869,0.4347,1
2003-03-31,24.1314,0.3912,1
2003-04-30,23.9015,0.3779,1
2003-05-30,24.6283,0.4198,1
2003-06-30,24.1157,0.3903,1
2003-07-31,23.3928,0.3486,1
2003-08-29,23.2833,0.3423,1
2003-09-30,22.4978,0.2970,1
2003-10-31,21.0102,0.2112,1
2003-11-28,21.1203,0.2176,1
2003-12-31,20.1413,0.1611,1
2004-01-30,19.1108,0.1017,1
2004-02-27,18.4326,0.0626,1
2004-03-31,18.3181,0.0560,1
2004-04-30,17.7606,0.0239,0
2004-05-28,17.7198,0.0215,0
2004-06-30,17.4881,0.0082,0
2004-07-30,17.0360,-0.0179,0
2004-08-31,16.7170,-0.0363,0
2004-09-30,16.4965,-0.0490,0
2004-10-29,15.8472,-0.0864,0
2004-11-30,16.3725,-0.0561,0
2004-12-31,16.2629,-0.0625,0
2005-01-31,15.9747,-0.0791,0
2005-02-28,15.7145,-0.0941,0
2005-03-31,15.4087,-0.1117,0
2005-04-29,15.1421,-0.1271,0
2005-05-31,15.4510,-0.1093,0
2005-06-30,15.2722,-0.1196,0
2005-07-29,15.4916,-0.1069,0
2005-08-31,15.6989,-0.0950,0
2005-09-30,15.9354,-0.0813,0
2005-10-31,15.0102,-0.1347,0
2005-11-30,15.3111,-0.1173,0
2005-12-30,15.3274,-0.1164,0
2006-01-31,15.7115,-0.0942,0
2006-02-28,15.5687,-0.1025,0
2006-03-31,15.6572,-0.0974,0
2006-04-28,15.0004,-0.1352,0
2006-05-31,14.7357,-0.1505,0
2006-06-30,14.6327,-0.1564,0
2006-07-31,14.7166,-0.1516,0
2006-08-31,17.6148,0.0155,0
2006-09-29,17.6287,0.0163,0
2006-10-31,17.9504,0.0348,0
2006-11-30,17.9406,0.0343,0
2006-12-29,17.6672,0.0185,0
2007-01-31,17.4779,0.0076,0
2007-02-28,16.9726,-0.0215,0
2007-03-30,16.9122,-0.0250,0
2007-04-30,16.6359,-0.0409,0
2007-05-31,16.1998,-0.0661,0
2007-06-29,16.0671,-0.0737,0
2007-07-31,15.7837,-0.0901,0
2007-08-31,15.7398,-0.0926,0
2007-09-28,15.6392,-0.0984,0
2007-10-31,15.7033,-0.0947,0
2007-11-30,15.7923,-0.0896,0
2007-12-31,15.7926,-0.0896,0
2008-01-31,15.5733,-0.1022,0
2008-02-29,16.1580,-0.0685,0
2008-03-31,16.2285,-0.0644,0
2008-04-30,18.3006,0.0550,0
2008-05-30,19.0235,0.0967,0
2008-06-30,19.4418,0.1208,0
2008-07-31,19.6783,0.1344,1
2008-08-29,19.7994,0.1414,1
2008-09-30,19.5647,0.1279,1
2008-10-31,20.3133,0.1711,1
2008-11-28,20.0139,0.1538,1
2008-12-31,21.3472,0.2307,1
2009-01-30,23.4947,0.3545,1
2009-02-27,24.4474,0.4094,1
2009-03-31,25.1682,0.4509,1
2009-04-30,25.3744,0.4628,1
2009-05-29,25.8048,0.4876,1
2009-06-30,26.1672,0.5085,1
2009-07-31,26.4330,0.5238,1
2009-08-31,26.8131,0.5458,1
2009-09-30,26.5940,0.5331,1
2009-10-30,25.8293,0.4890,1
2009-11-30,25.6452,0.4784,1
2009-12-31,24.3666,0.4047,1
2010-01-29,23.3229,0.3446,1
2010-02-26,21.9981,0.2682,1
2010-03-31,21.2822,0.2269,1
2010-04-30,20.3911,0.1755,1
2010-05-28,19.4431,0.1209,1
2010-06-30,18.5357,0.0686,1
2010-07-30,18.3225,0.0563,1
2010-08-31,18.0540,0.0408,1
2010-09-30,17.8343,0.0281,0
2010-10-29,17.4852,0.0080,0
2010-11-30,17.4726,0.0073,0
2010-12-31,16.9763,-0.0213,0
2011-01-31,16.3920,-0.0550,0
2011-02-28,15.7844,-0.0900,0
2011-03-31,15.1612,-0.1260,0
2011-04-29,14.7949,-0.1471,0
2011-05-31,14.6620,-0.1547,0
2011-06-30,14.4771,-0.1654,0
2011-07-29,14.3919,-0.1703,0
2011-08-31,13.8458,-0.2018,0
2011-09-30,13.4717,-0.2234,0
2011-10-31,13.2838,-0.2342,0
2011-11-30,13.4941,-0.2221,0
2011-12-30,13.7047,-0.2099,0
2012-01-31,14.5427,-0.1616,0
2012-02-29,14.4970,-0.1643,0
2012-03-30,14.4830,-0.1651,0
2012-04-30,14.7792,-0.1480,0
2012-05-31,14.6935,-0.1529,0
2012-06-29,14.7408,-0.1502,0
2012-07-31,14.8539,-0.1437,0
2012-08-31,15.0141,-0.1344,0
2012-09-28,14.9069,-0.1406,0
2012-10-31,15.1018,-0.1294,0
2012-11-30,15.0370,-0.1331,0
2012-12-31,15.0293,-0.1336,0
2013-01-31,15.4850,-0.1073,0
2013-02-28,15.5135,-0.1057,0
2013-03-28,15.8669,-0.0853,0
2013-04-30,17.1089,-0.0137,0
2013-05-31,17.2018,-0.0083,0
2013-06-28,17.0198,-0.0188,0
2013-07-31,17.2768,-0.0040,0
2013-08-30,17.6969,0.0202,0
2013-09-30,17.6680,0.0186,0
2013-10-31,17.3992,0.0031,0
2013-11-29,17.3152,-0.0018,0
2013-12-31,17.3235,-0.0013,0
2014-01-31,16.8755,-0.0271,0
2014-02-28,16.7999,-0.0315,0
2014-03-31,16.2796,-0.0615,0
2014-04-30,14.4582,-0.1665,0
2014-05-30,14.4641,-0.1662,0
2014-06-30,13.2282,-0.2374,0
2014-07-31,13.5334,-0.2198,0
2014-08-29,13.5220,-0.2205,0
2014-09-30,13.3031,-0.2331,0
2014-10-31,12.9763,-0.2519,0
2014-11-28,12.7915,-0.2626,0
2014-12-31,12.5812,-0.2747,0
2015-01-30,12.9864,-0.2513,0
2015-02-27,13.1660,-0.2410,0
2015-03-31,13.2909,-0.2338,0
2015-04-30,13.4817,-0.2228,0
2015-05-29,13.6865,-0.2110,0
2015-06-30,13.6420,-0.2135,0
2015-07-31,12.4587,-0.2818,0
2015-08-31,12.3897,-0.2857,0
2015-09-30,12.2712,-0.2926,0
2015-10-30,12.5653,-0.2756,0
2015-11-30,12.8552,-0.2589,0
2015-12-31,12.9870,-0.2513,0
2016-01-29,12.7888,-0.2627,0
2016-02-29,12.9636,-0.2527,0
2016-03-31,12.9380,-0.2541,0
2016-04-29,13.6295,-0.2143,0
2016-05-31,14.0224,-0.1916,0
2016-06-30,14.0612,-0.1894,0
2016-07-29,14.3743,-0.1713,0
2016-08-31,14.3793,-0.1710,0
2016-09-30,14.5726,-0.1599,0
2016-10-31,14.2396,-0.1791,0
2016-11-30,14.0454,-0.1903,0
2016-12-30,13.9448,-0.1961,0
2017-01-31,13.7493,-0.2074,0
2017-02-28,14.0831,-0.1881,0
2017-03-31,14.0641,-0.1892,0
2017-04-28,13.2644,-0.2353,0
2017-05-31,13.0361,-0.2485,0
2017-06-30,13.0035,-0.2504,0
2017-07-31,12.5091,-0.2789,0
2017-08-31,12.4934,-0.2798,0
2017-09-29,12.8565,-0.2588,0
2017-10-31,12.9474,-0.2536,0
2017-11-30,12.9171,-0.2553,0
2017-12-29,12.8769,-0.2577,0
2018-01-31,12.9547,-0.2532,0
2018-02-28,12.7999,-0.2621,0
2018-03-29,12.7915,-0.2626,0
2018-04-30,12.5096,-0.2788,0
2018-05-31,12.6223,-0.2723,0
2018-06-29,12.8718,-0.2579,0
2018-07-31,12.7576,-0.2645,0
2018-08-31,12.9499,-0.2534,0
2018-09-28,12.7240,-0.2665,0
2018-10-31,12.6757,-0.2693,0
2018-11-30,12.7535,-0.2648,0
2018-12-31,12.7518,-0.2649,1
2019-01-31,13.5276,-0.2201,1
2019-02-28,13.8507,-0.2015,1
2019-03-29,14.1921,-0.1818,1
2019-04-30,14.5080,-0.1636,1
2019-05-31,14.2113,-0.1807,1
2019-06-28,14.3312,-0.1738,1
2019-07-31,14.7912,-0.1473,1
2019-08-30,15.2303,-0.1220,1
2019-09-30,15.1375,-0.1273,1
2019-10-31,15.2014,-0.1236,1
2019-11-29,15.1695,-0.1255,1
2019-12-31,15.1710,-0.1254,0
2020-01-31,14.7053,-0.1522,0
2020-02-28,14.3105,-0.1750,0
2020-03-31,14.0087,-0.1924,1
2020-04-30,13.6415,-0.2136,1
2020-05-29,13.9053,-0.1984,1
2020-06-30,15.7036,-0.0947,1
2020-07-31,16.1606,-0.0683,1
2020-08-31,16.2311,-0.0643,1
2020-09-30,16.6778,-0.0385,1
2020-10-30,16.8757,-0.0271,1
2020-11-30,17.1285,-0.0126,1
2020-12-31,17.9852,0.0368,1
2021-01-29,17.9779,0.0364,1
2021-02-26,18.0712,0.0418,1
2021-03-31,17.9447,0.0345,1
2021-04-30,17.8490,0.0290,0
2021-05-28,17.8649,0.0299,0
2021-06-30,17.5588,0.0123,0
2021-07-30,16.1198,-0.0707,0
2021-08-31,15.7063,-0.0945,0
2021-09-30,15.6354,-0.0986,0
2021-10-29,15.5629,-0.1028,0
2021-11-30,15.5508,-0.1035,0
2021-12-31,15.2692,-0.1197,0
2022-01-31,15.3499,-0.1151,0
2022-02-28,15.1302,-0.1278,0
2022-03-31,15.2454,-0.1211,0
2022-04-29,15.2328,-0.1218,0
2022-05-31,15.4000,-0.1122,0
2022-06-30,14.1616,-0.1836,1
2022-07-29,18.2703,0.0533,1
2022-08-31,17.9584,0.0353,1
2022-09-30,18.1243,0.0449,1
2022-10-31,18.3436,0.0575,1
2022-11-30,18.3631,0.0586,1
2022-12-30,18.3504,0.0579,1
2023-01-31,19.1202,0.1023,1
2023-02-28,19.0589,0.0987,1
2023-03-31,19.1538,0.1042,1
2023-04-28,18.8614,0.0873,1
2023-05-31,19.0811,0.1000,1
2023-06-30,19.1303,0.1029,1
2023-07-31,18.7589,0.0814,1
2023-08-31,18.6991,0.0780,1
2023-09-29,18.4610,0.0643,1
2023-10-31,18.4102,0.0613,1
2023-11-30,18.5310,0.0683,1
2023-12-29,18.4588,0.0641,1
2024-01-31,18.4420,0.0632,0
2024-02-29,18.5744,0.0708,0
2024-03-28,18.6294,0.0740,0
2024-04-30,18.2963,0.0548,0
2024-05-31,18.6048,0.0726,0
2024-06-28,17.3342,-0.0007,0
2024-07-31,16.9696,-0.0217,0
2024-08-30,16.6607,-0.0395,0
2024-09-30,16.7500,-0.0344,0
2024-10-31,16.9267,-0.0242,0
2024-11-29,17.0517,-0.0170,0
2024-12-31,17.0109,-0.0193,0
2025-01-31,16.6615,-0.0395,0
2025-02-28,16.7159,-0.0363,0
2025-03-31,16.5692,-0.0448,0
2025-04-30,17.1355,-0.0121,0
2025-05-30,17.4163,0.0040,0
2025-06-30,17.7855,0.0253,0
2025-07-31,18.2592,0.0526,0
2025-08-29,18.3023,0.0551,0
2025-09-30,18.7215,0.0793,0
2025-10-31,18.7369,0.0802,0
2025-11-28,18.5791,0.0711,0
2025-12-31,18.8478,0.0866,0
2026-01-30,18.9136,0.0904,0
2026-02-27,18.8764,0.0882,0
2026-03-31,18.9857,0.0945,0
2026-04-30,19.4913,0.1237,0
2026-05-29,20.0830,0.1578,0
2026-06-30,20.0399,0.1553,0
2026-07-31,19.4393,0.1207,0
2026-08-12,19.6509,0.1329,0
