name,1990-06-30,1991-06-30,1992-06-30,1993-06-30,1994-06-30,1995-06-30,1996-06-30,1997-06-30,1998-06-30,1999-06-30,2000-06-30,2001-06-30,2002-06-30,2003-06-30,2004-06-30,2005-06-30,2006-06-30,2007-06-30,2008-06-30,2009-06-30,2010-06-30,2011-06-30,2012-06-30,2013-06-30,2014-06-30,2015-06-30,2016-06-30,2017-06-30,2018-06-30,2019-06-30,2020-06-30,2021-06-30,2022-06-30,2023-06-30,2024-06-30,2025-06-30,2026-06-30
Depreciation & amortization,46300000,75800000,112300000,151000000,237000000,269000000,480000000,557000000,1024000000,1010000000,748000000,1536000000,1084000000,1439000000,1186000000,855000000,903000000,1440000000,2056000000,2562000000,2673000000,2766000000,2967000000,3755000000,5212000000,5957000000,6622000000,8778000000,10261000000,11682000000,12796000000,11686000000,14460000000,13861000000,22287000000,34153000000,38534000000
Other non-cash items,,100000,,,,,,,296000000,2947000000,3803000000,4662000000,4020000000,7587000000,5431000000,3501000000,1365000000,1281000000,-22636000000,-386000000,-29066000000,-29314000000,-27447000000,-42050000000,-41848000000,-37865000000,407000000,-2073000000,-2212000000,-792000000,-219000000,-1249000000,-409000000,196000000,305000000,609000000,-11047000000
Change in working capital,-47200000,19300000,86600000,-30000000,210000000,268000000,1044000000,678000000,2623000000,1479000000,-2623000000,298000000,1992000000,634000000,1320000000,174000000,-2397000000,-961000000,22097000000,-178000000,30035000000,28224000000,35930000000,42878000000,44949000000,46585000000,610000000,4876000000,20467000000,3866000000,2148000000,-936000000,446000000,-2388000000,1824000000,-5350000000,-4895000000
Change in Receivables,-62200000,-64900000,-33400000,-121000000,-146000000,-91000000,-71000000,-336000000,-520000000,-687000000,-944000000,-418000000,-1623000000,187000000,-687000000,-1243000000,-2071000000,-1764000000,-1569000000,2215000000,-2238000000,-1451000000,-1156000000,-1807000000,-1120000000,1456000000,562000000,-1216000000,-3862000000,-2812000000,-2577000000,-6481000000,-6834000000,-4087000000,-7191000000,-10581000000,-12737000000
Changes in Account Receivables,-62200000,-64900000,-33400000,-121000000,-146000000,-91000000,-71000000,-336000000,-520000000,-687000000,-944000000,-418000000,-1623000000,187000000,-687000000,-1243000000,-2071000000,-1764000000,-1569000000,2215000000,-2238000000,-1451000000,-1156000000,-1807000000,-1120000000,1456000000,562000000,-1216000000,-3862000000,-2812000000,-2577000000,-6481000000,-6834000000,-4087000000,-7191000000,-10581000000,-12737000000
Change in Inventory,-15600000,8100000,-40000000,-51000000,23000000,15000000,,,,,,,,,,,,,,,0,-561000000,184000000,-802000000,-161000000,-272000000,600000000,50000000,-465000000,597000000,168000000,-737000000,-1123000000,1242000000,1284000000,309000000,-461000000
Change in Payables And Accrued Expense,,,,,,,,,,,,,,,,,,,,,,31433000000,36657000000,46094000000,46887000000,44993000000,56134000000,69711000000,20109000000,5171000000,2081000000,7431000000,8052000000,,,,
Change in Other Current Liabilities,,,,,,,,,,,,,,,,,,,,,,31433000000,36657000000,46094000000,46887000000,44993000000,56134000000,69711000000,20109000000,5171000000,2081000000,7431000000,8052000000,,,,
Cash Flow from Continuing Investing Activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net PPE Purchase And Sale,158100000,264400000,316600000,236000000,278000000,495000000,494000000,499000000,656000000,583000000,879000000,1103000000,770000000,891000000,1109000000,812000000,1578000000,2264000000,3182000000,3119000000,1977000000,2355000000,2305000000,4257000000,5485000000,5944000000,8343000000,8129000000,11632000000,13925000000,15441000000,20622000000,23886000000,28107000000,44477000000,64551000000,115948000000
Purchase of PPE,158100000,264400000,316600000,236000000,278000000,495000000,494000000,499000000,656000000,583000000,879000000,1103000000,770000000,891000000,1109000000,812000000,1578000000,2264000000,3182000000,3119000000,1977000000,2355000000,2305000000,4257000000,5485000000,5944000000,8343000000,8129000000,11632000000,13925000000,15441000000,20622000000,23886000000,28107000000,44477000000,64551000000,115948000000
Net Investment Purchase And Sale,,,,,,,,,,,,,,,,,,,,,-9092000000,-12190000000,-11975000000,-17802000000,-7324000000,-12868000000,-14417000000,-12511000000,6557000000,-37654000000,-10741000000,2876000000,18438000000,10213000000,17937000000,-4387000000,-1948000000
Net Other Investing Changes,-18100000,-39700000,-40700000,-17000000,-64000000,-230000000,-625000000,-1669000000,-1598000000,79000000,,,,,,,3117000000,-376000000,-127000000,-930000000,-1502000000,-71000000,-394000000,-168000000,-87000000,-466000000,203000000,-197000000,-98000000,540000000,13959000000,-922000000,-2825000000,-3116000000,-1298000000,2317000000,-19861000000
Cash Flow from Continuing Financing Activities,43500000,-4300000,119000000,186000000,83000000,-138000000,-405000000,-501000000,-999000000,-862000000,-2192000000,-5586000000,-4572000000,-5223000000,-2364000000,-41078000000,-20562000000,-24544000000,-12934000000,-7463000000,-13291000000,-8376000000,-9408000000,-8148000000,-8665000000,-9668000000,-8393000000,8408000000,-33590000000,-36887000000,-46031000000,-48486000000,-58876000000,-43935000000,-37757000000,-51699000000,-52546000000
Net Issuance Payments of Debt,,,,,,,,,,,,,,,,,,,,,-991000000,-186000000,,3537000000,6962000000,13661000000,18283000000,31459000000,-10201000000,-4000000000,-8935000000,-3750000000,-9023000000,-2750000000,-4675000000,-3216000000,-3000000000
Net Common Stock Issuance,-46700000,-197000000,-135000000,-250000000,-348000000,-649000000,-1261000000,-3101000000,-2468000000,-2950000000,-4896000000,-7441000000,-6069000000,-6486000000,-3383000000,-8057000000,-19207000000,-27575000000,-12533000000,-9353000000,-11269000000,-11555000000,-5029000000,-5360000000,-7316000000,-14443000000,-15969000000,-11788000000,-10721000000,-19543000000,-22968000000,-27385000000,-32696000000,-22245000000,-17254000000,-18420000000,-22271000000
Common Stock Issuance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1142000000,1343000000,1693000000,1841000000,1866000000,2002000000,2056000000,2009000000
Cash Dividends Paid,,,,,,,,15000000,28000000,28000000,13000000,,,857000000,1729000000,36112000000,3545000000,3805000000,4015000000,4468000000,4578000000,5180000000,6385000000,7455000000,8879000000,9882000000,11006000000,11845000000,12699000000,13811000000,15137000000,16521000000,18135000000,19800000000,21771000000,24082000000,26445000000
Net Other Financing Charges,-270700000,100000,-641600000,-976000000,-1202000000,179000000,352000000,796000000,1553000000,3107000000,-11927000000,235000000,-10845000000,-7213000000,-2745000000,-18000000,89000000,54000000,120000000,33000000,55000000,-23000000,93000000,199000000,-39000000,362000000,-369000000,-190000000,-971000000,-675000000,-3751000000,-2523000000,-863000000,-1006000000,-1309000000,-2291000000,-2839000000
End Cash Position,246300000,417200000,791500000,1013000000,1477000000,1962000000,2601000000,3706000000,3839000000,4975000000,4846000000,3922000000,3016000000,6438000000,15982000000,4851000000,6714000000,6111000000,10339000000,6076000000,5505000000,9610000000,6938000000,3804000000,8669000000,5595000000,6510000000,7663000000,11946000000,11356000000,13576000000,14224000000,13931000000,34704000000,18315000000,30242000000,20935000000
Changes in Cash,53900000,170900000,374300000,222000000,464000000,485000000,639000000,1105000000,133000000,1136000000,-129000000,-924000000,-906000000,3422000000,9544000000,-9453000000,1863000000,-603000000,4228000000,-4263000000,-571000000,4105000000,-2672000000,-3134000000,4865000000,-3074000000,915000000,1153000000,4283000000,-590000000,2220000000,648000000,-293000000,20773000000,-16389000000,11927000000,-9307000000
Beginning Cash Position,192400000,246300000,417200000,791000000,1013000000,1477000000,1962000000,2601000000,3706000000,3839000000,4975000000,4846000000,3922000000,3016000000,6438000000,14304000000,4851000000,6714000000,6111000000,10339000000,6076000000,5505000000,9610000000,6938000000,3804000000,8669000000,5595000000,6510000000,7663000000,11946000000,11356000000,13576000000,14224000000,13931000000,34704000000,18315000000,30242000000
Issuance of Capital Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1142000000,1343000000,1693000000,1841000000,1866000000,2002000000,2056000000,2009000000
Issuance of Debt,,,,,,,,,,,,,,,,,,,,,-991000000,-186000000,,3537000000,6962000000,13661000000,18283000000,31459000000,-10201000000,-4000000000,-8935000000,-3750000000,-9023000000,-2750000000,-4675000000,-3216000000,-3000000000
