name,1986-06-30,1987-06-30,1988-06-30,1989-06-30,1990-06-30,1991-06-30,1992-06-30,1993-06-30,1994-06-30,1995-06-30,1996-06-30,1997-06-30,1998-06-30,1999-06-30,2000-06-30,2001-06-30,2002-06-30,2003-06-30,2004-06-30,2005-06-30,2006-06-30,2007-06-30,2008-06-30,2009-06-30,2010-06-30,2011-06-30,2012-06-30,2013-06-30,2014-06-30,2015-06-30,2016-06-30,2017-06-30,2018-06-30,2019-06-30,2020-06-30,2021-06-30,2022-06-30,2023-06-30,2024-06-30,2025-06-30,2026-06-30
Total Revenue,197500000,345900000,590800000,803500000,1183400000,1843400000,2758700000,3753000000,4649000000,5937000000,8671000000,11936000000,15262000000,19747000000,22956000000,25296000000,28365000000,32187000000,36835000000,39788000000,44282000000,51122000000,60420000000,58437000000,62484000000,69943000000,73723000000,77849000000,86833000000,93580000000,91154000000,96571000000,110360000000,125843000000,143015000000,168088000000,198270000000,211915000000,245122000000,281724000000,331839000000
Cost of Revenue,35100000,66300000,132000000,180000000,206400000,286800000,354100000,482000000,526000000,608000000,708000000,1613000000,1436000000,1804000000,3002000000,3455000000,5191000000,6059000000,6716000000,6031000000,7650000000,10693000000,11598000000,12155000000,12395000000,15577000000,17530000000,20385000000,27078000000,33038000000,32780000000,34261000000,38353000000,42910000000,46078000000,52232000000,62650000000,65863000000,74114000000,87831000000,106374000000
Gross Profit,162400000,279600000,458800000,623500000,977000000,1556600000,2404600000,3271000000,4123000000,5329000000,7963000000,10323000000,13826000000,17943000000,19954000000,21841000000,23174000000,26128000000,30119000000,33757000000,36632000000,40429000000,48822000000,46282000000,50089000000,54366000000,56193000000,57464000000,59755000000,60542000000,58374000000,62310000000,72007000000,82933000000,96937000000,115856000000,135620000000,146052000000,171008000000,193893000000,225465000000
Selling General and Administrative,95700000,145100000,255400000,357100000,537500000,831000000,1296300000,1794000000,1550000000,2162000000,2973000000,3218000000,3845000000,3920000000,5150000000,5742000000,6957000000,4028000000,4997000000,4422000000,3758000000,3329000000,5127000000,4030000000,4063000000,4222000000,4569000000,5013000000,4677000000,4611000000,4563000000,4481000000,4754000000,4885000000,5111000000,5107000000,5900000000,7575000000,7609000000,7223000000,7956000000
Research & Development,,,,,,,,,610000000,860000000,1432000000,1925000000,2502000000,2970000000,3775000000,4379000000,4307000000,4659000000,7779000000,6184000000,6584000000,7121000000,8164000000,9010000000,8714000000,9043000000,9811000000,10411000000,11381000000,12046000000,11988000000,13037000000,14726000000,16876000000,19269000000,20716000000,24512000000,27195000000,29510000000,32488000000,35562000000
Operating Income,60900000,126900000,187400000,242200000,393200000,649800000,996000000,1326000000,1726000000,2038000000,3078000000,4871000000,6710000000,10043000000,11006000000,11720000000,11910000000,9545000000,9034000000,14561000000,16472000000,18438000000,22271000000,20363000000,24098000000,27161000000,21763000000,26764000000,27759000000,18161000000,26078000000,29025000000,35058000000,42959000000,52959000000,69916000000,83383000000,88523000000,109433000000,128528000000,155237000000
Interest Expense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106000000,38000000,151000000,295000000,380000000,429000000,597000000,781000000,1243000000,2222000000,2733000000,2686000000,2591000000,2346000000,2063000000,1968000000,2935000000,2385000000,3051000000
Pretax Income,66000000,121400000,183700000,250800000,410600000,670600000,1041300000,1401000000,1722000000,2167000000,3379000000,5314000000,7117000000,11891000000,14275000000,11525000000,11513000000,11054000000,12196000000,16628000000,18262000000,20101000000,23814000000,19821000000,25013000000,28071000000,22267000000,27052000000,27820000000,18507000000,25639000000,29901000000,36474000000,43688000000,53036000000,71102000000,83716000000,89311000000,107787000000,123627000000,165934000000
Tax Provision,26700000,49500000,59800000,80300000,131400000,207900000,333200000,448000000,576000000,714000000,1184000000,1860000000,2627000000,4106000000,4854000000,3804000000,3684000000,3523000000,4028000000,4374000000,5663000000,6036000000,6133000000,5252000000,6253000000,4921000000,5289000000,5189000000,5746000000,6314000000,5100000000,4412000000,19903000000,4448000000,8755000000,9831000000,10978000000,16950000000,19651000000,21795000000,32185000000
Net Income Common Stockholders,39300000,71878000,123908000,170538000,279186000,462743000,708060000,953000000,1146000000,1453000000,2195000000,3439000000,4462000000,7757000000,9408000000,7346000000,7829000000,7531000000,8168000000,12254000000,12599000000,14065000000,17681000000,14569000000,18760000000,23150000000,16978000000,21863000000,22074000000,12193000000,16798000000,25489000000,16571000000,39240000000,44281000000,61271000000,72738000000,72361000000,88136000000,101832000000,133749000000
Reconciled Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8778000000,10261000000,11682000000,12796000000,11686000000,14460000000,13861000000,22287000000,34153000000,38534000000
EBITDA,66700000,134500000,203400000,266400000,439500000,725600000,1108300000,1477000000,1963000000,2307000000,3558000000,5428000000,7734000000,11053000000,12256000000,13256000000,12994000000,10938000000,10220000000,15416000000,17375000000,19878000000,25976000000,22421000000,27837000000,31132000000,25614000000,31236000000,33629000000,25245000000,33504000000,40901000000,49468000000,58056000000,68423000000,85134000000,100239000000,105140000000,133009000000,160165000000,207519000000
Tax Rate for Calcs,0.404545,0.407743,0.325531,0.320175,0.320019,0.310021,0.319985,0.319772,0.334495,0.329488,0.3504,0.350019,0.369116,0.345303,0.340035,0.330065,0.319986,0.318708,0.330272,0.26305,0.310097,0.300284,0.257538,0.264971,0.24999,0.175305,0.237526,0.191816,0.206542,0.341168,0.198916,0.147554,0.545676,0.101813,0.165077,0.138266,0.131134,0.189786,0.182313,0.176296,0.193963
Diluted EPS,0.005352,0.009997,0.020001,0.025006,0.034998,0.055005,0.079995,0.1,0.117418,0.144837,0.215,0.33,0.416076,0.707497,0.85009,0.658952,0.704934,0.69206,0.749771,1.123602,1.196373,1.422719,1.867054,1.619498,2.10149,2.694053,1.996003,2.581228,2.62817,1.477223,2.096343,3.254469,2.126123,5.061267,5.763504,8.053496,9.64695,9.684288,11.800241,13.641259,17.945659
Operating Revenue,197500000,345900000,590800000,803500000,1183400000,1843400000,2758700000,3753000000,4649000000,5937000000,8671000000,11936000000,15262000000,19747000000,22956000000,25296000000,28365000000,32187000000,36835000000,39788000000,44282000000,51122000000,60420000000,58437000000,62484000000,69943000000,73723000000,77849000000,86833000000,93580000000,91154000000,96571000000,110360000000,125843000000,143015000000,168088000000,198270000000,211915000000,245122000000,281724000000,331839000000
Operating Expense,101500000,152700000,271400000,381300000,583800000,906800000,1408600000,1945000000,2397000000,3291000000,4885000000,5452000000,7116000000,7900000000,8948000000,10121000000,11264000000,16583000000,21085000000,19196000000,20160000000,21991000000,26551000000,25919000000,25991000000,27205000000,28237000000,30700000000,31869000000,42381000000,32296000000,32979000000,36949000000,39974000000,43978000000,45940000000,52237000000,57529000000,61575000000,65365000000,70228000000
Other Operating Expenses,136600000,219000000,403400000,561300000,790200000,1193600000,1762700000,2427000000,2923000000,3899000000,5593000000,7065000000,8552000000,9704000000,11950000000,13576000000,16455000000,22642000000,27801000000,25227000000,27810000000,32684000000,38149000000,38074000000,38386000000,42782000000,45767000000,51085000000,58947000000,75419000000,65076000000,67240000000,75302000000,82884000000,90056000000,98172000000,114887000000,123392000000,135689000000,153196000000,176602000000
Net Non Operating Interest Income Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1243000000,-2222000000,-2733000000,-2686000000,-2591000000,-215000000,31000000,1026000000,222000000,262000000,250000000
Interest Income Non Operating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78000000,1182000000,1522000000,812000000,2680000000,2131000000,2094000000,1041000000,3157000000,767000000,3301000000
Interest Expense Non Operating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106000000,38000000,151000000,295000000,380000000,429000000,597000000,781000000,1243000000,2222000000,2733000000,2686000000,2591000000,2346000000,2063000000,1968000000,2935000000,2385000000,3051000000
Other Income Expense,5100000,-5500000,-3700000,8600000,17400000,20800000,45300000,75000000,-4000000,129000000,301000000,443000000,407000000,1848000000,3269000000,-195000000,-397000000,1509000000,3162000000,2067000000,1790000000,1663000000,1543000000,-542000000,915000000,910000000,504000000,288000000,61000000,346000000,-439000000,876000000,1416000000,729000000,77000000,1186000000,333000000,788000000,-1646000000,-4901000000,10697000000
Special Income Charges,,,,,,,,,,,,,,,,,,,,,,,,,,,6193000000,,127000000,10011000000,1110000000,306000000,,,,,,,,,
Other Special Charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Non Operating Income Expenses,,,,,,,,,,,,,,,,,,,,,,,,,915000000,910000000,504000000,288000000,61000000,346000000,-431000000,823000000,1416000000,729000000,77000000,1186000000,333000000,,,,
Net Income,39300000,71900000,123900000,170500000,279200000,462700000,708100000,953000000,1146000000,1453000000,2195000000,3454000000,4490000000,7785000000,9421000000,7346000000,7829000000,7531000000,8168000000,12254000000,12599000000,14065000000,17681000000,14569000000,18760000000,23150000000,16978000000,21863000000,22074000000,12193000000,20539000000,25489000000,16571000000,39240000000,44281000000,61271000000,72738000000,72361000000,88136000000,101832000000,133749000000
Net Income Including Non-Controlling Interests,39300000,71900000,123900000,170500000,279200000,462700000,708100000,953000000,1146000000,1453000000,2195000000,3454000000,4490000000,7785000000,9421000000,7346000000,7829000000,7531000000,8168000000,12254000000,12599000000,14065000000,17681000000,14569000000,18760000000,23150000000,16978000000,21863000000,22074000000,12193000000,20539000000,25489000000,16571000000,39240000000,44281000000,61271000000,72738000000,72361000000,88136000000,101832000000,133749000000
Net Income Continuous Operations,,,,,,,,,,,,,,,,,,,,,,,,,18760000000,23150000000,16978000000,21863000000,22074000000,12193000000,16798000000,21204000000,16571000000,39240000000,44281000000,61271000000,72738000000,72361000000,88136000000,101832000000,133749000000
Net Income Discontinuous Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otherunder Preferred Stock Dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Income as Reported,60900000,126900000,187400000,242200000,393200000,649800000,996000000,1326000000,1726000000,2038000000,3078000000,4871000000,6710000000,10043000000,11006000000,11720000000,11910000000,9545000000,9034000000,14561000000,16472000000,18438000000,22271000000,20363000000,24098000000,27161000000,21763000000,26764000000,27759000000,18161000000,26078000000,29025000000,35058000000,42959000000,52959000000,69916000000,83383000000,88523000000,109433000000,128528000000,155237000000
Total Expenses,101500000,152700000,271400000,381300000,583800000,906800000,1408600000,1945000000,2397000000,3291000000,4885000000,5452000000,7116000000,7900000000,8948000000,10121000000,11264000000,16583000000,21085000000,19196000000,20160000000,21991000000,26551000000,25919000000,25991000000,27205000000,28237000000,30700000000,31869000000,42381000000,32296000000,32979000000,36949000000,39974000000,43978000000,45940000000,52237000000,57529000000,61575000000,65365000000,70228000000
Net Income from Continuing & Discontinued Operation,39300000,71900000,123900000,170500000,279200000,462700000,708100000,953000000,1146000000,1453000000,2195000000,3454000000,4490000000,7785000000,9421000000,7346000000,7829000000,7531000000,8168000000,12254000000,12599000000,14065000000,17681000000,14569000000,18760000000,23150000000,16978000000,21863000000,22074000000,12193000000,20539000000,25489000000,16571000000,39240000000,44281000000,61271000000,72738000000,72361000000,88136000000,101832000000,133749000000
Interest Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78000000,1182000000,1522000000,812000000,2680000000,2131000000,2094000000,1041000000,3157000000,767000000,3301000000
Net Interest Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1243000000,-2222000000,-2733000000,-2686000000,-2591000000,-215000000,31000000,1026000000,222000000,262000000,250000000
EBIT,60900000,126900000,187400000,242200000,393200000,649800000,996000000,1326000000,1726000000,2038000000,3078000000,4871000000,6710000000,10127000000,11006000000,11720000000,11910000000,9545000000,9034000000,14561000000,16472000000,18438000000,23920000000,19859000000,25164000000,28366000000,22647000000,27481000000,28417000000,19288000000,26882000000,32123000000,39207000000,46374000000,55627000000,73448000000,85779000000,91279000000,110722000000,126012000000,168985000000
Reconciled Cost of Revenue,35100000,66300000,132000000,180000000,206400000,286800000,354100000,482000000,526000000,608000000,708000000,1613000000,1436000000,1804000000,3002000000,3455000000,5191000000,6059000000,6716000000,6031000000,7650000000,10693000000,11598000000,12155000000,12395000000,15577000000,17530000000,20385000000,27078000000,33038000000,32780000000,34261000000,38353000000,42910000000,46078000000,52232000000,62650000000,65863000000,74114000000,87831000000,106374000000
Net Income from Continuing Operation Net Minority Interest,,,,,,,,,,,,,,,,,,,,,,,,,18760000000,23150000000,16978000000,21863000000,22074000000,12193000000,16798000000,21204000000,16571000000,39240000000,44281000000,61271000000,72738000000,72361000000,88136000000,101832000000,133749000000
