name,1986-06-30,1987-06-30,1988-06-30,1989-06-30,1990-06-30,1991-06-30,1992-06-30,1993-06-30,1994-06-30,1995-06-30,1996-06-30,1997-06-30,1998-06-30,1999-06-30,2000-06-30,2001-06-30,2002-06-30,2003-06-30,2004-06-30,2005-06-30,2006-06-30,2007-06-30,2008-06-30,2009-06-30,2010-06-30,2011-06-30,2012-06-30,2013-06-30,2014-06-30,2015-06-30,2016-06-30,2017-06-30,2018-06-30,2019-06-30,2020-06-30,2021-06-30,2022-06-30,2023-06-30,2024-06-30,2025-06-30,2026-06-30
Current Assets,148000000,213000000,345300000,468900000,719900000,1028500000,1769700000,2850000000,4312000000,5620000000,7839000000,10373000000,15889000000,21702000000,30308000000,39210000000,48576000000,58973000000,70566000000,48737000000,49010000000,40168000000,43242000000,49280000000,55676000000,74918000000,85084000000,101466000000,114246000000,122797000000,139660000000,159851000000,169662000000,175552000000,181915000000,184406000000,169684000000,184257000000,159734000000,191131000000,207710000000
"Cash, Cash Equivalents & Short Term Investments",102700000,132500000,183200000,192400000,246300000,417200000,791400000,1013000000,1477000000,1962000000,2601000000,3706000000,3839000000,17236000000,23798000000,31600000000,38652000000,49048000000,60592000000,37751000000,34161000000,23411000000,23662000000,31447000000,36788000000,52772000000,63040000000,77022000000,85709000000,96526000000,113240000000,132981000000,133768000000,133819000000,136527000000,130334000000,104757000000,111262000000,75531000000,94555000000,76843000000
Cash,102700000,132500000,183200000,192400000,246300000,417200000,791400000,1013000000,1477000000,1962000000,2601000000,3706000000,3839000000,4975000000,4846000000,3922000000,3016000000,6438000000,14304000000,4851000000,6714000000,6111000000,10339000000,6076000000,5505000000,9610000000,6938000000,3804000000,8669000000,5595000000,6510000000,7663000000,11946000000,11356000000,13576000000,14224000000,13931000000,34704000000,18315000000,30242000000,20935000000
Receivables,34500000,55100000,93600000,111200000,181000000,243300000,823700000,338000000,475000000,581000000,639000000,980000000,1460000000,2245000000,3250000000,3671000000,5129000000,5196000000,5890000000,7180000000,9316000000,11338000000,13589000000,11192000000,13014000000,14987000000,15780000000,17486000000,19544000000,17908000000,18277000000,19792000000,26481000000,29524000000,32011000000,38043000000,44261000000,48688000000,56924000000,69905000000,80876000000
Accounts receivable,34500000,55100000,93600000,111200000,181000000,243300000,823700000,338000000,475000000,581000000,639000000,980000000,1460000000,2245000000,3250000000,3671000000,5129000000,5196000000,5890000000,7180000000,9316000000,11338000000,13589000000,11192000000,13014000000,14987000000,15780000000,17486000000,19544000000,17908000000,18277000000,19792000000,26481000000,29524000000,32011000000,38043000000,44261000000,48688000000,56924000000,69905000000,80876000000
Inventory,8000000,16600000,53500000,37800000,55600000,47100000,85900000,127000000,102000000,88000000,,,,,,83000000,673000000,640000000,421000000,491000000,1478000000,1127000000,985000000,717000000,740000000,1372000000,1137000000,1938000000,2660000000,2902000000,2251000000,2181000000,2662000000,2063000000,1895000000,2636000000,3742000000,2500000000,1246000000,938000000,1397000000
Other Current Assets,2800000,8800000,15000000,127500000,237000000,320900000,68700000,1372000000,2258000000,2989000000,4599000000,5687000000,10590000000,2221000000,3260000000,3856000000,4122000000,4089000000,3663000000,3315000000,4055000000,4292000000,5006000000,3711000000,5134000000,3320000000,5127000000,5020000000,6333000000,5461000000,5892000000,4897000000,6751000000,10146000000,11482000000,13393000000,16924000000,21807000000,26033000000,25733000000,48594000000
Total non-current assets,22700000,74800000,147700000,251700000,385400000,615700000,870200000,955000000,1051000000,1590000000,2254000000,4014000000,6468000000,16923000000,21842000000,19620000000,19070000000,22759000000,23802000000,22078000000,20587000000,23003000000,29551000000,28608000000,30437000000,33786000000,36187000000,40965000000,58138000000,51675000000,54034000000,81235000000,89186000000,111004000000,119396000000,149373000000,195156000000,227719000000,352429000000,427872000000,550666000000
Accumulated Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwill,,,,,,,,,,,,,,,,,1426000000,180000000,3115000000,3309000000,3866000000,4760000000,12108000000,12503000000,12394000000,12581000000,13452000000,14655000000,20127000000,16939000000,17872000000,35122000000,35683000000,42026000000,43351000000,49711000000,67524000000,67886000000,119220000000,119509000000,119651000000
