date,n_true,n_scored,n_weighted,count_cov,cap_cov,capw_avg_semidev,eqw_avg_semidev,market_semidev,k,drawdown,market_semidev_lag60,k_lag60_60,implied_avg_corr
1995-06-30,500,159,152,0.318,0.5692337328168987,17.721088976411576,16.07977885513292,6.212235,2.852610852038208,0,6.3619029658148065,2.7855012991607193,0.10944045785605123
1995-07-31,500,160,153,0.32,0.5717962890642434,17.572261016430307,15.888866221473187,6.344307,2.769768394945312,0,6.29215209266942,2.7927266788262495,0.11531874671400567
1995-08-31,500,160,153,0.32,0.5723505882897111,17.346189883858788,15.791874973231009,6.263974,2.7691988957583136,0,6.281471736554028,2.7614849849463443,0.115360710991171
1995-09-29,500,161,154,0.322,0.5737360595760488,16.96803151059587,15.720298278780021,6.135843,2.765395319045137,0,6.198457500860998,2.7374603291607507,0.11564154504831253
1995-10-31,500,162,155,0.324,0.5788067562016125,16.85127740444624,15.694101999062575,6.056838,2.7821905430599663,0,6.320586090638325,2.6660941189307343,0.11440882841137345
1995-11-30,500,163,156,0.326,0.5807111706423271,16.804301535167657,15.55474034844629,5.865816,2.8647849736793067,0,6.282883915742914,2.6746159503379343,0.10861309506026984
1995-12-29,500,166,160,0.332,0.5845897907246843,16.905921978520194,15.650302586990248,6.008003,2.813900388951236,0,6.048280405895753,2.7951617392012134,0.1121323200980868
1996-01-31,500,166,161,0.332,0.5819027454565023,16.945610423215964,15.717600769108024,6.388662,2.652450610662446,0,6.0192571874515215,2.8152328261604858,0.12444785222702846
1996-02-29,500,166,161,0.332,0.5836404321243988,16.910746151166148,15.72430585181828,6.514165,2.595995979709778,0,5.809614355792483,2.9108207732076514,0.1292124030513188
1996-03-29,500,167,162,0.334,0.5840005567183167,16.97474550175685,15.775289763148551,7.005508,2.423057043365999,0,6.0209838711968935,2.8192644034408434,0.14553487148663233
1996-04-30,500,168,163,0.336,0.5878475689461219,17.473404484627405,16.040910621522418,7.199519,2.4270238726541877,0,6.406885283841705,2.7272853673056527,0.14512851022579668
1996-05-31,500,168,163,0.336,0.5887006256563677,17.92278710101031,16.20815898076135,7.28217,2.4611876818325187,0,6.564577275061569,2.730227149446148,0.14169434230114056
1996-06-28,500,168,163,0.336,0.5887006256563677,18.101658741298106,16.30130783321164,7.168969,2.5250016761542846,0,6.980939228735093,2.593011935526908,0.13558157476263366
1996-07-31,500,168,163,0.336,0.592214835066999,18.08083969316986,16.251371533671588,7.816677,2.313110762178079,0,7.3022951761851065,2.4760488664080165,0.15746837716878467
1996-08-30,500,168,163,0.336,0.5909371355687889,17.961397244151048,16.14253061599387,7.964267,2.2552480026286217,0,7.306145976949047,2.4583956166246077,0.1643076590672697
1996-09-30,500,168,163,0.336,0.593904350515707,17.982125143669982,16.094523561441413,7.986623,2.25153048336825,0,7.158208553824153,2.512098524157044,0.16476121644700353
1996-10-31,500,168,163,0.336,0.5942561213909385,17.87843612026421,16.297340249042573,7.92573,2.2557462997432682,0,7.9105210128857735,2.260083260146998,0.1642469971828046
1996-11-29,500,169,163,0.338,0.5964383248543916,17.988382794281453,16.32528797053502,7.903061,2.2761285525040806,0,7.969388507647288,2.257184823781663,0.1617923698489548
