Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Economic depreciation,8918.92976056948,9880.39337618375,11056.6913948688,12234.7281589752,13347.4597866302,14547.3827699264,15753.5165765446,16781.9088708898,17782.4931034176,18700.8931244104,19308.752784217,19625.3331283378,19829.7052593692,20381.5088145328,21167.1404423363,21827.9288513745,22587.2501120922,23186.8295068125
Economic OI (pretax),28501.3200408731,22923.1929515825,19024.4000632887,5834.04490394408,5623.39150303763,29298.5369362855,3875.16481538566,20978.2300136628,18345.5052549637,46778.7942205635,55052.847796412,57181.4707612486,50394.2251724904,53533.0429624167,-5783.69446669942,26064.539970622,25317.6826174584,24577.6939585215
Economic OI-after-tax,18138.5914262913,14947.2446473806,20331.0065432565,3015.75466202079,3563.75383099557,18921.2176105484,1805.62999506853,13114.1588638002,11565.9434591352,94663.1554440768,43650.738878999,45868.3190410353,50394.2251724904,43126.7457847354,-5783.69446669942,19892.8950565611,17771.4891670805,20865.3599985319
NFE after-tax (real),3435.38593310437,3506.47307383106,4863.48556244508,3259.68067577539,3585.13415358114,3741.5660567477,3306.29586570934,3834.54775940502,4594.09467031658,16924.6369026804,8470.55067489684,8932.63397693982,10242.3116869067,6749.72249179632,7029.84776272403,5793.38554122819,5287.67320869715,6132.9486742318
Economic NI,14703.205493187,11440.7715735495,15467.5209808114,-243.9260137546,-21.3803225855709,15179.6515538007,-1500.66587064081,9279.61110439518,6971.84878881866,77738.5185413965,35180.1882041021,36935.6850640955,40151.9134855837,36377.0232929391,-12813.5422294234,14099.509515333,12483.8159583834,14732.4113243001
OCI (real),-26549.5279257604,4183.23829455991,4167.98242653263,4737.68950693299,7642.63886686934,11335.8655889284,11411.1352012368,7541.84755523865,6927.06963963551,9593.49743390992,5670.6409100503,7170.24298180766,5606.72687791477,4364.50185260361,3167.38213254515,2529.62862075077,849.321413884452,-895.207474615072
Comprehensive income,-11846.3224325735,15624.0098681094,19635.5034073441,4493.76349317839,7621.25854428377,26515.5171427292,9910.46933059601,16821.4586596338,13898.9184284542,87332.0159753064,40850.8291141524,44105.9280459031,45758.6403634985,40741.5251455427,-9646.1600968783,16629.1381360837,13333.1373722678,13837.203849685
"METRICS (economic, ending-balance)",,,,,,,,,,,,,,,,,,
RNOA (econ),0.0837180710089845,0.0658177334596659,0.0819681337342563,0.0126595461253732,0.0155436128716243,0.0769921658976016,0.00720775542190079,0.0365764218336059,0.0318450241060051,0.24341619519581,0.0828464810487039,0.0904125403620115,0.106611287875722,0.0898032995447989,-0.017104676111533,0.0579149097816589,0.0539874946958101,0.0597075849361659
FLEV (econ),1.04921303292119,0.827811388131226,0.674914586530235,0.63035885992648,0.710074108144595,0.725648934460835,0.682620926850619,0.925789644685438,0.859886986273457,0.720800003413708,0.874823096627671,0.996102215545234,1.08867789794737,0.988469954579769,1.1810230278687,1.12855066854653,1.02052416671919,1.11830082416302
NBC,0.0309681042514382,0.0340919835520321,0.0486606211461873,0.0353909753809323,0.0376583198564923,0.0362056842295753,0.0325326681152759,0.0222470000984381,0.0273593412829084,0.103897110928333,0.0344535650153622,0.0352837110400033,0.0415711913220795,0.0282739888719654,0.0383934657936046,0.0318117641545328,0.0318034852564144,0.0332431327074118
Spread,0.0527499667575463,0.0317257499076338,0.033307512588069,-0.0227314292555592,-0.022114706984868,0.0407864816680263,-0.0253249126933751,0.0143294217351678,0.00448568282309671,0.139519084267477,0.0483929160333417,0.0551288293220082,0.065040096553642,0.0615293106728334,-0.0554981419051376,0.0261031456271261,0.0221840094393958,0.0264644522287541
ROCE,-0.112043408718138,0.125749325189941,0.132593083917519,0.030754986965169,0.0568441661836862,0.186187279392858,0.0665658970041412,0.0903510651362935,0.0711750988246241,0.386431371786438,0.145359572610412,0.173538399872088,0.20219341169216,0.168694887451078,-0.062219172242341,0.103049556314658,0.0818400255269137,0.0838763642687399
Reported ROE (memo),0.133548527717521,0.123419715647277,0.177917901958852,0.037371842249891,0.0786470626448106,0.200564909658417,0.0693744705515181,0.108786917853445,0.105380273683356,0.209071354029859,0.105220844265545,0.0754528528235109,-0.0332090083068911,0.119483923718827,-0.0895076923076923,0.137390243666321,0.102958647913233,0.198031357151258
CLEAN-SURPLUS (nominal check),,,,,,,,,,,,,,,,,,
Net distribution D = −(div+repurch),15584,17831,13743,18108,22993,22724,11169,10469,12309,12501,14019,17305,20454,15270,13414,8330,8423,14755
Reported CI (nom) = NI+OCI,-4190,15213,22576,7124,12500,26129,14285,18679,17937,36467,23619,19370,-1039,23403,-5961,16492,11541,21029
ΔCSE (nom),,5217,10083,-6113,-13172,-1374,-1272,32955,464,17726,43228,132,-22548,4659,-68832,5797,1075,6161
Clean-surplus residual (dirty),,7835,1250,4871,-2679,-4779,-4388,24745,-5164,-6240,33628,-1933,-1055,-3474,-49457,-2365,-2043,-113
ACTIVE (cfg_restatement-selected),,,,,,,,,,,,,,,,,,
Active NOA,216662.797024369,227100.567912149,248035.49400271,238219.809158592,229274.484666393,245755.102353054,250512.10666529,358541.328166526,363194.683748229,388894.236753341,526887.060578198,507322.533548761,472691.271033474,480235.64839309,338135.281193645,343484.866531917,329177.882159806,349459.118482842
Active NFO,110933.039530336,102853.301817402,99947.0505695784,92104.8555652866,95201.649124106,103341.951308611,101630.024749088,172362.464262057,167916.859649927,162898.051268766,245854.113242562,253165.942970464,246380.037741827,238725.512780013,183100.108766295,182114.563439032,166260.809658611,184487.687373231
Active CSE,105729.757494033,124247.266094747,148088.443433132,146114.953593306,134072.835542287,142413.151044444,148882.081916202,186178.863904469,195277.824098302,225996.185484575,281032.947335636,254156.590578297,226311.233291647,241510.135613077,155035.17242735,161370.303092885,162917.072501195,164971.431109611
Active OI-after-tax,18138.5914262913,14947.2446473806,20331.0065432565,3015.75466202079,3563.75383099557,18921.2176105484,1805.62999506853,13114.1588638002,11565.9434591352,94663.1554440768,43650.738878999,45868.3190410353,50394.2251724904,43126.7457847354,-5783.69446669942,19892.8950565611,17771.4891670805,20865.3599985319
Active NI,14703.205493187,11440.7715735495,15467.5209808114,-243.9260137546,-21.3803225855709,15179.6515538007,-1500.66587064081,9279.61110439518,6971.84878881866,77738.5185413965,35180.1882041021,36935.6850640955,40151.9134855837,36377.0232929391,-12813.5422294234,14099.509515333,12483.8159583834,14732.4113243001
Active RNOA,0.0837180710089845,0.0658177334596659,0.0819681337342563,0.0126595461253732,0.0155436128716243,0.0769921658976016,0.00720775542190079,0.0365764218336059,0.0318450241060051,0.24341619519581,0.0828464810487039,0.0904125403620115,0.106611287875722,0.0898032995447989,-0.017104676111533,0.0579149097816589,0.0539874946958101,0.0597075849361659
REAL IS LINES (real 2026$; forecast build-up base),,,,,,,,,,,,,,,,,,
Real revenue,192141.254367101,191374.560560649,191001.790549217,188796.92685128,186006.883376743,185217.686079405,187491.703758617,207564.822451554,228695.228380839,219495.17443701,227887.964047199,237513.315649483,222404.482344259,165771.918197586,138262.070161111,134651.031644033,130695.074828891,130791.89391911
Real COGS,108610.714639369,109479.626255611,110104.202434237,112856.829509334,107075.764323109,100496.476418395,111668.029923628,125926.514241594,143443.820026083,106277.68605173,104460.439000108,117059.787707749,102925.521032723,44930.0050448389,89715.0110471374,55001.825084837,52437.8519234018,52900.5161162069
Real gross profit,83530.5397277325,81894.9343050383,80897.5881149796,75940.0973419461,78931.1190536338,84721.2096610104,75823.6738349892,81638.3082099596,85251.4083547563,113217.488385281,123427.525047091,120453.527941734,119478.961311536,120841.913152748,48547.0591139738,79649.2065591955,78257.2229054892,77891.377802903
Real SG&A,48543.1275969216,49060.1064664836,50816.4966568221,57871.3242790268,59960.267763966,40875.2899547985,56194.9924430589,46594.3090242472,50751.5017520322,47737.8010403068,49065.9244664625,43646.724052148,49255.0308796767,46927.3613757981,33163.613138337,31756.737737199,30352.2901759386,30126.8543375691
BUYBACK / REPURCHASE-PREMIUM ROE ADJUSTMENT  (JK-original · premium-only),,,,,,,,,,,,,,,,,,
Additive capital-efficiency view only; never enters AEG value (Penman Ch.5/6). RNOA untouched. Reserve raises the economic-CSE base so ROE falls; cfg_buyback {On|Off}. VP6 proves value-invariance.,,,,,,,,,,,,,,,,,,
cfg_buyback active (1=On),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Year-end price (contemp.),28.5,28.03,29.38,30.24,33.71,35.16,33.59,34.41,42.5301,38.8801,28.54,39.08,28.7601,24.6001,18.41,16.78,22.77,24.84
Market cap = price×shares,169803,166049.72,174458.44,179928,196225.91,189336.6,175373.39,194278.86,263218.7889,240395.6583,194243.24,287159.84,206583.7983,184574.5503,139676.67,121789.24,164035.08,178326.36
Book/market = repCSE/mktcap,0.567404580602227,0.611648125633696,0.63996330587388,0.586534613845538,0.470692173118219,0.480562131146329,0.511571339300677,0.631417128966065,0.467804751000433,0.58595484209708,0.947724100977723,0.641527728947056,0.782602514478019,0.901164324819704,0.698040696416946,0.848161955850944,0.636278532616316,0.619835452257311
Premium fraction = 1−book/mkt,0.432595419397773,0.388351874366304,0.36003669412612,0.413465386154462,0.529307826881781,0.519437868853671,0.488428660699323,0.368582871033935,0.532195248999567,0.41404515790292,0.0522758990222774,0.358472271052944,0.217397485521981,0.098835675180296,0.301959303583054,0.151838044149056,0.363721467383684,0.380164547742689
Buyback $ (nominal),6077,8161,3827,7936,12752,13028,1617,269,512,463,609,2417,5498,202,3555,194,215,6575
Annual premium reserve (real),4091.90278056331,4950.74793822132,2117.58777723895,4888.55259494913,9852.13424140897,9735.08680213045,1118.0239060484,140.188428360316,380.47075558799,262.092255524763,42.4877975118096,1135.73958894201,1547.67852478497,24.6915371097766,1229.23893271781,32.3974822897672,83.5434372978166,2601.91209482925
Cumulative premium reserve,4091.90278056331,9042.65071878462,11160.2384960236,16048.7910909727,25900.9253323817,35636.0121345121,36754.0360405605,36894.2244689208,37274.6952245088,37536.7874800336,37579.2752775454,38715.0148664874,40262.6933912724,40287.3849283822,41516.6238611,41549.0213433897,41632.5647806875,44234.4768755168
Economic CSE (real),105729.757494033,124247.266094747,148088.443433132,146114.953593306,134072.835542287,142413.151044444,148882.081916202,186178.863904469,195277.824098302,225996.185484575,281032.947335636,254156.590578297,226311.233291647,241510.135613077,155035.17242735,161370.303092885,162917.072501195,164971.431109611
Adjusted base = CSE+reserve,109821.660274596,133289.916813531,159248.681929156,162163.744684278,159973.760874668,178049.163178956,185636.117956762,223073.08837339,232552.51932281,263532.972964608,318612.222613181,292871.605444784,266573.926682919,281797.52054146,196551.79628845,202919.324436275,204549.637281882,209205.907985128
