ticker,risk_group,group_score,group_change,semidev,spread_30y_pp,credit_n_fit,put_iv_365d,has_put_iv,block_volatility,block_credit,block_industry,block_within_industry,within_group_n,within_group_shrink,within_group_ranked_on,n_blocks,weight_per_block,combined_score,cap_weight,suggested_idio_erp_pct,floor_applied,reliability
FCX,Energy & Commodities,7.50,,30.410865,0.9612,8,,False,87.87,37.5,72.5,53.7,29,0.906,2,4,0.25,62.895,0.0012866481638988262,5.003,,full
FDS,Fee-Based Financials,3.50,,27.166755,1.622,2,,False,82.11,90.87,28.5,89.48,21,0.875,2,4,0.25,72.741,0.00014181261044023265,5.7862,,credit spread fit on only 2 bonds -- treat with caution
FDX,Transport & Logistics,5.00,,20.096446,1.4255,19,34.38,True,54.41,82.85,45.0,57.1,6,0.667,2,4,0.25,59.841,0.0010640026192199883,4.7601,,full
FE,Regulated & Monopoly Assets,1.50,,12.364745,1.1321,5,,False,5.57,64.05,6.5,75.34,28,0.903,2,4,0.25,37.865,0.0003678927564580318,3.012,,full
FERG,Quality Industrials,4.00,,18.805625,,,,False,48.51,,34.0,70.98,44,0.936,1,3,0.3333,51.163,0.0006376410355250539,4.0698,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
FFIV,Software & Digital Platforms,5.50,,20.15195,,,42.89,True,67.79,,50.5,39.77,35,0.921,1,3,0.3333,52.688,0.00030521521965252963,4.1911,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
FICO,Software & Digital Platforms,5.50,,35.890808,1.6767,1,53.85,True,92.22,92.53,50.5,80.0,35,0.921,2,4,0.25,78.814,0.000329078347453081,6.2693,,credit spread fit on only 1 bond -- treat with caution
FIS,Payments & Financial Processing,5.50,moved,22.084577,1.4167,5,,False,65.01,81.75,50.5,59.78,9,0.75,2,4,0.25,64.26,0.000284638344705636,5.1116,,full
FISV,Payments & Financial Processing,5.50,moved,56.182843,1.2688,7,,False,99.6,75.66,50.5,87.62,9,0.75,2,4,0.25,78.348,0.00037263970051016395,6.2322,,full
FITB,Banks & Capital Markets,7.00,,15.875091,1.4096,3,30.03,True,28.62,80.92,67.0,68.92,25,0.893,2,4,0.25,61.364,0.0007055110374021617,4.8812,,full
FIX,Heavy Cyclicals,7.00,,30.475371,,,,False,88.07,,67.0,77.95,18,0.857,1,3,0.3333,77.675,0.0008242840887911815,6.1787,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
FLEX,Hardware & Components,6.00,split,25.856976,1.5513,1,,False,79.13,87.56,56.0,60.0,19,0.864,2,4,0.25,70.671,0.0006046019251769375,5.6215,,credit spread fit on only 1 bond -- treat with caution
FOX,Media & Entertainment,5.50,split,17.86706,1.3372,3,,False,42.55,78.43,50.5,63.19,10,0.769,2,4,0.25,58.668,0.00035562883100884326,4.6668,,full
FOXA,Media & Entertainment,5.50,split,18.179345,,,,False,45.33,,50.5,37.81,10,0.769,1,3,0.3333,44.546,0.00040742844798124774,3.5434,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
FRT,Real Estate,4.50,,11.907448,1.0151,2,,False,4.18,48.29,39.5,50.5,21,0.875,2,4,0.25,35.617,0.00013612393703356924,2.8332,,credit spread fit on only 2 bonds -- treat with caution
FSLR,Energy & Commodities,7.50,,39.592039,,,,False,97.02,,72.5,95.36,29,0.906,1,3,0.3333,88.292,0.0003186662717889007,7.0232,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
FTNT,Software & Digital Platforms,5.50,,29.757778,0.979,1,55.38,True,89.92,40.82,50.5,34.41,35,0.921,2,4,0.25,53.912,0.0015748076983552997,4.2884,,credit spread fit on only 1 bond -- treat with caution
FTV,Quality Industrials,4.00,moved,15.06956,1.0449,1,,False,22.07,52.71,34.0,55.89,44,0.936,2,4,0.25,41.168,0.00024585958602768007,3.2747,,credit spread fit on only 1 bond -- treat with caution
GD,Aerospace & Defense,3.50,split,13.106322,0.7695,7,24.16,True,7.37,10.96,28.5,10.28,13,0.812,2,4,0.25,14.277,0.0014484551840836717,1.1357,,full
GDDY,Software & Digital Platforms,5.50,,26.993731,,,,False,81.71,,50.5,61.23,35,0.921,1,3,0.3333,64.479,0.00016871972888890088,5.129,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
GE,Aerospace & Defense,3.50,split,20.235884,0.6902,6,35.72,True,56.78,4.87,28.5,30.39,13,0.812,2,4,0.25,30.137,0.005288400804622258,2.3973,,full
GEHC,Healthcare - Established,3.50,,21.773101,,,,False,63.62,,28.5,89.48,21,0.875,1,3,0.3333,60.534,0.0004433236017453249,4.8152,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
GEN,Software & Digital Platforms,5.50,,17.449482,,,,False,39.17,,50.5,10.27,35,0.921,1,3,0.3333,33.313,0.00022408062481921192,2.6499,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
GEV,Quality Industrials,4.00,,29.208299,,,,False,85.89,,34.0,94.69,44,0.936,1,3,0.3333,71.524,0.0036464950760790598,5.6894,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
GILD,Healthcare - Established,3.50,,16.907377,0.8271,12,30.41,True,32.23,17.04,28.5,28.84,21,0.875,2,4,0.25,26.654,0.0023971232331058303,2.1202,,full
GIS,Consumer Staples,3.00,,17.148434,1.0202,6,33.13,True,41.7,49.39,23.0,58.46,23,0.885,2,4,0.25,43.138,0.0002748775679419929,3.4314,,full
GL,Insurance Underwriters,5.00,,14.82495,1.2095,1,,False,20.88,71.52,45.0,77.95,18,0.857,2,4,0.25,53.838,0.00019106165044435692,4.2826,,credit spread fit on only 1 bond -- treat with caution
GLW,Hardware & Components,6.00,split,26.919873,1.1031,4,,False,81.31,59.35,56.0,26.75,19,0.864,2,4,0.25,55.853,0.0018777131753443836,4.4428,,full
GM,Heavy Cyclicals,7.00,,21.168292,1.4181,25,37.33,True,62.38,82.03,67.0,33.03,18,0.857,2,4,0.25,61.11,0.001034788469890377,4.861,,full
GNRC,Quality Industrials,4.00,,26.021097,,,,False,79.33,,34.0,92.53,44,0.936,1,3,0.3333,68.618,0.00016905772137284003,5.4582,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
GOOG,Software & Digital Platforms,5.50,,15.498314,0.8617,5,,False,24.06,22.57,50.5,4.91,35,0.921,2,4,0.25,25.509,0.056478423516273114,2.0291,,full
GOOGL,Software & Digital Platforms,5.50,,15.940486,,,36.91,True,46.98,,50.5,15.64,35,0.921,1,3,0.3333,37.705,0.05696165428475505,2.9993,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
GPC,Defensive Retail,3.50,,23.466098,1.5617,1,,False,71.57,88.66,28.5,91.26,14,0.824,2,4,0.25,70.0,0.00024473349219371874,5.5682,,credit spread fit on only 1 bond -- treat with caution
GPN,Payments & Financial Processing,5.50,moved,22.615237,1.5587,8,44.58,True,73.72,87.83,50.5,69.06,9,0.75,2,4,0.25,70.278,0.00031519309389854385,5.5903,,full
GRMN,Quality Industrials,4.00,moved,19.750251,,,33.13,True,49.56,,34.0,75.29,44,0.936,1,3,0.3333,52.95,0.0007736850495925142,4.2119,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
GS,Banks & Capital Markets,7.00,,14.505409,0.7752,66,36.52,True,42.57,11.78,67.0,28.4,25,0.893,2,4,0.25,37.44,0.004265166043483217,2.9782,,full
GWW,Quality Industrials,4.00,,15.807432,,,27.19,True,19.62,,34.0,17.09,44,0.936,1,3,0.3333,23.569,0.000835689839005353,1.8748,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
HAL,Energy & Commodities,7.50,,24.212265,1.2228,7,,False,74.55,72.9,72.5,76.13,29,0.906,2,4,0.25,74.022,0.00039050044485267803,5.8881,,full
HAS,Consumer Services & Retail,5.00,moved,19.238326,1.6329,5,,False,50.5,91.43,45.0,76.8,17,0.85,2,4,0.25,65.931,0.00017960857490645116,5.2445,,full
HBAN,Banks & Capital Markets,7.00,,17.140058,,,,False,36.39,,67.0,39.45,25,0.893,1,3,0.3333,47.612,0.0004689286366501359,3.7873,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
HCA,Healthcare - Services,7.50,,20.363429,1.2608,12,35.1,True,55.33,75.11,72.5,50.5,11,0.786,2,4,0.25,63.359,0.0012334774960446548,5.0399,,full
HD,Defensive Retail,3.50,,14.70384,0.8622,28,29.99,True,24.49,23.12,28.5,34.82,14,0.824,2,4,0.25,27.733,0.004519279518348614,2.206,,full
HIG,Insurance Underwriters,5.00,,13.433678,0.9603,1,,False,11.34,37.23,45.0,43.01,18,0.857,2,4,0.25,34.144,0.0005279720337285134,2.716,,credit spread fit on only 1 bond -- treat with caution
HII,Aerospace & Defense,3.50,split,28.091397,0.9356,3,,False,83.9,34.46,28.5,70.61,13,0.812,2,4,0.25,54.367,0.0001686709221817097,4.3246,,full
HLT,Travel & Leisure,7.00,,13.526582,,,29.75,True,21.6,,67.0,11.61,11,0.786,1,3,0.3333,33.404,0.0010090527902587227,2.6571,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
HON,Quality Industrials,4.00,,13.778596,0.6787,8,34.3,True,38.19,4.32,34.0,25.71,44,0.936,2,4,0.25,25.556,0.0009766112938532673,2.0329,,full
HOOD,Banks & Capital Markets,7.00,,38.293431,,,,False,96.42,,67.0,91.01,25,0.893,1,3,0.3333,84.812,0.0011235261779259968,6.7464,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
HPE,Hardware & Components,6.00,split,23.747368,1.4475,2,,False,73.16,84.38,56.0,50.5,19,0.864,2,4,0.25,66.01,0.0010721836784800371,5.2508,,credit spread fit on only 2 bonds -- treat with caution
HPQ,Hardware & Components,6.00,split,23.348064,1.3664,8,,False,71.17,80.09,56.0,41.0,19,0.864,2,4,0.25,62.066,0.0003725911179518963,4.9371,,full
HRL,Consumer Staples,3.00,,20.9335,0.7892,3,,False,61.04,12.89,23.0,42.54,23,0.885,2,4,0.25,34.866,0.00018024837004109644,2.7734,,full
HSIC,Healthcare - Established,3.50,,17.54634,,,,False,40.36,,28.5,63.49,21,0.875,1,3,0.3333,44.118,0.0001372301150904706,3.5094,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
HST,Real Estate,4.50,,14.042361,1.338,1,,False,15.71,78.71,39.5,76.49,21,0.875,2,4,0.25,52.601,0.00021382597290214465,4.1842,,credit spread fit on only 1 bond -- treat with caution
HSY,Consumer Staples,3.00,,18.295627,0.7226,1,30.51,True,39.14,6.25,23.0,34.58,23,0.885,2,4,0.25,25.743,0.0005038265397262555,2.0477,,credit spread fit on only 1 bond -- treat with caution
HUBB,Quality Industrials,4.00,,17.733292,0.7261,2,,False,41.55,6.53,34.0,30.02,44,0.936,2,4,0.25,28.027,0.00034682333936619954,2.2294,,credit spread fit on only 2 bonds -- treat with caution
HUM,Healthcare - Services,7.50,,36.927803,1.422,8,,False,95.63,82.58,72.5,81.61,11,0.786,2,4,0.25,83.08,0.0006208882966339764,6.6086,,full
HWM,Aerospace & Defense,3.50,split,18.738773,1.175,2,,False,48.31,69.03,28.5,57.2,13,0.812,2,4,0.25,50.761,0.0015816978980545675,4.0378,,credit spread fit on only 2 bonds -- treat with caution
IBKR,Banks & Capital Markets,7.00,,20.722174,,,,False,60.64,,67.0,83.65,25,0.893,1,3,0.3333,70.429,0.0005480028333893895,5.6023,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
IBM,IT Services & Advertising,7.00,,22.980444,1.3232,20,45.44,True,75.03,77.6,67.0,35.07,8,0.727,2,4,0.25,63.676,0.0029802006905348313,5.0651,,full
ICE,Fee-Based Financials,3.50,,15.288132,0.9526,13,31.69,True,32.81,35.84,28.5,37.51,21,0.875,2,4,0.25,33.666,0.0011884770661342177,2.678,,full
IDXX,Healthcare - Innovation,5.00,,18.947479,,,,False,49.31,,45.0,23.08,27,0.9,1,3,0.3333,39.131,0.0006001562017842325,3.1127,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
IEX,Quality Industrials,4.00,,16.798745,1.0325,1,,False,34.2,51.05,34.0,66.67,44,0.936,2,4,0.25,46.479,0.00023359609080675174,3.6972,,credit spread fit on only 1 bond -- treat with caution
IFF,Materials & Packaging,4.50,,20.179202,1.0734,6,,False,56.66,57.69,39.5,69.5,19,0.864,2,4,0.25,55.838,0.00027987692788238825,4.4416,,full
INCY,Healthcare - Innovation,5.00,,21.469087,,,,False,63.02,,45.0,43.65,27,0.9,1,3,0.3333,50.557,0.00034564040326360673,4.0216,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
INTC,Semiconductors & Semicap,6.50,split,39.679977,1.3272,32,,False,97.22,78.15,61.5,82.95,18,0.857,2,4,0.25,79.954,0.006634660784064162,6.36,,full
INTU,Software & Digital Platforms,5.50,,32.127972,,,56.91,True,92.94,,50.5,82.68,35,0.921,1,3,0.3333,75.376,0.001300272955113507,5.9958,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
INVH,Real Estate,4.50,,14.525344,1.6698,4,,False,19.49,92.26,39.5,80.82,21,0.875,2,4,0.25,58.016,0.00023674701019842968,4.6149,,full
IP,Materials & Packaging,4.50,,27.6845,1.2511,6,,False,83.1,74.01,39.5,88.5,19,0.864,2,4,0.25,71.277,0.000285113276370979,5.6697,,full
IQV,Healthcare - Innovation,5.00,,23.937806,1.8491,1,,False,73.56,95.02,45.0,74.49,27,0.9,2,4,0.25,72.018,0.0005440916379561987,5.7287,,credit spread fit on only 1 bond -- treat with caution
IR,Quality Industrials,4.00,,19.258262,,,,False,50.9,,34.0,77.44,44,0.936,1,3,0.3333,54.113,0.0004257261287029779,4.3044,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
IRM,Contracted Infrastructure,5.00,,20.389249,1.9923,7,,False,57.66,95.85,45.0,91.75,15,0.833,2,4,0.25,72.565,0.0005106523458173586,5.7722,,full
ISRG,Healthcare - Innovation,5.00,,17.355814,,,40.01,True,57.08,,45.0,29.94,27,0.9,1,3,0.3333,44.007,0.0018854488643261856,3.5005,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
IT,IT Services & Advertising,7.00,,39.911382,2.9773,2,,False,97.42,99.72,67.0,65.93,8,0.727,2,4,0.25,82.517,0.00016298125656112126,6.5638,,credit spread fit on only 2 bonds -- treat with caution
ITW,Quality Industrials,4.00,,12.58702,2.1573,2,,False,6.37,96.41,34.0,79.6,44,0.936,2,4,0.25,54.092,0.0010983918396270925,4.3028,,credit spread fit on only 2 bonds -- treat with caution
IVZ,Asset Management,6.00,split,17.298959,1.049,1,,False,38.17,53.54,56.0,41.22,9,0.75,2,4,0.25,47.234,0.00019781723311925538,3.7572,,credit spread fit on only 1 bond -- treat with caution
J,Heavy Cyclicals,7.00,,20.454555,,,,False,58.25,,67.0,13.06,18,0.857,1,3,0.3333,46.105,0.00022857485859939397,3.6674,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
JBHT,Transport & Logistics,5.00,,19.657125,,,,False,54.08,,45.0,30.7,6,0.667,1,3,0.3333,43.259,0.00035000003851923446,3.441,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
JBL,Hardware & Components,6.00,split,23.566818,1.3001,1,,False,71.97,76.49,56.0,31.5,19,0.864,2,4,0.25,58.991,0.0004848542079324785,4.6924,,credit spread fit on only 1 bond -- treat with caution
JCI,Quality Industrials,4.00,,15.826505,1.0495,2,,False,26.64,53.82,34.0,58.04,44,0.936,2,4,0.25,43.127,0.0012335967171356195,3.4305,,credit spread fit on only 2 bonds -- treat with caution
JKHY,Payments & Financial Processing,5.50,moved,17.632113,,,,False,40.76,,50.5,13.38,9,0.75,1,3,0.3333,34.878,0.00014817695006941208,2.7744,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
JNJ,Healthcare - Established,3.50,,11.830372,0.5305,21,25.82,True,7.18,2.11,28.5,7.19,21,0.875,2,4,0.25,11.242,0.008894102248344424,0.8942,,full
JPM,Banks & Capital Markets,7.00,,13.943,,,26.18,True,12.66,,67.0,9.99,25,0.893,1,3,0.3333,29.883,0.013643768650460752,2.377,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
KDP,Consumer Staples,3.00,,19.647464,1.1897,8,,False,53.68,70.41,23.0,82.35,23,0.885,2,4,0.25,57.359,0.000564848766712832,4.5626,,full
KEY,Banks & Capital Markets,7.00,,16.118227,1.4112,6,,False,28.43,81.2,67.0,72.6,25,0.893,2,4,0.25,62.307,0.00032822798180211064,4.9562,,full
KEYS,Quality Industrials,4.00,moved,16.455086,1.1582,1,,False,31.42,66.54,34.0,73.13,44,0.936,2,4,0.25,51.272,0.0007931392422811035,4.0784,,credit spread fit on only 1 bond -- treat with caution
KHC,Consumer Staples,3.00,,18.087521,1.4876,7,,False,44.73,85.9,23.0,86.33,23,0.885,2,4,0.25,59.99,0.0003957632120453706,4.7719,,full
KIM,Real Estate,4.50,,12.650025,0.8681,6,,False,6.77,24.78,39.5,24.51,21,0.875,2,4,0.25,23.89,0.0002189145250765146,1.9003,,full
KKR,Asset Management,6.00,split,22.493152,1.1862,2,,False,66.8,69.86,56.0,78.34,9,0.75,2,4,0.25,67.751,0.0013627066565703903,5.3893,,credit spread fit on only 2 bonds -- treat with caution
KLAC,Semiconductors & Semicap,6.50,split,27.339707,0.8877,6,70.55,True,92.45,28.1,61.5,33.03,18,0.857,2,4,0.25,53.771,0.0034559605865537146,4.2772,,full
KMB,Consumer Staples,3.00,,19.472452,0.7452,8,28.56,True,32.83,8.74,23.0,30.6,23,0.885,2,4,0.25,23.792,0.00048270368508468583,1.8925,,full
KMI,Contracted Infrastructure,5.00,,15.652072,1.2576,24,,False,25.45,74.28,45.0,56.39,15,0.833,2,4,0.25,50.282,0.0009832833274907229,3.9997,,full
KO,Consumer Staples,3.00,,10.734303,0.6622,18,22.09,True,2.11,3.77,23.0,6.71,23,0.885,2,4,0.25,8.896,0.005150378933177581,0.9122,credit floor applied (0.708 -> 0.912),full
KR,Defensive Retail,3.50,moved,16.936256,1.1174,14,,False,35.19,61.28,28.5,72.45,14,0.824,2,4,0.25,49.357,0.00046584443780994664,3.9261,,full
KVUE,Consumer Staples,3.00,,23.033236,,,,False,69.98,,23.0,90.31,23,0.885,1,3,0.3333,61.097,0.00048605575479537176,4.86,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
L,Insurance Underwriters,5.00,,12.064534,0.9802,2,,False,4.58,41.1,45.0,38.02,18,0.857,2,4,0.25,32.174,0.000310512289078853,2.5593,,credit spread fit on only 2 bonds -- treat with caution
LDOS,Aerospace & Defense,3.50,moved,22.824352,1.4475,4,,False,69.19,84.38,28.5,84.02,13,0.812,2,4,0.25,66.52,0.00024498756712282093,5.2913,,full
LEN,Heavy Cyclicals,7.00,,23.398031,1.1212,1,,False,71.37,62.39,67.0,28.04,18,0.857,2,4,0.25,57.201,0.00027705407361888133,4.5501,,credit spread fit on only 1 bond -- treat with caution
LH,Healthcare - Services,7.50,moved,15.258502,0.8583,3,,False,22.67,21.46,72.5,11.61,11,0.786,2,4,0.25,32.06,0.0003551905359687815,2.5502,,full
LHX,Aerospace & Defense,3.50,split,16.42425,0.9584,1,,False,31.22,36.95,28.5,37.09,13,0.812,2,4,0.25,33.44,0.00070744712711742,2.66,,credit spread fit on only 1 bond -- treat with caution
LII,Quality Industrials,4.00,,22.638198,,,,False,68.59,,34.0,88.22,44,0.936,1,3,0.3333,63.603,0.00019231929240384006,5.0593,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
LIN,Materials & Packaging,4.50,,11.453773,,,24.98,True,6.18,,39.5,7.75,19,0.864,1,3,0.3333,17.811,0.0029896761145731874,1.4168,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
LITE,Hardware & Components,6.00,split,48.313616,,,,False,99.01,,56.0,88.5,19,0.864,1,3,0.3333,81.169,0.0008759034089310204,6.4566,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
LLY,Healthcare - Established,3.50,,26.511216,0.6679,10,39.34,True,73.89,4.04,28.5,54.83,21,0.875,2,4,0.25,40.315,0.014727720362541583,3.2069,,full
LMT,Aerospace & Defense,3.50,split,20.009229,0.8288,16,29.34,True,36.61,17.32,28.5,23.69,13,0.812,2,4,0.25,26.527,0.0018865104122242884,2.1101,,full
LNT,Regulated & Monopoly Assets,1.50,,11.770167,1.0444,4,,False,3.39,52.44,6.5,62.09,28,0.903,2,4,0.25,31.103,0.00024546918077082995,2.4741,,full
LOW,Defensive Retail,3.50,,16.120423,1.0632,27,33.12,True,38.03,55.48,28.5,66.18,14,0.824,2,4,0.25,47.046,0.0016235523854538404,3.7423,,full
LRCX,Semiconductors & Semicap,6.50,split,26.527411,0.8254,4,,False,80.72,16.76,61.5,18.05,18,0.857,2,4,0.25,44.259,0.005559901219282201,3.5206,,full
LULU,Consumer Services & Retail,5.00,moved,36.07351,,,,False,94.83,,45.0,92.58,17,0.85,1,3,0.3333,77.469,0.00018477648779237251,6.1623,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
LUV,Heavy Cyclicals,7.00,,25.583466,,,,False,78.13,,67.0,43.01,18,0.857,1,3,0.3333,62.715,0.000284488705938891,4.9887,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
LVS,Travel & Leisure,7.00,,24.680721,1.4355,1,,False,76.14,83.41,67.0,73.84,11,0.786,2,4,0.25,75.097,0.00040531011158517007,5.9736,,credit spread fit on only 1 bond -- treat with caution
LYB,Materials & Packaging,4.50,,29.87225,1.4547,6,,False,87.28,84.79,39.5,93.25,19,0.864,2,4,0.25,76.204,0.0002837031360250625,6.0617,,full
LYV,Media & Entertainment,5.50,split,20.517265,,,,False,58.85,,50.5,54.73,10,0.769,1,3,0.3333,54.693,0.0005900511777706466,4.3506,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
MA,Fee-Based Financials,3.50,,14.516296,0.6846,12,26.25,True,13.49,4.59,28.5,11.52,21,0.875,2,4,0.25,14.525,0.006817984944671888,1.1554,,full
MAA,Real Estate,4.50,,12.773441,0.8599,3,,False,7.36,22.02,39.5,20.18,21,0.875,2,4,0.25,22.265,0.00020326220843355954,1.7711,,full
MAR,Travel & Leisure,7.00,,14.364878,1.1926,8,30.77,True,27.52,70.69,67.0,19.39,11,0.786,2,4,0.25,46.149,0.0012942436018289667,3.6709,,full
MAS,Quality Industrials,4.00,,17.684217,0.9756,7,,False,41.16,40.54,34.0,60.2,44,0.936,2,4,0.25,43.975,0.00019608022685266456,3.498,,full
MCD,Consumer Services & Retail,5.00,,12.110348,0.9471,22,24.93,True,6.99,35.01,45.0,8.43,17,0.85,2,4,0.25,23.857,0.0025611671847955994,1.8977,,full
MCHP,Semiconductors & Semicap,6.50,split,25.360359,,,,False,77.34,,61.5,62.98,18,0.857,1,3,0.3333,67.272,0.0005787053434026867,5.3512,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
MCK,Healthcare - Established,3.50,,19.484203,0.7293,2,30.84,True,41.73,6.81,28.5,24.51,21,0.875,2,4,0.25,25.387,0.0013930763099899383,2.0194,,credit spread fit on only 2 bonds -- treat with caution
MCO,Fee-Based Financials,3.50,,17.418789,1.0141,8,,False,38.97,48.01,28.5,41.84,21,0.875,2,4,0.25,39.33,0.0011488500989966773,3.1285,,full
MDLZ,Consumer Staples,3.00,,15.594324,0.85,5,27.72,True,19.41,20.08,23.0,26.62,23,0.885,2,4,0.25,22.276,0.0010884333998671615,1.7719,,full
MDT,Healthcare - Established,3.50,,13.760659,0.7693,2,28.85,True,18.93,10.68,28.5,11.52,21,0.875,2,4,0.25,17.406,0.001594817560957894,1.3846,,credit spread fit on only 2 bonds -- treat with caution
MET,Insurance Underwriters,5.00,,14.321265,0.9685,17,,False,17.1,39.44,45.0,53.0,18,0.857,2,4,0.25,38.634,0.0008527374321456205,3.0731,,full
META,Software & Digital Platforms,5.50,,19.767516,1.5751,4,43.69,True,68.61,89.49,50.5,58.55,35,0.921,2,4,0.25,66.787,0.018756032519274875,5.3126,,full
MGM,Travel & Leisure,7.00,,22.169946,,,,False,65.61,,67.0,50.5,11,0.786,1,3,0.3333,61.036,0.00015012380285883394,4.8551,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
MKC,Consumer Staples,3.00,,19.561346,0.8618,2,,False,52.89,22.85,23.0,46.52,23,0.885,2,4,0.25,36.313,0.00020007464080043733,2.8885,,credit spread fit on only 2 bonds -- treat with caution
MLM,Materials & Packaging,4.50,,15.946675,0.967,6,,False,27.84,39.16,39.5,31.5,19,0.864,2,4,0.25,34.5,0.00042314511655400504,2.7443,,full
MMM,Quality Industrials,4.00,,15.309532,0.9338,9,29.81,True,25.83,34.18,34.0,42.96,44,0.936,2,4,0.25,34.242,0.0012834777042924701,2.7238,,full
MNST,Consumer Staples,3.00,,17.151179,,,,False,36.78,,23.0,38.56,23,0.885,1,3,0.3333,32.78,0.0012593355266778666,2.6075,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
MO,Consumer Staples,3.00,,15.470266,1.4189,13,27.94,True,19.52,82.3,23.0,66.42,23,0.885,2,4,0.25,47.811,0.0014654338197006118,3.8031,,full
MOS,Energy & Commodities,7.50,,29.622897,1.4795,5,,False,86.48,85.62,72.5,79.34,29,0.906,2,4,0.25,80.985,9.035339315955082e-05,6.442,,full
MPC,Energy & Commodities,7.50,,23.202248,,,,False,70.38,,72.5,63.32,29,0.906,1,3,0.3333,68.732,0.0014288433095110133,5.4673,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
MPWR,Semiconductors & Semicap,6.50,split,26.934375,,,,False,81.51,,61.5,67.97,18,0.857,1,3,0.3333,70.328,0.0008827807031955138,5.5943,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
MRK,Healthcare - Established,3.50,,18.3818,0.8941,14,30.71,True,39.86,28.93,28.5,41.84,21,0.875,2,4,0.25,34.782,0.004492392941013782,2.7667,,full
MRNA,Healthcare - Innovation,5.00,,40.928962,,,,False,98.01,,45.0,95.05,27,0.9,1,3,0.3333,79.354,0.00033520374435663954,6.3122,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
MRSH,Fee-Based Financials,3.50,,16.529367,,,,False,32.61,,28.5,33.17,21,0.875,1,3,0.3333,31.428,0.0012127473178618101,2.4999,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
MRVL,Semiconductors & Semicap,6.50,split,36.274797,1.03,4,,False,95.03,50.78,61.5,57.99,18,0.857,2,4,0.25,66.324,0.0025941796075469514,5.2758,,full
MS,Banks & Capital Markets,7.00,,13.431297,1.0759,5,33.08,True,32.41,58.24,67.0,54.18,25,0.893,2,4,0.25,52.96,0.004659333740581064,4.2127,,full
MSCI,Fee-Based Financials,3.50,,18.256541,2.6346,3,,False,46.13,98.62,28.5,80.82,21,0.875,2,4,0.25,63.516,0.0005530918652682696,5.0524,,full
MSFT,Software & Digital Platforms,5.50,,15.820456,0.814,21,33.56,True,39.71,15.93,50.5,7.59,35,0.921,2,4,0.25,28.432,0.04826069899387463,2.2616,,full
MSI,Hardware & Components,6.00,split,17.763475,1.1632,7,,False,41.75,67.09,56.0,17.25,19,0.864,2,4,0.25,45.524,0.001055409078615489,3.6212,,full
