ticker,risk_group,group_score,group_change,semidev,spread_30y_pp,credit_n_fit,put_iv_365d,has_put_iv,block_volatility,block_credit,block_industry,block_within_industry,within_group_n,within_group_shrink,within_group_ranked_on,n_blocks,weight_per_block,combined_score,cap_weight,suggested_idio_erp_pct,floor_applied,reliability
CASY,Defensive Retail,3.50,moved,16.322516,,,,False,30.22,,28.5,41.09,14,0.824,1,3,0.3333,33.272,0.0004285591560363681,2.6466,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
CAT,Quality Industrials,4.00,,16.644228,0.6921,12,45.84,True,61.74,5.15,34.0,45.11,44,0.936,2,4,0.25,36.5,0.005228649755544244,2.9034,,full
CB,Insurance Underwriters,5.00,,12.839792,0.7719,9,24.26,True,7.41,11.23,45.0,8.07,18,0.857,2,4,0.25,17.927,0.0018244228678678182,1.426,,full
CBOE,Fee-Based Financials,3.50,,16.079639,1.1731,1,37.59,True,49.51,68.75,28.5,59.16,21,0.875,2,4,0.25,51.481,0.00041039542306517017,4.0951,,credit spread fit on only 1 bond -- treat with caution
CBRE,Fee-Based Financials,3.50,moved,20.38818,,,,False,57.46,,28.5,50.5,21,0.875,1,3,0.3333,45.486,0.000588152201696253,3.6182,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
CCI,Contracted Infrastructure,5.00,,19.142358,1.1874,11,34.67,True,52.67,70.13,45.0,74.07,15,0.833,2,4,0.25,60.468,0.0004319628867498588,4.8099,,full
CCL,Travel & Leisure,7.00,,26.245913,1.7912,1,46.91,True,82.61,94.19,67.0,89.39,11,0.786,2,4,0.25,83.298,0.0005088895819192769,6.626,,credit spread fit on only 1 bond -- treat with caution
CDNS,Software & Digital Platforms,5.50,,22.589428,,,47.15,True,77.07,,50.5,50.5,35,0.921,1,3,0.3333,59.356,0.0011700399158435717,4.7215,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
CDW,IT Services & Advertising,7.00,,28.31574,1.6229,2,,False,84.49,91.15,67.0,55.64,8,0.727,2,4,0.25,74.572,0.00023118285982758464,5.9318,,credit spread fit on only 2 bonds -- treat with caution
CEG,Merchant Power,6.50,moved,33.397153,1.8612,3,50.56,True,90.11,95.3,61.5,59.93,4,0.571,2,4,0.25,76.71,0.0012699507362284486,6.1019,,full
CF,Energy & Commodities,7.50,,27.636304,1.1204,3,44.46,True,80.97,62.11,72.5,69.73,29,0.906,2,4,0.25,71.327,0.0002477161285274362,5.6737,,full
CFG,Banks & Capital Markets,7.00,,16.215586,1.1718,1,30.3,True,29.31,68.47,67.0,61.55,25,0.893,2,4,0.25,56.583,0.00042140918623451444,4.5009,,credit spread fit on only 1 bond -- treat with caution
CHD,Consumer Staples,3.00,,14.849569,0.7922,5,,False,21.28,13.72,23.0,22.63,23,0.885,2,4,0.25,20.158,0.00031746497607175434,1.6035,,full
CHRW,Transport & Logistics,5.00,,22.732792,1.2465,1,40.14,True,68.71,73.73,45.0,70.3,6,0.667,2,4,0.25,64.435,0.00023291989526902935,5.1255,,credit spread fit on only 1 bond -- treat with caution
CHTR,Telecom & Cable,7.00,split,39.320203,2.4114,30,61.32,True,95.99,97.79,67.0,83.5,6,0.667,2,4,0.25,86.07,0.0002418464652173692,6.8465,,full
CI,Healthcare - Services,7.50,,25.527048,1.0288,14,32.36,True,56.66,50.22,72.5,27.16,11,0.786,2,4,0.25,51.637,0.000988360921751306,4.1075,,full
CIEN,Hardware & Components,6.00,split,37.89587,,,,False,95.83,,56.0,79.0,19,0.864,1,3,0.3333,76.942,0.0007977531655632685,6.1204,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
CINF,Insurance Underwriters,5.00,,14.096062,1.7413,2,,False,16.11,93.64,45.0,87.94,18,0.857,2,4,0.25,60.671,0.00035915135433284084,4.8261,,credit spread fit on only 2 bonds -- treat with caution
CL,Consumer Staples,3.00,,14.367443,0.4579,5,26.72,True,14.74,1.55,23.0,14.67,23,0.885,2,4,0.25,13.491,0.0009908660796028265,1.0731,,full
CLX,Consumer Staples,3.00,,19.054043,0.9244,4,34.0,True,51.36,32.53,23.0,50.5,23,0.885,2,4,0.25,39.347,0.00017331520398326927,3.1299,,full
CMCSA,Telecom & Cable,7.00,split,21.285107,1.5985,43,37.23,True,62.15,89.77,67.0,57.1,6,0.667,2,4,0.25,69.005,0.0012575303152496183,5.489,,full
CME,Fee-Based Financials,3.50,,14.019749,0.7904,4,30.85,True,27.55,13.17,28.5,15.85,21,0.875,2,4,0.25,21.266,0.001322424182348698,1.6916,,full
CMG,Consumer Services & Retail,5.00,,27.689381,,,41.55,True,77.5,,45.0,82.06,17,0.85,1,3,0.3333,68.185,0.000578788932989143,5.4238,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
CMI,Quality Industrials,4.00,,17.466906,0.7525,3,,False,39.37,9.3,34.0,32.18,44,0.936,2,4,0.25,28.711,0.0011568335893728699,2.2838,,full
CMS,Regulated & Monopoly Assets,1.50,,11.918716,0.9663,11,,False,4.38,38.89,6.5,35.6,28,0.903,2,4,0.25,21.34,0.00028715400491299435,1.6975,,full
CNC,Healthcare - Services,7.50,,54.825236,2.631,4,47.1,True,90.56,98.34,72.5,89.39,11,0.786,2,4,0.25,87.699,0.00043635746864038324,6.976,,full
CNP,Regulated & Monopoly Assets,1.50,,12.70099,0.8743,16,,False,7.16,26.44,6.5,32.28,28,0.903,2,4,0.25,18.097,0.00036300025446175943,1.4395,,full
COF,Banks & Capital Markets,7.00,moved,20.182475,0.8698,3,33.35,True,50.78,25.34,67.0,43.13,25,0.893,2,4,0.25,46.563,0.0018493767388562087,3.7039,,full
COHR,Hardware & Components,6.00,split,40.758044,,,,False,97.81,,56.0,83.75,19,0.864,1,3,0.3333,79.188,0.0008330314316964139,6.299,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
COIN,Banks & Capital Markets,7.00,moved,39.225636,2.3178,1,75.54,True,98.0,97.23,67.0,94.7,25,0.893,2,4,0.25,89.233,0.0005178702843973299,7.0981,,credit spread fit on only 1 bond -- treat with caution
COO,Healthcare - Innovation,5.00,,23.744023,,,,False,72.96,,45.0,57.35,27,0.9,1,3,0.3333,58.439,0.00019862025416688756,4.6485,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
COP,Energy & Commodities,7.50,,21.22231,0.9624,11,32.21,True,49.8,38.06,72.5,37.68,29,0.906,2,4,0.25,49.509,0.002117706630639352,3.9382,,full
COR,Healthcare - Established,3.50,,23.694447,0.9691,4,28.41,True,39.97,39.72,28.5,59.16,21,0.875,2,4,0.25,41.836,0.0008243108489889649,3.3279,,full
COST,Defensive Retail,3.50,,13.448713,0.3236,4,27.0,True,14.02,1.0,28.5,9.74,14,0.824,2,4,0.25,13.314,0.005731962629751553,1.0591,,full
CPAY,Software & Digital Platforms,5.50,,20.558793,,,,False,59.45,,50.5,21.0,35,0.921,1,3,0.3333,43.648,0.00036276761525238187,3.472,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
CPRT,Quality Industrials,4.00,,18.809881,,,38.12,True,60.87,,34.0,83.91,44,0.936,1,3,0.3333,59.592,0.0004089040589848893,4.7403,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
CPT,Real Estate,4.50,,13.127433,0.7929,1,,False,9.15,14.0,39.5,7.19,21,0.875,2,4,0.25,17.459,0.0001476422742189334,1.3888,,credit spread fit on only 1 bond -- treat with caution
CRH,Materials & Packaging,4.50,,16.717682,,,37.49,True,50.89,,39.5,60.0,19,0.864,1,3,0.3333,50.129,0.0008384826119778006,3.9875,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
CRL,Healthcare - Innovation,5.00,,31.6916,1.5269,1,,False,89.86,87.0,45.0,81.34,27,0.9,2,4,0.25,75.802,0.00018199739500302813,6.0297,,credit spread fit on only 1 bond -- treat with caution
CRM,Software & Digital Platforms,5.50,,26.043615,1.352,6,48.07,True,84.42,79.26,50.5,63.91,35,0.921,2,4,0.25,69.522,0.002296853428109515,5.5301,,full
CRWD,Software & Digital Platforms,5.50,,29.814474,,,,False,87.08,,50.5,66.59,35,0.921,1,3,0.3333,68.057,0.0029528728748608526,5.4136,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
CSCO,Hardware & Components,6.00,split,16.802185,1.7687,2,42.09,True,57.33,93.92,56.0,36.25,19,0.864,2,4,0.25,60.874,0.005982714793334344,4.8422,,credit spread fit on only 2 bonds -- treat with caution
CSGP,Fee-Based Financials,3.50,moved,28.904097,,,57.13,True,91.01,,28.5,93.81,21,0.875,1,3,0.3333,71.109,0.00017061336244253805,5.6564,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
CSX,Contracted Infrastructure,5.00,,14.453998,0.8346,17,28.01,True,17.39,17.59,45.0,26.93,15,0.833,2,4,0.25,26.727,0.0012556771070188785,2.126,,full
CTAS,Quality Industrials,4.00,,14.42182,0.872,3,30.34,True,25.83,26.16,34.0,36.49,44,0.936,2,4,0.25,30.622,0.0010841621898291882,2.4358,,full
CTSH,IT Services & Advertising,7.00,,20.587611,,,49.42,True,76.14,,67.0,24.79,8,0.727,1,3,0.3333,55.977,0.00036200320046878454,4.4527,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
CTVA,Materials & Packaging,4.50,moved,17.712574,,,,False,41.36,,39.5,36.25,19,0.864,1,3,0.3333,39.035,0.0007034817702216655,3.105,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
CVNA,Heavy Cyclicals,7.00,,37.972786,,,65.17,True,96.58,,67.0,92.93,18,0.857,1,3,0.3333,85.502,0.0006466518975419312,6.8013,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
CVS,Healthcare - Services,7.50,,24.378229,1.2251,21,33.91,True,60.41,73.18,72.5,58.28,11,0.786,2,4,0.25,66.092,0.0016371466573513146,5.2573,,full
CVX,Energy & Commodities,7.50,,16.411523,0.5618,10,28.09,True,22.45,2.66,72.5,5.64,29,0.906,2,4,0.25,25.813,0.005416019130914919,2.0533,,full
D,Regulated & Monopoly Assets,1.50,,14.443013,1.3073,16,22.89,True,8.63,77.05,6.5,88.59,28,0.903,2,4,0.25,45.19,0.0008136810417935151,3.5946,,full
DAL,Heavy Cyclicals,7.00,,22.05964,1.6373,2,40.64,True,67.65,91.98,67.0,57.99,18,0.857,2,4,0.25,71.155,0.0007569987239623905,5.66,,credit spread fit on only 2 bonds -- treat with caution
DASH,Software & Digital Platforms,5.50,,28.798303,,,51.25,True,88.41,,50.5,69.27,35,0.921,1,3,0.3333,69.393,0.001277943177369148,5.5199,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
DD,Materials & Packaging,4.50,,15.525058,,,35.62,True,42.97,,39.5,41.0,19,0.864,1,3,0.3333,41.156,0.00025604943481305725,3.2738,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
DDOG,Software & Digital Platforms,5.50,,30.624582,,,,False,88.47,,50.5,71.96,35,0.921,1,3,0.3333,70.308,0.0012180120479709398,5.5927,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
DE,Quality Industrials,4.00,,18.183069,0.6572,18,35.71,True,52.99,3.49,34.0,38.65,44,0.936,2,4,0.25,32.281,0.0021434156920485483,2.5678,,full
DECK,Consumer Services & Retail,5.00,,34.387744,,,45.43,True,85.15,,45.0,87.32,17,0.85,1,3,0.3333,72.489,0.00016674593426470202,5.7661,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
DELL,Hardware & Components,6.00,split,31.49021,1.3164,6,,False,89.27,77.32,56.0,55.25,19,0.864,2,4,0.25,69.46,0.004133342719765831,5.5252,,full
DG,Defensive Retail,3.50,,29.493951,1.1062,4,41.63,True,78.62,59.9,28.5,84.99,14,0.824,2,4,0.25,63.005,0.00035995571137366724,5.0117,,full
DGX,Healthcare - Services,7.50,moved,14.576426,1.0168,1,,False,19.69,49.12,72.5,19.39,11,0.786,2,4,0.25,40.172,0.00035574499263909274,3.1955,,credit spread fit on only 1 bond -- treat with caution
DHI,Heavy Cyclicals,7.00,,22.518776,,,37.58,True,64.51,,67.0,18.05,18,0.857,1,3,0.3333,49.856,0.0005648643221533643,3.9658,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
DHR,Healthcare - Innovation,5.00,,18.001257,0.7845,3,33.77,True,48.36,12.61,45.0,9.38,27,0.9,2,4,0.25,28.838,0.0018986888432513988,2.2939,,full
DIS,Media & Entertainment,5.50,split,15.930183,0.8597,14,30.38,True,29.93,21.74,50.5,12.42,10,0.769,2,4,0.25,28.647,0.0024359638370961877,2.2787,,full
DLR,Contracted Infrastructure,5.00,,14.39074,1.2877,4,31.1,True,28.75,75.94,45.0,68.18,15,0.833,2,4,0.25,54.467,0.0009490711124011013,4.3326,,full
DLTR,Defensive Retail,3.50,,29.099999,1.0263,3,43.51,True,80.99,49.95,28.5,78.72,14,0.824,2,4,0.25,59.54,0.00034629008127917373,4.7361,,full
DOC,Real Estate,4.50,,16.769347,0.9896,5,28.5,True,24.41,42.48,39.5,59.16,21,0.875,2,4,0.25,41.388,0.00018958612486791424,3.2922,,full
DOV,Quality Industrials,4.00,,12.788717,,,29.79,True,20.27,,34.0,21.4,44,0.936,1,3,0.3333,25.224,0.0003700687996395405,2.0064,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
DOW,Energy & Commodities,7.50,,32.265928,1.5438,11,45.92,True,86.24,87.28,72.5,82.54,29,0.906,2,4,0.25,82.139,0.0002975203871630098,6.5338,,full
DPZ,Consumer Services & Retail,5.00,,19.655274,,,35.92,True,56.09,,45.0,39.98,17,0.85,1,3,0.3333,47.024,0.00015062261138593913,3.7405,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
DRI,Consumer Services & Retail,5.00,,17.492797,1.1166,2,31.48,True,38.94,61.01,45.0,24.2,17,0.85,2,4,0.25,42.287,0.00033897512528540666,3.3637,,credit spread fit on only 2 bonds -- treat with caution
DTE,Regulated & Monopoly Assets,1.50,,12.231371,0.8413,11,,False,4.98,19.25,6.5,15.73,28,0.903,2,4,0.25,11.613,0.00039209497834198246,1.0913,credit floor applied (0.924 -> 1.091),full
DUK,Regulated & Monopoly Assets,1.50,,11.14876,1.0161,58,21.21,True,1.6,48.56,6.5,48.84,28,0.903,2,4,0.25,26.376,0.0012985930482038225,2.0981,,full
DVA,Healthcare - Services,7.50,,23.194204,,,41.17,True,70.18,,72.5,66.06,11,0.786,1,3,0.3333,69.579,0.00015808774688959578,5.5347,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
