Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Real NOA,2804.73429135187,2802.6896303974,2458.52202189284,1976.50939061155,2077.04855468261,2196.85352838055,2433.79453283431,2599.36939303351,2777.59126962484,3197.07427486867,3037.59536061193,3079.34113847779,2715.37651716756,2014.76188562227,2184.38121203497,3009.85556725599,4086.712441099,5245.78454504639
Real NFO,3149.54573363121,4250.70277503181,4472.48335800437,4994.29349747265,5541.03578765996,5911.31008983685,6091.01793949378,6423.78067349178,6717.26362675255,6595.80497245023,6380.57472350831,6578.18277941148,8389.81546018523,8671.8904449201,10285.6337521074,11672.6677150199,12852.3867429779,12489.530801527
Real CSE,-344.811442279337,-1448.01314463441,-2013.96133611153,-3017.7841068611,-3463.98723297734,-3714.4565614563,-3657.22340665947,-3824.41128045827,-3939.67235712772,-3398.73069758155,-3342.97936289638,-3498.84164093368,-5674.43894301767,-6657.12855929783,-8101.25254007246,-8662.81214776394,-8765.67430187892,-7243.74625648059
tie: Real NOA−NFO−CSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECONOMIC FLOWS (real 2026$),,,,,,,,,,,,,,,,,,
Real EBITDA,1749.73483175803,1837.09768303836,2027.76340904171,2227.01650567043,2377.58320597664,2550.71073654795,2590.85995551585,2761.4572383964,2876.94006251901,3285.49601729765,2877.2797278451,3389.93096047439,3645.20765282388,4145.85626390375,4251.74903246485,4368.07801474555,4634.90506823319,4396.2546092476
Economic depreciation,281.696718576594,296.944806275348,313.358662603558,313.018671336836,325.98957450484,335.596212950993,345.581901926051,356.249625891973,357.539644886338,363.218171443989,379.537704044913,399.509337608059,420.518362562988,446.845230268547,473.916212700141,500.410961728271,543.949412630391,603.878198521261
Economic OI (pretax),1468.03811318144,1540.15287676301,1714.40474643816,1913.99783433359,2051.5936314718,2215.11452359695,2245.2780535898,2405.20761250443,2519.40041763267,2922.27784585366,2497.74202380019,2990.42162286633,3224.68929026089,3699.01103363521,3777.83281976471,3867.66705301728,4090.95565560279,3792.37641072634
Economic OI-after-tax,923.835085236221,967.116669341087,1078.26431143683,1214.80833859844,1300.88099576976,1405.00901292694,1431.10406023726,1534.24801677579,1620.93968555325,1930.68633915714,2034.09385385897,2371.90330542403,2511.2025539312,2909.87554284599,2970.05020179036,3076.2024646147,3251.84460720312,3009.37832824752
NFE after-tax (real),120.079798154478,139.908192319283,155.373514039017,162.905144852169,164.405974379113,171.050688216445,154.078983776679,138.203670879687,134.309000214597,141.770362110272,194.137649538295,192.861822894797,203.655031640358,190.715312936615,173.158054065647,268.965300279238,392.576071593505,403.889645602776
Economic NI,803.755287081743,827.208477021804,922.890797397817,1051.90319374627,1136.47502139065,1233.95832471049,1277.02507646058,1396.0443458961,1486.63068533866,1788.91597704687,1839.95620432067,2179.04148252923,2307.54752229084,2719.16022990937,2796.89214772472,2807.23716433547,2859.26853560961,2605.48868264475
OCI (real),-6.43620202691091,-143.765622270284,-163.627121308288,-178.320375715194,-221.883205131667,-173.760981314148,-182.474824568295,-352.798409877773,-429.40431348669,-348.025071438479,-314.701219061993,-353.035499149251,-458.705360266758,-380.902654456213,-344.147634340777,-209.888785856345,-386.326932133419,-296.678002720979
Comprehensive income,797.319085054832,683.44285475152,759.263676089529,873.582818031075,914.591816258978,1060.19734339635,1094.55025189229,1043.24593601833,1057.22637185197,1440.89090560839,1525.25498525868,1826.00598337998,1848.84216202408,2338.25757545316,2452.74451338394,2597.34837847912,2472.94160347619,2308.81067992377
"METRICS (economic, ending-balance)",,,,,,,,,,,,,,,,,,
RNOA (econ),0.329384173069363,0.34506734490039,0.438582327851865,0.614623104938836,0.626312270282262,0.63955516140517,0.588013507685322,0.590238548198528,0.583577469903335,0.60389161250764,0.669639505062056,0.770263247480444,0.924808231217475,1.4442776407532,1.35967576786813,1.02204321631925,0.795711627395205,0.573675548891784
FLEV (econ),-9.13411026273227,-2.93554156658226,-2.22073943417387,-1.65495387364452,-1.59961206984512,-1.59143336098652,-1.66547603529021,-1.67967830926438,-1.70503103249172,-1.94066713704137,-1.90864915121107,-1.88010303251566,-1.47852775304047,-1.30264728518849,-1.26963499795001,-1.3474455541591,-1.46621769191482,-1.72418115700191
NBC,0.0381260690620404,0.0329141320209658,0.0347398752777796,0.0326182562027256,0.0296706212844267,0.0289361724587123,0.0252960975172377,0.0215143819355469,0.0199946001344491,0.0214940197144136,0.0304263578048891,0.0293184043925352,0.024274077613128,0.0219923572775685,0.0168349426237511,0.0230423161907662,0.0305449936610407,0.0323382560979309
Spread,0.291258104007322,0.312153212879425,0.403842452574085,0.58200484873611,0.596641648997835,0.610618988946458,0.562717410168084,0.568724166262981,0.563582869768886,0.582397592793226,0.639213147257167,0.740944843087908,0.900534153604347,1.42228528347563,1.34284082524438,0.999000900128482,0.765166633734165,0.541337292793853
ROCE,-2.31233360408299,-0.471986637195943,-0.377000125312973,-0.289478235386334,-0.264028633694725,-0.28542461753293,-0.299284492683497,-0.272786021040425,-0.268353882256025,-0.423949713530903,-0.456256177404933,-0.521888719402775,-0.325819377138432,-0.351241162706311,-0.302761147273407,-0.299827392557457,-0.28211652843936,-0.318731578685297
Reported ROE (memo),2.79339274752163,-1.51717489389804,-0.999385460870507,-0.676887529579855,-0.601006443694385,-0.60242313397763,-0.65957972866905,-0.681937122000247,-0.694254891364547,-0.896730344999954,-0.879752426242555,-0.943618202515855,-1.97382391566066,-1.20738277286241,-0.686539623890161,-0.581261520395669,-0.560556499959786,-0.731698294796054
CLEAN-SURPLUS (nominal check),,,,,,,,,,,,,,,,,,
Net distribution D = −(div+repurch),1055.896,2077.602,1305.241,2108.303,1862.869,2310.915,1756.012,2075.216,2252.362,1671.649,1762.213,2004.896,930.903,3378.321,4963.391,4305.752,3140.917,1578.186
Reported CI (nom) = NI+OCI,637.471,565.014,631.843,729.283,778.36,895.692,940.841,910.723,933.478,1026.312,1101.731,1347.899,1378.72,1862.328,2129.068,2337.59,2300.809,2213.237
ΔCSE (nom),,-662.761,-305.691,-515.467,-293.793,-139.294,65.462,-79.5330000000001,-86.1479999999999,359.161,-91.9780000000001,-193.496,835.874,-919.559,-1741.377,-810.981,-399.719999999999,1335.301
