year,real_revenue,real_gross_profit,real_sga,real_gross_ppe_series,real_net_ppe_series
2008,99223.3544400217,70410.6493081843,45243.3093872357,22804.9186368532,13492.7607954969
2009,96687.7896633215,67872.1821876879,30930.6577560048,22923.2561831389,13050.1877515931
2010,94651.0080025315,65770.2094186814,29852.0983233665,22883.6874682396,12674.1586994437
2011,96884.2605773121,66551.1290172002,31240.4437958735,23568.3425776644,12881.9991072546
2012,98122.3749401117,66509.6414453339,30461.0829856181,23749.157735479,13006.863401009
2013,102586.706456556,70446.3626763738,31403.8002292269,24661.3814068501,13889.6263924622
2014,105222.812385949,73023.6210589011,31078.0377382401,25035.6508768956,14760.1970780131
2015,99079.0074214086,68628.8332651244,29979.3389039605,25458.526608593,15259.9834969485
2016,100380.374197419,69956.282204269,28019.6545975742,26455.7500207813,15426.2896402876
2017,104520.86059889,69741.1853500326,29421.6994125326,27416.0240066337,15486.5715075382
2018,108876.572389459,72721.3987264393,30081.4888473838,28236.3861764133,15868.6173821505
2019,107565.442201856,71444.1962042893,29071.5994242286,28814.4873197173,15887.4632983696
2020,106934.395493236,70125.5213688754,28595.6019334572,28412.4491358205,15651.2656350519
2021,97381.9427242868,68439.4455991438,24880.9997933351,28215.1382882842,15782.921470676
2022,91597.576566264,63432.3810015206,23183.9546838428,28470.1296574233,16082.3742238717
2023,93661.1494410933,64252.5669670695,23109.8072083544,29392.7376588016,16761.1893404965
2024,94890.034342932,65541.9732601398,23470.1159014183,30090.0042464087,17118.3647359733
2025,98049.1600656017,71364.6907496048,24645.2699639377,30691.6795123443,17735.651953588
