line_item,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ECONOMIC FLOWS (real 2026$),,,,,,,,,,,,,,,,,,
Real EBITDA,179.740475274381,138.149960706079,155.600066657189,186.329752692952,211.455586326298,238.061808737235,267.363987775412,305.720540324112,357.257228568333,423.956844843342,456.165626175296,485.688926804273,638.914367144364,1067.08298199063,1219.32531951957,864.722748524788,707.965485735872,657.674580615202
Economic depreciation,9.61518287940926,10.0924608331814,10.6403043503114,11.9453394263056,12.9938849975653,14.1704825993843,15.2494396913318,17.0741823692404,17.0958775643729,17.5614047698411,19.3180473841437,21.0231871019444,21.9566054622464,23.7457683467942,25.9273078360628,28.8366236558442,31.2395205770692,33.7093448180221
Economic OI (pretax),170.125292394971,128.057499872897,144.959762306878,174.384413266647,198.461701328732,223.89132613785,252.114548084081,288.646357954871,340.161351003961,406.395440073501,436.847578791152,464.665739702328,616.957761682118,1043.33721364383,1193.39801168351,835.886124868944,676.725965158803,623.96523579718
Economic OI-after-tax,103.334102600706,77.7321829978474,88.1361153216308,106.897470948041,117.092403783952,137.021939379017,154.041736764825,177.518664727678,209.198550544734,288.662681084208,349.216391333226,382.466370348987,500.537832052702,823.297395286348,906.505129674793,635.357043512884,518.170424974026,475.25684908011
NFE after-tax (real),17.8799541450997,9.16620563924829,6.18493317318738,7.27328310660414,5.57099621649521,5.94095667985082,6.47399312656016,7.019138825027,12.4351945335456,14.7501516006205,22.2932436411785,25.6486711890682,12.9770333800909,8.43098935968078,35.5855217695197,48.847572011609,41.1055811811587,37.0817830812632
Economic NI,85.454148455606,68.5659773585991,81.9511821484434,99.624187841437,111.521407567457,131.080982699166,147.567743638265,170.499525902651,196.763356011188,273.912529483587,326.923147692047,356.817699159918,487.560798672611,814.866405926667,870.919607905273,586.509471501275,477.064843792867,438.175065998847
OCI (real),-3.71385044740203,3.47718015074323,1.61678374362549,3.30744212820809,-0.195590834255251,4.18909144606086,-5.18391975027034,-19.4117032406958,-19.6571833071535,-10.0186888416979,-14.6764034097018,-13.578893427522,-18.1525875523065,-9.25586054544784,6.75044022825511,7.23913610963171,-14.5976450305876,-6.78692178429101
Comprehensive income,81.7402980082039,72.0431575093423,83.5679658920689,102.931629969645,111.325816733202,135.270074145227,142.383823887995,151.087822661955,177.106172704035,263.893840641889,312.246744282345,343.238805732396,469.408211120305,805.610545381219,877.670048133528,593.748607610907,462.467198762279,431.388144214556
