Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Economic depreciation,2559.86477975031,2648.1907138409,2732.34512339191,2858.03408555926,2986.92450421592,3137.96889864864,3285.93494899609,3415.28105901807,3278.21872227237,3350.23996706057,3472.64530272861,3575.06347268905,3639.41378145399,3707.71777889767,3792.16394352585,3872.24514217284,3939.10691815709,3989.82826956695
Economic OI (pretax),22607.4751411983,23380.673999472,22667.4504382987,21207.3428344057,21873.5463094813,24132.8437878128,26635.5592512945,22443.8959071911,25891.9912841024,30198.9738751392,34034.4604012143,33100.6638377308,31275.0858804615,31333.2091096878,28251.5288312431,28395.9175118301,27563.7733996099,30464.2091749496
Economic OI-after-tax,17217.683944007,18130.0662989641,17762.5107255779,16516.6712087365,16607.5018168863,21533.3126976496,21059.2315327909,17932.4289576948,21558.5776568636,1835.77399464064,28860.4709508127,28824.2994681697,27846.0030027585,29050.3770632839,23816.803382404,25067.6381806912,23157.5151613162,24974.6427169208
NFE after-tax (real),517.902576715141,548.482595972993,550.193244615099,665.638270679664,592.695758074741,619.884244893135,598.936005577673,626.509064283254,846.684233254222,93.9308343465976,1139.90746460598,363.703987017965,232.136517142471,210.075405123412,267.253480776669,1213.42382820291,679.899056008276,831.533290600833
Economic NI,16699.7813672918,17581.5837029911,17212.3174809628,15851.0329380568,16014.8060588116,20913.4284527564,20460.2955272132,17305.9198934116,20711.8934236094,1741.84316029404,27720.5634862068,28460.5954811517,27613.8664856161,28840.3016581605,23549.5499016273,23854.2143524883,22477.6161053079,24143.10942632
OCI (real),-7712.54680612904,-4776.82699953854,-5426.67623454525,-8390.7758814612,-8480.46826136572,-4114.28624166692,-15178.0413878751,-18614.2525430665,-20806.3424108463,-18045.4001183094,-20315.0143405003,-20830.4079019937,-19736.1965526968,-16149.5225818356,-14848.6782764689,-13777.6772748456,-12543.2487049275,-15541.2181348872
Comprehensive income,8987.23456116277,12804.7567034526,11785.6412464175,7460.25705659562,7534.33779744587,16799.1422110895,5282.25413933814,-1308.33264965497,-94.4489872369595,-16303.5569580154,7405.54914570649,7630.18757915804,7877.66993291931,12690.7790763249,8700.87162515845,10076.5370776427,9934.36740038045,8601.89129143277
"METRICS (economic, ending-balance)",,,,,,,,,,,,,,,,,,
RNOA (econ),0.208073470340828,0.235718173579855,0.203931403414995,0.199173473846338,0.154589030282572,0.196918117925186,0.207622378386595,0.209776173015716,0.182308359365324,0.0123952214183182,0.206370021871185,0.21373293014709,0.227318141705485,0.2126752027893,0.165830174521952,0.199022564543164,0.173340526464052,0.164881381188876
FLEV (econ),0.147512386650875,-0.0902398324393109,-0.067708477743414,-0.105243580211193,0.059876705542681,-0.0409051391075044,-0.0666666508209326,-0.234445378672296,0.0743097296458205,0.582981708915907,0.511351143401304,0.483109781932853,0.30236986819259,0.300188999501728,0.368610713571245,0.364615772167945,0.425862955680341,0.499993767932553
