Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
CPI deflator  [MULTIPLIER: nominal x this = base-year 2026$. Do NOT divide.],1.55651802343674,1.56207553941744,1.53686667645009,1.48983946758899,1.45963309145709,1.43856162296046,1.4155979656664,1.41391967664767,1.39630510776769,1.36717934073107,1.33458246882803,1.31083052683869,1.29485609189718,1.23675314610473,1.14511284618407,1.0998385307612,1.06832882249617,1.04093892397101
BEA deflator  [MULTIPLIER: nominal x this = base-year 2026$. Do NOT divide.],1.19073558487673,1.19852164730729,1.22074564351828,1.20749621506608,1.19075960859477,1.18957159701297,1.17840848965249,1.17634162140615,1.18776413765345,1.1804,1.17538112260647,1.16403368636964,1.1575953711876,1.14438616731461,1.07973619457937,1.04651884425452,1.03250411112277,1.01724420238023
REPORTED (nominal $mm),,,,,,,,,,,,,,,,,,
Total assets,40519,48671,72921,79974,86174,90055,92023,89996,87270,87896,83216,86381,87296,94354,92763,97703,100549,104816
Total liabilities,20047,23325,41604,48053,53006,56615,61462,64232,64050,68919,64158,65283,66012,69494,66937,70223,74177,70541
Cash,4701,9151,8517,12803,8442,10414,8958,7309,8555,6006,9077,6480,6795,9684,9519,9366,10828,10270
Short-term investments,278,62,2820,1232,8109,9854,12717,12591,13646,14669,7038,4695,4119,2941,2112,4297,3743,3602
Total debt,9312,11859,23417,28568,32610,37079,41745,44212,45709,47685,44214,44155,44737,44542,40603,43426,45735,47214
Pension (NC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minority interest,0,547,314,286,378,267,241,210,158,1905,2077,2117,1985,1861,1721,1539,1516,2106
Reported net PP&E,8326,9561,14727,14939,14476,14967,14633,12571,10635,8203,9598,10838,10777,9920,9841,9236,11485,9613
Reported CSE (common),20472,24799,31003,31635,32790,33173,30320,25554,23062,17072,16981,18981,19299,22999,24105,25941,24856,32169
Shares (mm),4672,4658,4666,4646,4584,4509,4450,4405,4367,4324,4299,4314,4323,4340,4350,4339,4320,4313
Operating income,8446,8231,8413,10173,10779,10228,9708,8728,8657,7755,9152,10086,8997,10308,10909,11311,9992,13762
D&A (reconciled),0,0,0,0,0,0,0,0,0,1260,1086,1365,1536,1452,1260,1164,1075,1050
Net income (common),5807,6824,11809,8584,9019,8584,7098,7351,6527,1248,6434,8920,7747,9771,9542,10714,10631,13107
Interest expense,438,355,733,417,397,463,483,856,733,853,950,946,1437,1597,882,1527,1656,1654
Tax rate,0.217426,0.228035,0.166819,0.245418,0.230587,0.24841,0.236032,0.233108,0.194936,0.813788,0.212644,0.166976,0.2032,0.210946,0.180986,0.173641,0.18623,0.178835
OCI,-2674,-757,-1450,-2703,-3385,-3432,-5777,-10174,-11205,-10305,-12814,-13499,-14601,-14330,-14895,-14275,-16843,-14131
Dividends paid,-3521,-3800,-4068,-4300,-4595,-4969,-5350,-5741,-6043,-6320,-6644,-6845,-7047,-7252,-7616,-7952,-8359,-8779
Repurchases,-1079,-1518,-2961,-4513,-4559,-4832,-4162,-3564,-3681,-3682,-1912,-1103,-118,-111,-1418,-2289,-1795,-746
PARTITION (nominal),,,,,,,,,,,,,,,,,,
Financial obligations,9312,11859,23417,28568,32610,37079,41745,44212,45709,47685,44214,44155,44737,44542,40603,43426,45735,47214
Financial assets,4979,9213,11337,14035,16551,20268,21675,19900,22201,20675,16115,11175,10914,12625,11631,13663,14571,13872
NFO (nominal),4333,3193,12394,14819,16437,17078,20311,24522,23666,28915,30176,35097,35808,33778,30693,31302,32680,35448
Operating assets,35540,39458,61584,65939,69623,69787,70348,70096,65069,67221,67101,75206,76382,81729,81132,84040,85978,90944
Operating liabilities,10735,11466,18187,19485,20396,19536,19717,20020,18341,21234,19944,21128,21275,24952,26334,26797,28442,23327
"NOA (nominal, reported PP&E)",24805,27992,43397,46454,49227,50251,50631,50076,46728,45987,47157,54078,55107,56777,54798,57243,57536,67617
CSE (reported),20472,24799,31003,31635,32790,33173,30320,25554,23062,17072,16981,18981,19299,22999,24105,25941,24856,32169
tie: NOA−NFO−CSE (nom),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECONOMIC RESTATEMENT (real 2026$),,,,,,,,,,,,,,,,,,
Real net PP&E (BEA),12786.6952905842,13887.937768725,15238.2898437342,17320.2169947127,19044.9207774743,20367.6459172511,21387.1005431755,22487.3915052542,23166.9934697676,23055.9539544826,22736.2540745873,22939.1638601276,22037.0581038522,21320.1946531807,20609.0049173699,20203.346766634,19966.5110574321,19733.7076275376
Non-PP&E op net (nom),16479,18431,28670,31515,34751,35284,35998,37505,36093,37784,37559,43240,44330,46857,44957,48007,46051,58004
Real non-PP&E op net,25649.860508214,28790.6142670029,44061.967613824,46952.290821067,50723.7095612255,50758.2083045369,50958.6955680589,53029.0574726707,50396.8402546592,51657.5042101828,50125.582946712,56680.3119805051,57400.9705538018,57950.5421670296,51480.8382258974,52799.9483462531,49197.610604771,60378.6213460147
Real NOA,38436.5557987982,42678.5520357279,59300.2574575582,64272.5078157798,69768.6303386998,71125.8542217879,72345.7961112344,75516.448977925,73563.8337244268,74713.4581646654,72861.8370212993,79619.4758406328,79438.028657654,79270.7368202103,72089.8431432673,73003.2951128871,69164.1216622031,80112.3289735523
Real NFO,6744.39259555139,4987.7071973599,19047.9255879224,22077.9310702013,23991.9891242803,24567.7553969187,28752.2102806502,34672.1383107541,33044.9566804302,39531.9906372389,40272.3605793546,46006.2190004576,46366.2069386541,41775.0477691257,35146.9485879278,34427.1456898872,34912.9859191747,36899.2029769245
Real CSE,31692.1632032468,37690.844838368,40252.3318696358,42194.5767455785,45776.6412144195,46558.0988248692,43593.5858305842,40844.3106671709,40518.8770439967,35181.4675274265,32589.4764419447,33613.2568401751,33071.821719,37495.6890510845,36942.8945553395,38576.1494229999,34251.1357430284,43213.1259966278
tie: Real NOA−NFO−CSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECONOMIC FLOWS (real 2026$),,,,,,,,,,,,,,,,,,
