field,value
ticker,MCD
fiscal_year,2025
rev_cagr_5y,0.06956327691923625
rev_cagr_10y,0.00564664817143945
eps_cagr_5y,0.13641381866259028
eps_cagr_10y,0.09564212164590025
oi_cagr_5y,0.11092725787510394
oi_cagr_10y,0.05660918735257514
roe_reported,-4.781127861529871
rnoa_econ,0.278923826465673
roce_econ,-0.279134065462578
roic_reported,0.1836670060733365
net_profit_margin,0.31850474242142457
asset_turnover,0.4517348567588003
equity_multiplier,-33.23003908431044
flev_econ,-2.64170864518109
nbc_econ,0.0230043702072539
spread_econ,0.255919456258419
