Fiscal year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Economic depreciation,2942.86998405849,3016.55300699106,3104.30008665258,3238.4214030331,3355.43808563658,3456.30332065446,3552.04339177923,3589.48810568563,3609.0884282441,3636.83755898004,3675.49699331625,3752.42013007813,3822.24009741334,3866.3515437569,3891.86468855788,3900.36095945367,3915.75364429639,3714.25472254447
Economic OI (pretax),23084.432653715,21161.4335469217,19980.7624636388,15787.8959441101,16521.1678588081,16234.6643817651,12070.3551155008,15178.2488478199,19066.9481171214,17979.3946886276,7218.81551524014,20485.9910541451,21804.5218430229,19745.8753445587,19037.5690007517,19005.6773236866,20336.0414063803,19498.4356400561
Economic OI-after-tax,17005.7103781931,15337.3581563791,15496.0347566255,11416.5696686363,12662.3039363542,12712.9198486549,8968.36282471149,11266.4769089614,14552.3758155083,13180.6004880417,4550.61321903532,16867.8798845776,17672.7384745465,16142.2469239216,15187.3390250592,15066.1917823604,16095.3552806365,15346.9128907161
NFE after-tax (real),1571.87800705674,1061.07059951699,965.712621403576,819.802803207697,741.210475030499,791.842756597611,666.086132369889,606.36085380061,488.852309112435,499.708904250841,436.013516197073,498.258286946787,505.843810646788,413.25429912974,667.70089005209,788.730209928863,752.093347516418,704.058775347028
Economic NI,15433.8323711364,14276.2875568621,14530.3221352219,10596.7668654286,11921.0934613237,11921.0770920572,8302.2766923416,10660.1160551607,14063.5235063958,12680.8915837909,4114.59970283824,16369.6215976308,17166.8946638998,15728.9926247919,14519.6381350071,14277.4615724316,15343.2619331201,14642.854115369
OCI (real),-5245.44966136377,-12021.3711431926,-3060.13026642779,-13622.7556425691,-10787.7736105805,-10846.3116129359,-18069.8934675572,-22211.0253492606,-20004.568113577,-19683.7568327446,-19578.5647488627,-20931.3487255179,-16997.9352400635,-13957.7804821377,-13440.0268459019,-12713.1129877044,-12640.12135378,-12630.7920975125
Comprehensive income,10188.3827097726,2254.91641366951,11470.1918687941,-3025.98877714043,1133.31985074322,1074.76547912131,-9767.61677521558,-11550.9092940999,-5941.04460718118,-7002.86524895371,-15463.9650460245,-4561.72712788706,168.959423836277,1771.21214265418,1079.61128910517,1564.34858472718,2703.14057934009,2012.06201785656
"METRICS (economic, ending-balance)",,,,,,,,,,,,,,,,,,
RNOA (econ),0.110219849285336,0.106685514390496,0.102664645411556,0.0804354888045663,0.0857894612863578,0.0866900350331427,0.0680175703823944,0.090586312836305,0.124995357773313,0.116043893089681,0.0428735562716919,0.160160579508468,0.171343261012293,0.163197832213787,0.155702054787327,0.158524280919116,0.168190065884493,0.172239709728872
FLEV (econ),0.580353930214643,0.519422833434531,0.50499995113169,0.482928619928743,0.459434126144354,0.438124121753784,0.359744711214821,0.383659301504631,0.360994280667397,0.413593678250238,0.468188919730878,0.47012166580822,0.513029408200985,0.491979947971608,0.526325904565607,0.436750586864622,0.46557598731602,0.449966580805663
NBC,0.0277424813630348,0.0215902061417224,0.0190674838358582,0.0177361264407743,0.0159523254589925,0.0177240115335868,0.0190941925259403,0.0175828407563365,0.0158304635409749,0.015036781334083,0.0128819125905271,0.0147942404844291,0.0144638772190395,0.0126701968893726,0.0198512171865803,0.027300378101542,0.0247394071563089,0.025462374743477
Spread,0.0824773679223014,0.0850953082487737,0.0835971615756982,0.062699362363792,0.0698371358273652,0.0689660234995559,0.0489233778564541,0.0730034720799685,0.109164894232338,0.101007111755598,0.0299916436811649,0.145366339024038,0.156879383793254,0.150527635324414,0.135850837600747,0.131223902817574,0.143450658728184,0.146777334985395
ROCE,0.104357735216818,0.0238321921996904,0.114368782576408,-0.0316154693861507,0.0112061956311376,0.010539838323504,-0.100728863803391,-0.128504930853375,-0.0694510946856737,-0.0871540267885227,-0.213905714191661,-0.063676284287008,0.00247852307570186,0.0267167709108267,0.0168938000007375,0.0236486970198392,0.0413977508128382,0.0327424831232041
Reported ROE (memo),0.17592988795385,0.208394011290191,0.174408633944412,0.169548700326298,0.166196520921486,0.168217412662178,0.112722087825822,0.183254564796568,0.277725427660191,0.186449429177901,0.0825740560240709,0.274370714301068,0.308465220578723,0.31642662431046,0.313252239348398,0.290239828182794,0.301507344458971,0.295446594612509
CLEAN-SURPLUS (nominal check),,,,,,,,,,,,,,,,,,
Net distribution D = −(div+repurch),11414,11462,12806,10163,12505,12916,11891,13170,12440,14314,12501,15194,19272,18773,16352,14318,16372,15260
Reported CI (nom) = NI+OCI,7743,4914,9743,1423,3813,3981,-5744,-5399,694,-4999,-11039,-3401,562,2553,2433,2695,3539,3581
ΔCSE (nom),,-1984,6525,-4201,4625,1150,-6795,-5078,-2157,-2891,-5099,-673,-143,211,188,3509,1726,2299
Clean-surplus residual (dirty),,4564,9588,4539,13317,10085,10840,13491,9589,16422,18441,17922,18567,16431,14107,15132,14559,13978
ACTIVE (cfg_restatement-selected),,,,,,,,,,,,,,,,,,
Active NOA,154289.000470041,143762.330284507,150938.375080397,141934.484868677,147597.429177094,146647.995283363,131853.619208852,124372.839076921,116423.330231991,113582.887794496,106140.325523683,105318.549273142,103142.30259268,98912.1405900508,97541.0314642506,95040.2783410049,95697.4194402794,89102.0596520636
Active NFO,56659.6039657495,49145.9225795209,50647.0927006877,46222.2011071718,46464.1018599999,44676.2717964315,34884.2262622512,34485.9435516464,30880.4797690927,33232.4380562868,33846.9550335019,33679.2069502456,34972.9054655497,32616.249197861,33635.2619477391,28890.8163467638,30400.6212745735,27650.9470322439
Active CSE,97629.3965042918,94616.4077049865,100291.282379709,95712.2837615048,101133.327317094,101971.723486931,96969.3929466003,89886.8955252742,85542.8504628984,80350.449738209,72293.3704901809,71639.3423228969,68169.3971271305,66295.8913921899,63905.7695165115,66149.4619942411,65296.7981657059,61451.1126198196
Active OI-after-tax,17005.7103781931,15337.3581563791,15496.0347566255,11416.5696686363,12662.3039363542,12712.9198486549,8968.36282471149,11266.4769089614,14552.3758155083,13180.6004880417,4550.61321903532,16867.8798845776,17672.7384745465,16142.2469239216,15187.3390250592,15066.1917823604,16095.3552806365,15346.9128907161
Active NI,15433.8323711364,14276.2875568621,14530.3221352219,10596.7668654286,11921.0934613237,11921.0770920572,8302.2766923416,10660.1160551607,14063.5235063958,12680.8915837909,4114.59970283824,16369.6215976308,17166.8946638998,15728.9926247919,14519.6381350071,14277.4615724316,15343.2619331201,14642.854115369
Active RNOA,0.110219849285336,0.106685514390496,0.102664645411556,0.0804354888045663,0.0857894612863578,0.0866900350331427,0.0680175703823944,0.090586312836305,0.124995357773313,0.116043893089681,0.0428735562716919,0.160160579508468,0.171343261012293,0.163197832213787,0.155702054787327,0.158524280919116,0.168190065884493,0.172239709728872
REAL IS LINES (real 2026$; forecast build-up base),,,,,,,,,,,,,,,,,,
Real revenue,119801.821420081,119210.137492204,120831.940179338,119698.67129803,115251.8029851,105321.904243546,100033.403203146,91177.3272321224,88945.953549282,89192.8155567149,88722.2533785502,91870.0397201046,94139.1759752002,91823.1637969623,90193.3585536032,89781.2859137553,87734.4962679729,88189.5786466672
Real COGS,60436.7026200609,56928.6154290641,59383.5113386296,60444.8659503297,57529.5178638118,55250.7885999595,52394.2075378559,45951.0047915269,44621.9993227807,45952.3435666867,45574.9557571277,45643.6772393755,45893.4357456545,48274.522256582,47029.095575349,43639.0957413234,42849.2098663428,43938.7410294694
Real gross profit,59365.1188000205,62281.5220631397,61448.4288407079,59253.8053477007,57722.2851212885,50071.1156435861,47639.1956652898,45226.3224405955,44323.9542265013,43240.4719900282,43147.2976214225,46226.3624807292,48245.7402295457,43548.6415403803,43164.2629782542,46142.1901724319,44885.2864016301,44250.8376171978
Real SG&A,37502.309550334,38418.5931778993,38695.6004916889,38564.9659093879,23931.9111595702,19243.638745269,18997.4247754381,16326.9956251276,15771.7808746736,15491.8332981558,15610.680744122,15922.8453620596,15860.1223456471,13380.6436076609,14421.0828153409,13771.8268507981,12972.1808705268,24240.1771806413
BUYBACK / REPURCHASE-PREMIUM ROE ADJUSTMENT  (JK-original · premium-only),,,,,,,,,,,,,,,,,,
Additive capital-efficiency view only; never enters AEG value (Penman Ch.5/6). RNOA untouched. Reserve raises the economic-CSE base so ROE falls; cfg_buyback {On|Off}. VP6 proves value-invariance.,,,,,,,,,,,,,,,,,,
cfg_buyback active (1=On),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Year-end price (contemp.),60.63,64.33,66.71,67.89,81.41,91.09,79.41,84.08,91.88,91.92,124.9,139.14,163.58,151.56,146.54,167.65,143.31,0
Market cap = price×shares,191233.083,199377.969,200256.749,199678.068,238580.146,264589.123,228986.676,239157.152,251787.952,244203.864,317183.55,365353.812,425471.58,384825.996,363990.706,414414.035,351740.064,0
Book/market = repCSE/mktcap,0.329958598220163,0.306528350682517,0.337766394080431,0.317706399282669,0.285287779143198,0.261590496295647,0.272587912494961,0.239762848488846,0.219168548620627,0.214136660835146,0.148790818439355,0.127331366122437,0.109003755315455,0.121065106007028,0.128511523038723,0.121342415442083,0.147870559323035,
Premium fraction = 1−book/mkt,0.670041401779838,0.693471649317483,0.662233605919569,0.682293600717331,0.714712220856802,0.738409503704353,0.727412087505039,0.760237151511154,0.780831451379373,0.785863339164855,0.851209181560645,0.872668633877563,0.890996244684545,0.878934893992972,0.871488476961277,0.878657584557917,0.852129440676965,0
Buyback $ (nominal),6370,6004,7039,4024,5986,6005,4604,5734,5204,7004,5003,7405,11009,10003,7353,5006,6500,5028
Annual premium reserve (real),6667.19415982694,6398.90390726912,6944.83058879088,4007.49483041043,6154.55122829922,6276.97240259206,4735.22442140597,6086.77298389194,5555.46061689415,7345.79124514987,5582.30227251512,8367.50409768514,12131.2839782713,10067.8158196221,7047.82554447984,4699.10828477656,5765.59556990496,0
Cumulative premium reserve,6667.19415982694,13066.0980670961,20010.9286558869,24018.4234862974,30172.9747145966,36449.9471171887,41185.1715385946,47271.9445224866,52827.4051393807,60173.1963845306,65755.4986570457,74123.0027547308,86254.2867330021,96322.1025526242,103369.928097104,108069.036381881,113834.631951786,113834.631951786
Economic CSE (real),97629.3965042918,94616.4077049865,100291.282379709,95712.2837615048,101133.327317094,101971.723486931,96969.3929466003,89886.8955252742,85542.8504628984,80350.449738209,72293.3704901809,71639.3423228969,68169.3971271305,66295.8913921899,63905.7695165115,66149.4619942411,65296.7981657059,61451.1126198196
Adjusted base = CSE+reserve,104296.590664119,107682.505772083,120302.211035596,119730.707247802,131306.30203169,138421.67060412,138154.564485195,137158.840047761,138370.255602279,140523.64612274,138048.869147227,145762.345077628,154423.683860133,162617.993944814,167275.697613616,174218.498376122,179131.430117492,175285.744571605
Economic CI (real),10188.3827097726,2254.91641366951,11470.1918687941,-3025.98877714043,1133.31985074322,1074.76547912131,-9767.61677521558,-11550.9092940999,-5941.04460718118,-7002.86524895371,-15463.9650460245,-4561.72712788706,168.959423836277,1771.21214265418,1079.61128910517,1564.34858472718,2703.14057934009,2012.06201785656
ROE unadjusted,,0.0234586801303066,0.117698710233648,-0.0308768747091091,0.0115148094441455,0.0105833456614365,-0.0981960587164901,-0.123634151021238,-0.0677313254227903,-0.0844261370466963,-0.202615016092848,-0.0633869401712907,0.00241700804257189,0.0263445259688665,0.0165836792183812,0.0240566806356858,0.0411292124408993,0.0317490364201938
ROE ADJUSTED (premium),,0.021274894096439,0.100622463026502,-0.0252131149242434,0.00902910574019338,0.00796925486532665,-0.0706323648672224,-0.0839109836565712,-0.0431246260447727,-0.0502188481400238,-0.111022905695045,-0.0321462077553634,0.00112569811749173,0.0111733709896898,0.00654520723936883,0.00916178724615389,0.0153000771267395,0.0113542015542649
VP6 INVARIANCE — adjustment nets to zero in equity residual-income value,,,,,,,,,,,,,,,,,,
flat real COE r (ρE_LR),0.0548806713262307,,,,,,,,,,,,,,,,,
DF_t = 1/(1+r)^(t−t0),1,0.947974521841193,0.898655694060038,0.85190270187643,0.807582056466529,0.765567213826385,0.725738213464362,0.68798133589076,0.652188777926708,0.618258344905263,0.586093158885894,0.55560138204925,0.526695954482443,0.499294345606185,0.473318318534034,0.448693706690979,0.425350202053533,0.403221154406753
RI without = CI − r·CSE(prior),,-3103.05040766079,6277.57989546809,-8530.04168230745,-4119.43453625485,-4475.49941749622,-15363.8934164711,-16872.6546771064,-10874.097777039,-11697.5143095169,-19873.651669022,-8529.2358328241,-3762.65577621395,-1969.97013558716,-2558.75173666909,-1942.84294795835,-927.186302772845,-1571.47010093077
RI with = (CI+Δres) − r·adjbase(prior),,2929.9534082547,12505.3342507224,-5620.7600503934,716.969486918662,145.559876849394,-12629.0665626621,-13046.1515559385,-7912.95321043524,-7250.92652283905,-17593.694809935,-3770.43764482868,4300.70805016167,3364.1525233626,-797.147843831303,-2916.74571209506,-1092.49199908433,-7818.79112261915
V_without = CSE₀ + ΣPV(RI_wo) − DF_N·CSE_N,1985.73772430989,,,,,,,,,,,,,,,,,
V_with = adjbase₀ + ΣPV(RI_w) − DF_N·adjbase_N,1985.73772430987,,,,,,,,,,,,,,,,,
★ VP6 tie = V_with − V_without,-1.45519152283669e-11,,invariant ✓,,,,,,,,,,,,,,,
