Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Real EBITDA,3064.52716267307,2775.8082335448,3192.07208698683,3633.71846144955,4027.12769933012,4391.92863489829,4558.2254494458,5124.04490817114,5127.23235572296,5620.47426974543,7896.72446805545,8165.16335167823,9167.58113063201,10498.7974572831,11099.5788180622,11208.4544669874,12309.2846928008,13333.3866771447
Economic depreciation,1052.332852376,1117.55881227845,1158.58242357413,1207.73721196636,1272.61793118097,1373.71900007634,1469.06269267603,1586.87233206239,1721.16799104223,1828.87729262066,1935.25151427854,2025.60639893386,2131.65408562551,2301.03666884867,2483.81827593118,2665.54946306948,2852.9476027936,3070.57362633277
Economic OI (pretax),2012.19431029707,1658.24942126635,2033.4896634127,2425.98124948319,2754.50976814915,3018.20963482195,3089.16275676977,3537.17257610876,3406.06436468073,3791.59697712477,5961.47295377691,6139.55695274436,7035.9270450065,8197.76078843443,8615.76054213104,8542.90500391793,9456.33709000723,10262.8130508119
Economic OI-after-tax,1248.98191424157,1009.73899694076,1263.61203459897,1522.07994155106,1707.51698745372,1988.92912918539,1960.4988561923,2305.40510949802,2169.99602458226,2480.56938247747,4204.81836195543,4721.98122023619,5263.00701677261,6171.23339557168,6431.98184119765,6256.23935577932,7074.61002195881,7596.92801644172
NFE after-tax (real),102.876931840002,107.357252965111,109.879972049276,111.829948717261,88.5512834291401,96.2053679362801,104.473474096411,117.192132896999,121.924182132459,123.102421970537,151.863968840506,152.843167137023,160.602596340712,160.798017363018,136.50353410458,130.461790673904,136.560044088387,120.013637562301
Economic NI,1146.10498240156,902.381743975653,1153.73206254969,1410.2499928338,1618.96570402458,1892.72376124911,1856.02538209589,2188.21297660102,2048.0718424498,2357.46696050693,4052.95439311492,4569.13805309917,5102.40442043189,6010.43537820866,6295.47830709307,6125.77756510542,6938.04997787042,7476.91437887942
OCI (real),444.636495092962,171.828309335919,187.497734526911,555.710121410694,227.702762267307,-175.504518001176,-107.585445390646,-1585.00395752203,-1534.53931343669,-1386.31985150131,-1600.16438012481,-1882.35263654036,-1679.42835119064,-1406.18832712108,-2094.41139567067,-1985.20854802397,-1952.90508752299,-1842.46189542869
Comprehensive income,1590.74147749452,1074.21005331157,1341.2297970766,1965.96011424449,1846.66846629188,1717.21924324794,1748.43993670524,603.209019078984,513.532529013108,971.147109005625,2452.79001299012,2686.7854165588,3422.97606924126,4604.24705108758,4201.0669114224,4140.56901708145,4985.14489034743,5634.45248345073
"METRICS (economic, ending-balance)",,,,,,,,,,,,,,,,,,
RNOA (econ),0.139919353723298,0.113296612451021,0.155762684219764,0.187331180564438,0.215868797341192,0.218981257361107,0.208964289946986,0.22373294337983,0.170393604813836,0.216399196391884,0.33790554235024,0.355454335609753,0.414579577066489,0.454980838155731,0.353369475726461,0.337381886535677,0.33925291342619,0.343115501061363
FLEV (econ),-0.128659134066589,-0.199397918336421,-0.319735288029044,-0.346292503230667,-0.379544504720467,-0.130428208498073,-0.251085531479384,-0.00789573805549191,0.0812030846205295,0.163951121881871,-0.0296594127670546,-0.180092669753824,-0.216994963330519,-0.122286938901231,-0.112009579518866,-0.27358663966426,-0.128261596340073,-0.250552815339174
NBC,-0.0780525512758741,-0.0483654553131597,-0.0288174522370012,-0.0259819120803046,-0.0183006968325792,-0.0706188848996832,-0.0332140666066607,-1.4290444137931,0.127473218978102,0.0762414614733277,-0.399267968421053,-0.052381064690027,-0.0456500669856459,-0.0850891747382199,-0.0594540209476309,-0.0186801637795276,-0.0445076093314763,-0.0162134214597103
Spread,0.217971904999172,0.161662067764181,0.184580136456766,0.213313092644743,0.234169494173771,0.28960014226079,0.242178356553647,1.65277735717293,0.0429203858357334,0.140157734918556,0.737173510771293,0.407835400299779,0.460229644052135,0.540070012893951,0.412823496674092,0.356062050315205,0.383760522757666,0.359328922521073
