year,classic_net_profit_margin,classic_asset_turnover,classic_equity_multiplier,classic_roe_3step,classic_tax_burden,classic_interest_burden,classic_ebit_margin,classic_leverage,classic_roe_5step,reform_rnoa,reform_flev,reform_nbc,reform_spread,reform_roce,reform_reported_roe,data_as_of
1986,0.038691003603284306,2.7273166645186238,2.4290522031775845,0.2563199499099945,0.5425778661365143,0.9766990291262136,0.07301080985291511,2.4290522031775845,0.2563199499099945,,,,,,,2026-08-07T01:46Z
1987,0.03779462763768883,2.9411721123212566,2.3952085181898846,0.26625258799171847,0.532033096926714,0.9972886950371331,0.07123124333492875,2.3952085181898846,0.26625258799171847,,,,,,,2026-08-07T01:46Z
1988,0.03932503305282813,3.1098834716863477,2.273424002126434,0.27803127630354846,0.5873104997192589,0.9911882014655412,0.06755308816802742,2.273424002126434,0.27803127630354846,,,,,,,2026-08-07T01:46Z
1989,0.040544336287471554,3.2468512665691778,2.1143322583862494,0.2783337212008378,0.6316583672853479,1.0008306275013215,0.06413385636108286,2.1143322583862494,0.27833372120083777,,,,,,,2026-08-07T01:46Z
1990,0.041684262728248364,3.148222235774837,2.0674046802501516,0.2713082509582409,0.6301024890190338,1.0218432076600839,0.06474059208002883,2.0674046802501516,0.271308250958241,,,,,,,2026-08-07T01:46Z
1991,0.0395992834707499,2.862576719437347,2.1226167179200446,0.24061131301835803,0.6320066578548,1.047753385309807,0.05980074597565763,2.1226167179200446,0.24061131301835795,,,,,,,2026-08-07T01:46Z
1992,0.03665102798329342,2.8417900203323105,2.209451049401262,0.23012432579366784,0.6299937333542222,1.0565694185805916,0.05506198888506593,2.209451049401262,0.23012432579366782,,,,,,,2026-08-07T01:46Z
1993,0.03595283668386087,2.697959163826094,2.34782856881907,0.2277376929399945,0.6300097906073334,1.0595301833757196,0.05386076656609677,2.34782856881907,0.22773769293999455,,,,,,,2026-08-07T01:46Z
1994,0.03464717289879218,2.5469955523282204,2.4590603028161153,0.21700271567278004,0.6320565608408278,1.0347862648913806,0.0529738093328938,2.4590603028161153,0.21700271567278004,,,,,,,2026-08-07T01:46Z
1995,0.032141658274588786,2.5415765257929857,2.578893603646079,0.21067106710671063,0.6290473955889254,1.0523456790123458,0.048554164868364266,2.578893603646079,0.21067106710671069,,,,,,,2026-08-07T01:46Z
1996,0.028918511013308848,2.5238805572573986,2.5441176470588234,0.18568717809704524,0.6304647952139899,1.0569066147859922,0.04339887492216277,2.5441176470588234,0.18568717809704527,,,,,,,2026-08-07T01:46Z
1997,0.028790533793077458,2.6801838198161803,2.3102140815493204,0.17826518112349063,0.6266147221652655,1.1063974591651542,0.04152770712038136,2.3102140815493204,0.17826518112349063,,,,,,,2026-08-07T01:46Z
1998,0.02955598957241888,2.6286576767142606,2.4527914392260715,0.19056369237420961,0.6165413533834586,1.1079039132119333,0.04326943226682537,2.4527914392260715,0.1905636923742096,,,,,,,2026-08-07T01:46Z
1999,0.03182288374231366,2.7843827506200496,2.368131868131868,0.20983327017809777,0.6049433292366516,1.118698441796517,0.047023159588529394,2.368131868131868,0.20983327017809777,,,,,,,2026-08-07T01:46Z
2000,0.033421458074804115,2.371163769207807,2.72311682279167,0.21580088255786947,0.6137839920731036,1.0931520038512457,0.0498114610122955,2.72311682279167,0.21580088255786947,,,,,,,2026-08-07T01:46Z
2001,0.03256680203833519,2.4740176628695765,2.4927416009954375,0.20084229333503495,0.6222815342032424,0.894350632128017,0.05851677487777749,2.4927416009954375,0.20084229333503495,,,,,,,2026-08-07T01:46Z
2002,0.032411343727377404,2.4663934524451476,2.3773859039370975,0.19004615121645488,0.6416891111966141,0.8978322825805337,0.05625707525398036,2.3773859039370975,0.19004615121645493,,,,,,,2026-08-07T01:46Z
2003,0.03260926883683196,2.603633099223742,2.407021379362941,0.20436230520883647,0.64998382923674,0.9302745393004889,0.05392962174221681,2.407021379362941,0.2043623052088365,,,,,,,2026-08-07T01:46Z
