Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Real NFO,12692.4705703125,13718.7722173798,14013.6114158748,15143.7712362018,16488.5992543359,16300.4856059273,39431.4813336375,57351.5513161503,34332.2103592812,37013.5095736782,40925.6386978459,61141.7236786006,60491.9215307696,55208.1657408569,52807.1079243478,53349.2077085152,54337.3405698,56252.3394513936
Real CSE,12811.4654393074,11754.950665932,12228.8172811019,11862.3815725043,11791.1284352371,12158.9835697097,9917.83228991367,3234.97899074177,-7380.90559345805,-10253.9664566937,-13336.3585336309,-34163.4433758426,-35434.0239362399,-28322.1477780346,-24295.2643290015,-23335.772601172,-20953.7344814385,-21293.922611037
tie: Real NOA−NFO−CSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECONOMIC FLOWS (real 2026$),,,,,,,,,,,,,,,,,,
Real EBITDA,10028.4899732006,10686.1587651547,11485.1583597791,12707.8837066938,12559.5588987517,12607.9856321124,11252.8713486753,10103.1630494859,10813.6849071069,14924.2664013544,13752.3385082853,14009.7634216939,11751.3369764036,13215.5730933314,11155.0022798175,14947.6855038694,14752.5527098496,15189.380778585
Economic depreciation,2380.56752200268,2431.46658491066,2495.39414631218,2586.15567495931,2680.80317286698,2725.28928174797,2720.21127543749,2683.65928810485,2662.34507112802,2625.91069721844,2636.08697544614,2630.84790268095,2552.89026648143,2560.64150442962,2562.00519159606,2586.70516625822,2626.97512090229,2686.37868131796
Economic OI (pretax),7647.92245119788,8254.69218024407,8989.76421346696,10121.7280317345,9878.75572588473,9882.6963503644,8532.66007323783,7419.50376138105,8151.33983597886,12298.355704136,11116.2515328392,11378.915519013,9198.4467099222,10654.9315889017,8592.99708822148,12360.9803376111,12125.5775889473,12503.0020972671
Economic OI-after-tax,5264.69888832481,5697.45048261358,6257.49332656431,6847.44692386721,6570.19404723144,6616.17639937388,5382.33786021728,5019.00009568536,5454.7171745632,7314.45200822228,8343.31061553938,8466.55671152535,7010.35110843831,8750.14011222847,6713.58900607109,9884.00701606173,9569.96997851585,9750.73539229428
NFE after-tax (real),569.748693460266,518.572795820792,489.643764534105,504.273044311996,510.052103122712,516.938754262716,526.604769338477,623.536143338898,843.276683008439,762.830767809554,992.544107157441,1105.13474167814,1215.04863526611,1212.25671742304,1091.06048644026,1204.81645226699,1279.03460892341,1294.04964176397
Economic NI,4694.95019486455,5178.87768679279,5767.84956203021,6343.17387955522,6060.14194410873,6099.23764511116,4855.7330908788,4395.46395234646,4611.44049155476,6551.62124041272,7350.76650838194,7361.42196984721,5795.3024731722,7537.88339480543,5622.52851963083,8679.19056379474,8290.93536959245,8456.68575053031
OCI (real),157.675275774142,1167.4952581606,1157.10692069927,669.980808574769,1162.45179403643,615.128949977893,-2151.28422842322,-4071.80588480995,-4318.63206781469,-2978.26347584856,-3482.59295240674,-3254.39894898243,-3349.53373851962,-3183.03157212976,-2847.43760332132,-2701.20343154951,-2727.44348383271,-2512.82656246603
Comprehensive income,4852.62547063869,6346.37294495339,6924.95648272948,7013.15468812999,7222.59373814515,6714.36659508905,2704.44886245558,323.658067536508,292.808423740068,3573.35776456416,3868.1735559752,4107.02302086478,2445.76873465258,4354.85182267568,2775.09091630952,5977.98713224523,5563.49188575973,5943.85918806428
"METRICS (economic, ending-balance)",,,,,,,,,,,,,,,,,,
RNOA (econ),0.206426917254615,0.223659906669789,0.238449474277707,0.253551365585836,0.232328759291905,0.232477154037635,0.109066113893196,0.0828401968269573,0.202391580740102,0.273339943669656,0.30241131939213,0.313828628678744,0.279766132892519,0.325453182554891,0.235466674879168,0.329319419143844,0.286666753531225,0.278923826465673
FLEV (econ),0.990711845607469,1.16706335970761,1.14594985710769,1.27662148984512,1.39839026814946,1.34061252015628,3.97581650717555,17.7285699475284,-4.65149024392224,-3.60967726294014,-3.06872663888285,-1.78968270282248,-1.70717053303398,-1.94929304703628,-2.17355560364541,-2.28615562125575,-2.59320555092143,-2.64170864518109
NBC,0.0448887149514373,0.0378002336946621,0.0349405838368994,0.0332990400110185,0.0309336223929748,0.0317130892146394,0.0133549324430084,0.010872175713289,0.0245622601686195,0.0206095227552276,0.0242523791622507,0.0180749686987469,0.0200861305860167,0.0219579241794281,0.0206612429524322,0.0225835865988818,0.0235387782234281,0.0230043702072539
Spread,0.161538202303178,0.185859672975127,0.203508890440808,0.220252325574818,0.20139513689893,0.200764064822996,0.0957111814501876,0.0719680211136683,0.177829320571483,0.252730420914429,0.278158940229879,0.295753659979998,0.259680002306502,0.303495258375462,0.214805431926736,0.306735832544962,0.263127975307797,0.255919456258419
ROCE,0.378772084554054,0.539889373023601,0.566281785355573,0.591209669429762,0.612544743093531,0.552214464029362,0.272685480395345,0.100049511438185,-0.0396710701732311,-0.348485415829646,-0.290047207880669,-0.120216893118242,-0.069023172165078,-0.153761355134694,-0.11422353256708,-0.256172668221193,-0.265513142332125,-0.279134065462578
