ticker,fiscal_year,period_end,vendor_musd,primary_source_musd,gap_musd,gap_pct_of_primary,lease_liabilities_musd,operating_lease_musd,finance_lease_musd,explained_by_leases,gap_equals,borrowings_basis,verdict,note,cik,anchor_year,years_agreeing,first_disagreeing_year,vendor_scale_factor
AAPL,2022,2022-09-24,120881.0,120069.0,812.0,0.6762778069276832,12411.0,11470.0,941.0,True,noncurrent finance leases,components,AMBER,"agrees to fiscal 2021, then disagrees in 4 year(s) from fiscal 2022; every gap equals capitalized lease liabilities — the known definitional break",0000320193,2025,9,2022,1.0
AAPL,2023,2023-09-30,111947.0,111088.0,859.0,0.7732608382543569,12842.0,11818.0,1024.0,True,noncurrent finance leases,components,AMBER,"agrees to fiscal 2021, then disagrees in 4 year(s) from fiscal 2022; every gap equals capitalized lease liabilities — the known definitional break",0000320193,2025,9,2022,1.0
AAPL,2024,2024-09-28,119059.0,106629.0,12430.0,11.65724146339176,12430.0,11534.0,896.0,True,all capitalized leases,components,AMBER,"agrees to fiscal 2021, then disagrees in 4 year(s) from fiscal 2022; every gap equals capitalized lease liabilities — the known definitional break",0000320193,2025,9,2022,1.0
AAPL,2025,2025-09-27,112377.0,98657.0,13720.0,13.906767892800309,13720.0,12490.0,1230.0,True,all capitalized leases,components,AMBER,"agrees to fiscal 2021, then disagrees in 4 year(s) from fiscal 2022; every gap equals capitalized lease liabilities — the known definitional break",0000320193,2025,9,2022,1.0
