year,real_revenue,real_gross_profit,real_sga,real_gross_ppe_series,real_net_ppe_series
2009,111357.241053991,37474.1921906245,27876.8000764437,53146.9915945051,33955.3754558603
2010,101703.689180761,34444.2559525993,24439.2538889093,53780.0596674942,32106.157473903
2011,101304.614277649,34719.2189526938,23612.4657218179,54557.4674551218,30364.8309054294
2012,102750.871473122,35413.618064932,23394.9991898743,54928.9111156154,28726.364040633
2013,107538.235562786,37175.3094605442,23747.7752718313,55124.5237418406,27182.3196151326
2014,111566.1068701,38100.8192459111,21759.1563302582,55166.5284954411,25710.3965608043
2015,117604.183024846,40139.7657003506,23018.612335824,55364.0677536703,24292.5139268645
2016,123599.531834488,42259.1740865891,22427.4526409646,55261.2797581254,22964.5045643405
2017,129328.329736456,44177.6660370431,22343.8119655679,54187.201339894,21805.2595541343
2018,134664.709434623,45850.9152990558,22777.318995488,53107.7740185636,21033.9728778798
2019,141835.795495527,48710.4623773259,24370.961154985,51370.2408978346,20977.4762541492
2020,142725.512729366,48650.3330847607,24389.9093469752,50079.642071013,21272.0502214641
2021,163387.458131897,55472.0888622357,29110.6955530132,49313.3524784963,21333.7713416129
2022,173091.822490646,58208.3761972288,27897.2391587364,46781.7759235495,21445.511741725
2023,173117.884257406,58047.2779765148,27714.8311366515,45076.5578980756,22185.3257786647
2024,163100.693001667,54442.0367944046,27240.2483160073,43638.6817487991,23083.304157387
2025,166044.331518312,55490.3721590468,28675.7854775535,42900.9116075155,24262.6062000356
2026,166873.384275543,55594.7379406356,31110.355313103,38664.2743965241,21937.6342148511
