year,real_revenue,real_gross_profit,real_sga,real_gross_ppe_series,real_net_ppe_series
2009,91283.0082969371,72295.9801153181,6295.1644238523,20113.6554635151,13601.9123105877
2010,96029.5774113072,76980.1149567084,6244.2893064167,21776.3297408244,14150.3462679416
2011,104203.841881577,80996.6124949431,6290.10223216072,23493.0088413329,14985.4830380806
2012,107608.530401491,82021.1623082485,6669.06359486746,24817.8519450807,15570.2346844376
2013,111990.583785849,82665.5051017999,7211.50941590079,28885.4561682057,18335.4489427008
2014,122920.61815271,84589.0564383955,6620.75168542174,34187.09249028,22123.5345610307
2015,132314.603340689,85601.525063603,6519.58362902239,39747.1878843299,25951.0903638392
2016,127278.795793456,81507.9143608311,6371.34020674397,48634.6473562591,32159.5494719826
2017,132029.87611374,85188.944720953,6126.33062581593,56291.1694840213,37249.6991221467
2018,147284.521259861,96099.2798328999,6344.60505680845,67225.6507410239,45723.8328310942
2019,164958.845988962,108711.108082313,6403.40712360702,79645.8991926434,55742.998218882
2020,185183.843982675,125519.464980237,6618.00948568647,93782.1403011998,66258.3915835307
2021,207883.362822453,143285.27249511,6316.09831715688,114968.257706326,81125.4690646337
2022,227041.524012916,155300.204199484,6756.16579248603,137915.182863568,96206.9742730939
2023,233072.28224626,160633.617094735,8331.27687051611,164584.987121219,112752.391971755
2024,261870.897627905,182692.775277424,8128.91401037333,205443.666183142,143377.902053614
2025,293257.47741681,201830.770785512,7518.70184784263,264644.226125245,189952.10955587
2026,335789.411025251,228149.070955518,8050.71300876901,257652.051527607,165316.109248531
