Fiscal year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Economic depreciation,9632.91572029624,10282.7342073121,10869.368773121,11451.752049724,12046.8703505127,12658.2701490226,13269.6212275981,13840.2636128215,14269.5039953101,14485.4190491143,14579.2271890603,14665.0169792109,14639.8126515556,14686.4819028972,14764.9747287897,14952.8447197829,15244.529350902,14256.4172713851
Economic OI (pretax),25930.8580856207,26605.1397608428,27184.110908037,27215.3881760659,27837.2506460661,25381.6783843648,25114.0562343561,19817.6710099187,16852.966517092,26841.2616806145,28199.7270543205,26194.1670006045,27038.7683721739,27224.6482674399,19740.2594967815,26567.7549665306,28809.0468504753,30357.1819640164
Economic OI-after-tax,16672.6102336344,17599.0703416563,18012.0655002216,17905.8502463831,18757.4064276863,16539.9337052173,16516.0404241272,13309.1429991555,11234.8237546311,18149.3651055149,17013.3629244485,19365.0582303624,17436.9172397221,19851.7643117564,12505.1826073376,19327.6882203287,21645.651565932,22524.2110977009
NFE after-tax (real),2245.38816384202,2146.84305886875,2227.32795661113,2285.51223045388,2234.00980132692,2218.85326032283,2359.24526404744,2479.49892670834,2256.61313770562,2163.73085077883,1926.43356009622,2543.06956781033,1908.2594903171,1702.50146637122,1553.15260772028,2134.52734710882,2175.66164834525,2143.36333247879
Economic NI,14427.2220697924,15452.2272827876,15784.7375436105,15620.3380159292,16523.3966263594,14321.0804448944,14156.7951600797,10829.6440724472,8978.21061692544,15985.6342547361,15086.9293643523,16821.9886625521,15528.657749405,18149.2628453852,10952.0299996173,17193.1608732199,19469.9899175867,20380.8477652221
OCI (real),-4198.85904995409,-107.580667351506,962.436296062488,-2058.0826589545,-844.43567267779,-4241.13150513652,-10134.9762422105,-16192.9503347819,-19457.6963772846,-13587.3841151382,-15129.6059407722,-16580.6322567433,-14090.3285935712,-10038.0592096496,-12846.1140392908,-12074.2523518517,-14161.9740606256,-12939.8487834123
Comprehensive income,10228.3630198383,15344.6466154361,16747.173839673,13562.2553569747,15678.9609536816,10079.9489397579,4021.81891786925,-5363.30626233472,-10479.4857603592,2398.25013959791,-42.6765764199117,241.356405808765,1438.3291558338,8111.20363573556,-1894.08403967351,5118.9085213682,5308.0158569611,7440.99898180983
"METRICS (economic, ending-balance)",,,,,,,,,,,,,,,,,,
RNOA (econ),0.133761595395923,0.135993144332509,0.131383657415883,0.120455001669261,0.121785101875997,0.103040580686076,0.105294963563768,0.0863702503380023,0.0754981052904361,0.123781298834343,0.106040912665324,0.123690294919151,0.109187357521638,0.127640759561418,0.0835029398639047,0.127538750569736,0.136417181852915,0.161280967685812
FLEV (econ),0.779091120639905,0.743198350406152,0.981564732560629,1.03216848242879,0.934525754135609,0.923417762419044,0.70285359158492,0.67299888048653,0.630108334827911,0.642689786418472,0.884540743350293,1.36804886366077,0.676632778875328,0.605081977926167,0.722186429178915,0.554104919426928,0.610038009526879,0.840266996611597
