Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
CPI deflator,1.55651802343674,1.56207553941744,1.53686667645009,1.48983946758899,1.45963309145709,1.43856162296046,1.4155979656664,1.41391967664767,1.39630510776769,1.36717934073107,1.33458246882803,1.31083052683869,1.29485609189718,1.23675314610473,1.14511284618407,1.0998385307612,1.06832882249617,1.04093892397101
BEA deflator,1.19073558487673,1.19852164730729,1.22074564351828,1.20749621506608,1.19075960859477,1.18957159701297,1.17840848965249,1.17634162140615,1.18776413765345,1.1804,1.17538112260647,1.16403368636964,1.1575953711876,1.14438616731461,1.07973619457937,1.04651884425452,1.03250411112277,1.01724420238023
REPORTED (nominal $mm),,,,,,,,,,,,,,,,,,
Total assets,47195.7,112314,105781,105128,106132,105645,98167,101677,95377,87872,82637,84397,91588,105694,109160,106675,117106,136866
Total liabilities,26028.6,50829,48976,48185,50669,53319,49376,56910,55069,53303,55755,58396,66184,67437,63102,69040,70734,84204
Cash,4368.3,9311,10900,13531,13451,15621,7441,8524,6515,6092,7965,9676,8062,8096,12694,6841,13242,14565
Short-term investments,1118.1,293,1301,1441,2690,1865,8278,4903,7826,2406,899,774,1,0,498,252,447,0
Total debt,6240.4,17474,17882,17515,20569,25060,21403,26412,24842,24410,25114,27351,33417,34631,31985,36268,38270,50534
Pension (NC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minority interest,2408.8,2427,2429,2426,2443,2561,144,91,220,233,181,94,87,73,67,54,59,56
Reported net PP&E,11999.6,18279,17082,16297,16030,14973,13136,12507,12026,12439,13291,15053,17000,19279,21422,23051,23779,26823
Reported CSE (common),18758.3,59058,54376,54517,53020,49765,48647,44676,40088,34336,26701,25907,25317,38184,45991,37581,46313,52606
Shares (mm),2143,2273.2,3120,3094,3076,2996,2928,2841,2787,2748,2679,2580,2541,2538,2542,2547,2541,2507
Operating income,6085,4021,3355,8976,9877,7665,6683,7547,5499,6797,8931,7926,5548,13199,18282,2954,20221,23486
D&A (reconciled),0,0,0,0,0,0,0,0,0,4637,4519,3652,3625,3214,3909,3800,4499,5838
Net income (common),7808.4,12899.2,861,6272,6168,4404,11920,4442,3920,2394,6220,9843,7067,13049,14519,365,17117,18254
Interest expense,251,458,715,749,714,801,732,672,693,754,772,893,831,806,962,1146,1271,1357
