field,value
ticker,MRK
verdict,REFUSED — no valuation was produced by this run
reason,"TRUNCATION REVIEW REQUIRED — no valuation produced for MRK. The explicit forecast ends at earnings per share of 11.9959 in year cfg_N=6, against a normalized (neutral) level of 11.9919 — a gap of +0.0040 per share, with abnormal earnings growth of +0.2755 per share still being created in that final year. Gate: the truncation point does not satisfy the rule. TERMINAL CONDITION -- abnormal earnings growth is still GROWING at the stop year (AEG 0.2631 -> 0.2755 per share, factor 1.047). The continuing period begins by forcing it to zero, so this truncation discards a stream the forecast says is still building. Extend forecast.horizon_N until it is spent -- up to thirty years is available, and that is what it is for. Both conditions must hold: the explicit forecast does not end until projected abnormal earnings growth is spent AND earnings are at a normalized level. Engine value 121.36 per share — NOT published. The rule is that the explicit forecast does not end until projected abnormal earnings growth is spent AND earnings are at a normalized level. Both must hold. Nothing is corrected for you: a truncation that fails this is a forecast that has not finished, and the remedy is to extend it. There are four things that cause it, and the review is deciding which: 1. The forecast horizon is in the wrong place — it stops while abnormal earnings growth is still running. Remedy: move forecast.horizon_N. 2. The forecast drivers produce an implausible earnings path. Remedy: fix the inputs. This is the Home Depot case. 3. The anchor year is distorted (the anchor checks above cover most of this). 4. The normalized line itself misfired — it is the median of the last four forecast years walked forward at normal growth, and an unusual pattern can defeat it. Once you have looked and either fixed it or accepted the gap, add to companies/MRK.yaml: convergence: reviewed: true note: <which of the four it was, and what you concluded> MRK_convergence.csv and MRK_periods.csv WERE written to the output directory, so you can see the earnings path the review is about. No valuation file was refreshed — the previous run's numbers stand until this is resolved. Nothing else clears this gate. That is intended."
stale_files_quarantined,0
note,The .STALE files hold the PREVIOUS run's numbers. They are not current and must not be published or quoted.
