line_item,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ECONOMIC RESTATEMENT (real 2026$),,,,,,,,,,,,,,,,,,
Real net PP&E (BEA),28450.2056264715,29465.1061907329,30266.2630953449,31241.6925753624,32857.5635771795,34386.9451349744,35566.0229175205,36504.5318944395,36888.7388548438,37293.7243491581,38053.5275536423,38312.7107429414,38194.5043252847,37631.4884435124,37216.8957761915,36554.984933542,36093.0989021339,36030.8003182609
Non-PP&E op net (nom),81978,79909,73849,80342,74729,78697,78470,67436,62654,57878,56594,51744,51839,52970,53877,55450,55177,57320
Real non-PP&E op net,127600.234525297,124823.894279308,113496.067189162,119696.682505035,109076.921291497,113210.484042119,111081.972365842,95349.0873144121,87484.1002220769,79129.6058828329,75529.3602408535,67827.6147807414,67124.0449478577,65510.8141491678,61695.2448138593,60986.0465307087,58947.179438871,59666.6191220185
Real NOA,156050.440151768,154289.000470041,143762.330284507,150938.375080397,141934.484868677,147597.429177094,146647.995283363,131853.619208852,124372.839076921,116423.330231991,113582.887794496,106140.325523683,105318.549273142,103142.30259268,98912.1405900508,97541.0314642506,95040.2783410049,95697.4194402794
Real NFO,51558.1030083185,56659.6039657495,49145.9225795209,50647.0927006877,46222.2011071718,46464.1018599999,44676.2717964315,34884.2262622512,34485.9435516464,30880.4797690927,33232.4380562868,33846.9550335019,33679.2069502456,34972.9054655497,32616.249197861,33635.2619477391,28890.8163467638,30400.6212745735
Real CSE,104492.33714345,97629.3965042918,94616.4077049865,100291.282379709,95712.2837615048,101133.327317094,101971.723486931,96969.3929466003,89886.8955252742,85542.8504628984,80350.449738209,72293.3704901809,71639.3423228969,68169.3971271305,66295.8913921899,63905.7695165115,66149.4619942411,65296.7981657059
tie: Real NOA−NFO−CSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
