# AEG by period,cfg_N=10,convergence_K=3,actual_eps_N=227.756891650492,normalized_eps_N=227.06776868578294,engine_intrinsic_ps=3033.2269090987,corrected_intrinsic_ps=3028.491758942717,guard=PASS
# CAVEAT,the convergence increment is computed on the EQUITY (EPS) leg only and therefore sits OUTSIDE the four-method tie; the tie covers the explicit period
period,years,n_years,eps_entry,eps_exit,eps_growth_annualized,aeg_sum_nominal_ps,aeg_first_ps,aeg_last_ps,pv_contribution_ps,pct_of_corrected_value
explicit,1..10,10,155.06281681,227.75689165,0.03919341,27.0232754,-0.93248891,4.27358676,816.33839944,0.26955279
convergence,11..13,3,227.75689165,239.82565226,0.0173601,-0.71490087,-0.23424059,-0.24236884,-4.73515016,-0.00156353
combined,1..13,13,155.06281681,239.82565226,0.03411373,26.30837453,-0.93248891,-0.24236884,811.60324928,0.26798925
