# convergence guard,verdict=PASS,gap_ps=0.0476,converge_value_ps=-0.2746,eng_intrinsic=228.9662,corrected_intrinsic=228.6916
t,phase,eps,normal_eps,aeg_eps,contrib_eps,coe
13,convergence,19.693615,19.709816,-0.01620132,-0.09789637,0.092747
14,convergence,20.079721,20.09624,-0.01651896,-0.09134922,0.091341
15,convergence,20.47639,20.493235,-0.01684528,-0.08534768,0.089945
