table,period,n_years,E,E_prev,D_prev,r_nom,nominal_growth_pct,normal_growth_pct,aeg,aeg_pct_prior,rore,rore_minus_r,cum_aeg,data_as_of
single_year,1986,,675.7,539.9,0.0,0.1283,0.2515280607519912,0.12830000000000008,66.53083000000004,0.12322806075199118,0.25152806075199124,0.12322806075199125,,2026-08-03T04:34Z
single_year,1987,,906.4,675.7,0.0,0.1363,0.3414237087464851,0.1363000000000001,138.60208999999986,0.20512370874648492,0.341423708746485,0.20512370874648497,,2026-08-03T04:34Z
single_year,1988,,1206.8,906.4,0.0,0.1286,0.3314210061782876,0.12860000000000005,183.83695999999998,0.20282100617828772,0.33142100617828774,0.20282100617828774,,2026-08-03T04:34Z
single_year,1989,,1495.4,1206.8,0.0,0.1346,0.23914484587338425,0.13460000000000005,126.16471999999999,0.10454484587338415,0.23914484587338428,0.10454484587338428,,2026-08-03T04:34Z
single_year,1990,,1781.2,1495.4,650.3,0.1168,0.19111943292764466,0.0660075431322722,187.09231999999997,0.12511188979537244,0.33818483019760964,0.22138483019760963,,2026-08-03T04:34Z
single_year,1991,,2121.7,1781.2,749.4,0.1192,0.19116326072310796,0.06904927015495166,217.50944000000004,0.12211399056815632,0.3300058150804417,0.2108058150804417,,2026-08-03T04:34Z
single_year,1992,,1984.2,2121.7,893.2,0.1107,-0.06480652307112211,0.06409716265259013,-273.4949499999998,-0.12890368572371202,-0.11192511192511176,-0.22262511192511175,,2026-08-03T04:34Z
single_year,1993,,2166.2,1984.2,1064.3,0.11449999999999999,0.09172462453381702,0.053083635722205536,76.67144999999937,0.03864098881161141,0.19784759212957903,0.08334759212957904,,2026-08-03T04:34Z
single_year,1994,,2997.0,2166.2,1174.4,0.1128,0.3835287600406243,0.05164575754777978,718.9249599999998,0.3318830024928446,0.8376688848558181,0.7248688848558181,,2026-08-03T04:34Z
single_year,1995,,3335.2,2997.0,1434.1,0.1124,0.11284617951284615,0.05861526860193522,162.53003999999964,0.05423091091091079,0.21639260349350553,0.10399260349350553,,2026-08-03T04:34Z
single_year,1996,,3881.3,3335.2,1539.8,0.11,0.1637383065483331,0.05921503957783636,348.6060000000002,0.10452326697049659,0.30416620251754506,0.19416620251754507,,2026-08-03T04:34Z
single_year,1997,,4614.1,3881.3,1728.9,0.11900000000000001,0.18880272073789706,0.06599221910184738,476.66439999999966,0.12281050163604969,0.34045716409589305,0.22145716409589306,,2026-08-03T04:34Z
single_year,1998,,5248.2,4614.1,2039.9,0.1334,0.13742658373247219,0.07442367525627946,290.70172,0.06300290847619254,0.24632895656903092,0.11292895656903093,,2026-08-03T04:34Z
single_year,1999,,5890.5,5248.2,2253.1,0.1531,0.12238481765176634,0.08737277733318094,183.75018999999975,0.035012040318585375,0.2144502687723282,0.06135026877232819,,2026-08-03T04:34Z
single_year,2000,,6821.7,5890.5,2589.7,0.1475,0.1580850522026993,0.08265308547661498,444.3319999999994,0.07543196672608428,0.2821134270479883,0.13461342704798832,,2026-08-03T04:34Z
single_year,2001,,7281.8,6821.7,2798.0,0.1268,0.06744653092337694,0.07479149772050953,-50.10516000000007,-0.00734496679713269,0.11434749111514288,-0.01245250888485712,,2026-08-03T04:34Z
single_year,2002,,7149.5,7281.8,3145.0,0.11720000000000001,-0.018168584690598455,0.06658147161416128,-617.1329599999999,-0.08475005630475979,-0.03198124153935413,-0.14918124153935414,,2026-08-03T04:34Z
single_year,2003,,6589.6,7149.5,3191.6,0.1343,-0.0783131687530596,0.0743472928176796,-1091.4459700000007,-0.15266046157073931,-0.14146390762778233,-0.27576390762778236,,2026-08-03T04:34Z
single_year,2004,,5813.4,6589.6,3250.4,0.1222,-0.11779167172514271,0.06192337015903848,-1184.2502400000012,-0.1797150418841813,-0.23245088643986603,-0.35465088643986603,,2026-08-03T04:34Z
single_year,2005,,4631.3,5813.4,3310.7,0.1084,-0.2033405580211235,0.0466667836378023,-1453.39268,-0.2500073416589259,-0.4723298837255762,-0.5807298837255762,,2026-08-03T04:34Z
single_year,2006,,4433.8,4631.3,3349.8,0.1002,-0.04264461382333251,0.027725757346749313,-325.90630000000056,-0.07037037117008195,-0.15411626999609832,-0.2543162699960983,,2026-08-03T04:34Z
single_year,2007,,3275.4,4433.8,3322.6,0.0932,-0.2612657314267671,0.02335780594523884,-1261.9638400000003,-0.284623537372006,-1.04247660187185,-1.13567660187185,,2026-08-03T04:34Z
single_year,2008,,7808.4,3275.4,3307.3,0.135,1.383953104964279,-0.0013148012456494218,4537.306500000001,1.3852679062099287,-142.10031347962342,-142.23531347962341,,2026-08-03T04:34Z
single_year,2009,,12899.2,7808.4,3278.5,0.1094,0.651964550996363,0.06346640284821459,4595.228940000003,0.5884981481481485,1.1238217179187182,1.0144217179187183,,2026-08-03T04:34Z
single_year,2010,,861.0,12899.2,3479.1,0.1108,-0.9332516745224511,0.08091564438104681,-13081.94708,-1.0141673189034979,-1.2779269859131008,-1.3887269859131008,,2026-08-03T04:34Z
single_year,2011,,6272.0,861.0,4853.0,0.1063,6.284552845528455,-0.4928566782810685,5835.3496000000005,6.777409523809524,-1.3554609218436873,-1.4617609218436873,,2026-08-03T04:34Z
