table,period,n_years,E,E_prev,D_prev,r_nom,nominal_growth_pct,normal_growth_pct,aeg,aeg_pct_prior,rore,rore_minus_r,cum_aeg,data_as_of
single_year,2012,,6168.0,6272.0,4811.0,0.1032,-0.01658163265306123,0.024039413265305898,-254.77519999999913,-0.04062104591836721,-0.07118412046543464,-0.17438412046543464,,2026-08-03T04:34Z
single_year,2013,,4404.0,6168.0,5236.0,0.0759,-0.28599221789883267,0.011468677042801634,-1834.7388,-0.29746089494163425,-1.8927038626609443,-1.9686038626609443,,2026-08-03T04:34Z
single_year,2014,,11920.0,4404.0,5277.0,0.07139999999999999,1.706630336058129,-0.014153542234332406,7578.3322,1.7207838782924614,-8.609392898052691,-8.680792898052692,,2026-08-03T04:34Z
single_year,2015,,4442.0,11920.0,5247.0,0.0771,-0.6273489932885906,0.04316177013422817,-7992.488299999999,-0.6705107634228187,-1.1206353963734452,-1.1977353963734452,,2026-08-03T04:34Z
single_year,2016,,3920.0,4442.0,5117.0,0.0722,-0.11751463304817644,-0.010971409275101207,-473.2650000000003,-0.10654322377307526,0.7733333333333333,0.7011333333333333,,2026-08-03T04:34Z
single_year,2017,,2394.0,3920.0,5124.0,0.0791,-0.38928571428571423,-0.024294999999999956,-1430.7636000000002,-0.36499071428571433,1.2674418604651163,1.1883418604651164,,2026-08-03T04:34Z
single_year,2018,,6220.0,2394.0,5167.0,0.0872,1.5981620718462826,-0.10100484544695099,4067.8056,1.699166917293233,-1.3797331410025244,-1.4669331410025244,,2026-08-03T04:34Z
single_year,2019,,9843.0,6220.0,5172.0,0.0812,0.5824758842443729,0.01368128617363329,3537.9024,0.5687945980707395,3.45706106870229,3.37586106870229,,2026-08-03T04:34Z
single_year,2020,,7067.0,9843.0,5695.0,0.1267,-0.2820278370415523,0.05339343696027621,-3301.5516,-0.3354212740018287,-0.6692381870781099,-0.7959381870781099,,2026-08-03T04:34Z
single_year,2021,,13049.0,7067.0,6215.0,0.14980000000000002,0.84646950615537,0.018059940568841082,5854.3704,0.8284095655865289,7.02112676056338,6.87132676056338,,2026-08-03T04:34Z
single_year,2022,,14519.0,13049.0,6610.0,0.1321,0.11265231052187907,0.06518445091577885,619.4081000000024,0.04746785960610027,0.2282963193042398,0.0961963193042398,,2026-08-03T04:34Z
single_year,2023,,365.0,14519.0,7012.0,0.1039,-0.9748605275845443,0.0537211447069359,-14933.977300000002,-1.0285816722914802,-1.8854402557612895,-1.9893402557612896,,2026-08-03T04:34Z
single_year,2024,,17117.0,365.0,7445.0,0.10949999999999999,45.895890410958906,-2.1239999999999997,17527.260000000002,48.01989041095891,-2.3661016949152542,-2.4756016949152544,,2026-08-03T04:34Z
single_year,2025,,18254.0,17117.0,7840.0,0.1118,0.06642519133025648,0.0605928959513935,99.83139999999912,0.005832295378863067,0.12256117279292875,0.01076117279292875,,2026-08-03T04:34Z
trailing_5y,trailing_5y,5,,,,0.12142,9.189315378276373,-0.3852883135714101,1833.3785200000002,9.574603691847784,0.624088460396801,0.5026684603968009,9166.892600000001,2026-08-03T04:34Z
trailing_10y,trailing_10y,10,,,,0.10534999999999999,4.733838666309707,-0.19956380994451933,1156.70204,4.933402476254228,0.6569307236404112,0.5515807236404109,11567.0204,2026-08-03T04:34Z
