ticker,tier,n_all,n_fit,shortest,longest,longest_fit,span,a_pp,b_pp,t_b,r2,b_sqrt_pp
USB,2,2,2,0.687,1.687,1.687,0.999,0.286023,0.085098,,,
V,1,9,9,0.654,23.989,23.989,23.335,0.218665,0.065737,2.082,0.3824,0.057842
VICI,1,8,8,1.41,25.738,25.738,24.328,0.721418,0.213894,5.865,0.8515,0.14138
VLO,1,8,8,1.785,25.284,25.284,23.499,0.277759,0.213328,4.395,0.763,0.141491
VMC,1,4,4,0.616,21.55,21.55,20.934,0.35677,0.207442,3.672,0.8708,0.180847
VST,2,2,2,0.947,2.908,2.908,1.96,1.003719,-0.136339,,,
VTR,2,4,4,0.616,5.035,5.035,4.419,0.500374,0.116832,2.138,0.6957,0.178683
VZ,1,51,51,0.572,34.59,34.59,34.018,0.284003,0.237638,12.114,0.7497,0.155398
WDAY,2,2,2,2.617,5.618,5.618,3.001,0.062869,0.435709,,,
WEC,2,3,3,2.324,25.287,25.287,22.962,0.325991,0.152965,2.848,0.8902,0.103072
WELL,1,6,6,1.656,22.07,22.07,20.413,0.215162,0.189024,4.169,0.8129,0.140945
WFC,1,11,11,0.923,20.301,20.301,19.379,0.301445,0.235884,5.668,0.7812,0.198927
WMB,1,16,16,0.821,25.996,25.996,25.174,0.434975,0.18233,3.753,0.5015,0.135136
WMT,2,19,19,0.627,26.059,26.059,25.432,0.361595,-0.008143,-0.142,0.0012,0.017439
WRB,2,3,3,17.952,35.118,35.118,17.166,0.532719,0.115757,1.287,0.6234,0.044229
WTW,1,5,5,0.821,23.099,23.099,22.278,0.523843,0.143426,3.523,0.8053,0.120477
WY,1,5,5,1.117,25.572,25.572,24.454,0.385765,0.209682,5.953,0.922,0.143195
WYNN,2,2,2,0.737,3.118,3.118,2.382,1.086708,-0.092505,,,
XEL,1,15,15,0.57,25.818,25.818,25.248,0.308178,0.170598,3.938,0.544,0.118581
XOM,2,3,3,2.993,19.532,19.532,16.539,-0.150912,0.250835,7.282,0.9815,0.175841
YUM,2,4,4,3.411,17.202,17.202,13.79,1.030828,0.033015,0.91,0.2927,0.020031
ZBH,2,3,3,5.265,19.061,19.061,13.796,0.699018,0.002328,0.013,0.0002,-0.008204
ZTS,1,6,6,1.065,22.007,22.007,20.942,0.213383,0.214752,7.274,0.9297,0.169974
