ticker,tier,n_all,n_fit,shortest,longest,longest_fit,span,a_pp,b_pp,t_b,r2,b_sqrt_pp
ARE,1,6,6,1.407,25.643,25.643,24.235,0.607507,0.15866,2.43,0.5962,0.093923
ATO,1,7,7,0.821,26.163,26.163,25.341,0.421037,0.106459,7.105,0.9099,0.089855
AVGO,1,6,6,1.407,10.738,10.738,9.331,0.320691,0.29687,2.553,0.6197,0.301739
AVY,2,3,3,2.3,6.571,6.571,4.271,0.173913,0.298355,75.221,0.9998,0.303438
AWK,2,3,3,4.783,24.786,24.786,20.003,0.106784,0.258926,3.602,0.9285,0.151482
AXP,1,7,7,0.539,16.29,16.29,15.751,0.215841,0.163671,5.913,0.8749,0.173932
AZO,2,5,5,0.783,6.456,6.456,5.673,0.464103,0.126652,5.668,0.9146,0.159361
BA,1,18,18,0.531,23.699,23.699,23.168,0.493802,0.164668,8.004,0.8001,0.142139
BAC,2,5,5,1.407,15.472,15.472,14.064,0.255506,0.13838,1.051,0.2691,0.12686
BAX,1,6,6,2.286,25.303,25.303,23.017,0.644017,0.155413,2.614,0.6308,0.095223
BDX,2,2,2,1.487,6.01,6.01,4.523,0.402521,0.104596,,,
BIIB,2,4,4,3.699,24.496,24.496,20.797,0.311898,0.207076,6.146,0.9497,0.132028
BKR,2,2,2,1.322,21.322,21.322,20.0,0.278788,0.149264,,,
BLDR,2,2,2,3.532,5.823,5.823,2.292,0.646483,0.647101,,,
BLK,2,3,3,0.57,5.519,5.519,4.95,0.299921,0.032767,0.316,0.0906,0.068897
BMY,1,6,6,0.526,35.584,35.584,35.058,0.200009,0.196499,10.504,0.965,0.155588
BNY,2,5,5,0.739,3.012,3.012,2.272,0.175949,0.220043,2.045,0.5824,0.386024
BR,2,2,2,3.285,4.701,4.701,1.415,0.070207,0.54401,,,
BRK-B,1,10,10,1.656,22.409,22.409,20.753,0.137279,0.194054,3.686,0.6293,0.154362
BRO,2,2,2,5.577,25.596,25.596,20.019,0.745459,0.15468,,,
BSX,1,6,6,1.533,22.552,22.552,21.018,0.032333,0.231841,5.308,0.8757,0.167109
BXP,2,2,2,1.284,7.118,7.118,5.834,0.351886,0.357171,,,
C,1,17,16,1.112,71.493,21.93,20.819,0.416068,0.169976,3.432,0.4569,0.125341
CAH,1,5,5,0.821,20.827,20.827,20.005,0.445318,0.179892,7.32,0.947,0.161273
CARR,2,4,4,3.494,23.63,23.63,20.137,0.339419,0.151654,8.41,0.9725,0.096908
CAT,1,8,8,0.98,37.739,37.739,36.758,0.26326,0.090801,4.197,0.746,0.058092
CB,2,6,6,5.24,19.209,19.209,13.969,0.447723,0.088788,1.027,0.2085,0.050206
CCI,2,6,6,0.531,2.494,2.494,1.963,0.451295,0.016501,0.081,0.0016,0.077936
CDW,2,2,2,1.618,2.494,2.494,0.876,1.365142,-0.406734,,,
CEG,2,3,3,1.533,6.532,6.532,4.999,-0.22437,0.578022,3.978,0.9406,0.639599
CF,2,2,2,7.57,16.783,16.783,9.213,0.740097,0.072474,,,
CHD,1,5,5,0.95,25.862,25.862,24.912,0.263303,0.134287,7.009,0.9425,0.102555
CHTR,1,24,24,1.492,36.619,36.619,35.127,0.951712,0.392435,9.052,0.7883,0.233856
CI,1,14,14,0.531,24.57,24.57,24.038,0.363161,0.163393,6.707,0.7894,0.137694
CINF,2,2,2,1.738,8.203,8.203,6.464,0.158784,0.437081,,,
CL,2,5,5,0.988,20.953,20.953,19.964,0.099781,0.092527,1.241,0.3393,0.095715
CLX,2,4,4,1.117,5.7,5.7,4.583,0.431518,0.117957,3.327,0.8469,0.14712
CMCSA,1,36,36,1.492,37.202,37.202,35.71,0.12322,0.419607,15.502,0.8761,0.260827
CME,1,4,4,1.823,21.826,21.826,20.003,0.212792,0.118186,11.005,0.9838,0.087129
CMI,2,4,3,1.533,71.535,17.117,15.584,-0.002853,0.207087,4.368,0.9502,0.159819
CMS,1,10,10,0.988,26.037,26.037,25.049,0.199653,0.204331,3.912,0.6567,0.154056
CNC,2,4,4,1.322,4.156,4.156,2.834,0.44796,0.607853,7.39,0.9647,0.79536
CNP,1,16,16,1.533,26.136,26.136,24.602,0.493553,0.097073,2.853,0.3676,0.064003
COF,2,2,2,0.553,1.451,1.451,0.898,0.460123,0.060639,,,
COP,1,12,12,2.004,35.573,35.573,33.569,-0.032787,0.267589,9.143,0.8931,0.164921
COR,1,4,4,1.322,21.325,21.325,20.003,0.338255,0.180427,8.923,0.9755,0.140619
CRM,1,6,6,1.645,34.905,34.905,33.259,0.15835,0.326717,7.671,0.9363,0.210138
CSCO,2,2,2,12.493,13.407,13.407,0.914,-2.631526,1.266865,,,
CSX,1,18,18,0.783,41.533,41.533,40.75,0.254944,0.148239,6.839,0.7451,0.102629
CTAS,2,3,3,0.616,9.99,9.99,9.374,0.372098,0.06527,1.702,0.7433,0.084856
CVS,1,12,12,0.783,26.511,26.511,25.728,0.432131,0.207102,8.847,0.8867,0.165916
CVX,2,2,2,1.407,3.157,3.157,1.749,0.131647,0.044934,,,
D,1,10,10,1.788,18.324,18.324,16.537,0.2832,0.295317,8.029,0.8896,0.228213
DAL,2,2,2,1.667,3.192,3.192,1.525,0.266923,0.339504,,,
DE,1,8,8,1.054,23.655,23.655,22.601,0.092103,0.158044,3.821,0.7088,0.12859
DELL,1,5,5,1.454,14.062,14.062,12.608,0.294517,0.305,7.228,0.9457,0.280455
DG,1,4,4,1.7,26.22,26.22,24.52,0.456362,0.17931,27.626,0.9974,0.119842
DHR,2,3,3,19.075,25.309,25.309,6.234,1.065508,-0.140617,-0.974,0.4869,-0.060811
DIS,1,16,16,1.402,33.733,33.733,32.331,0.111366,0.18016,10.72,0.8914,0.122644
DLTR,2,3,3,1.738,25.303,25.303,23.565,0.459701,0.17608,15.276,0.9957,0.122769
