Fiscal year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Real EBITDA,31808.5442091574,37035.4131690942,40465.5297791846,31765.9949693807,38501.6632769138,39295.5839289335,25678.1952475983,36412.8446003658,51683.4806176567,60481.9429048175,71625.0908169931,85143.2623226988,100921.530228439,112041.276209188,112605.868133455,140720.272499195,169340.985090528,196077.766518625
Economic depreciation,1890.381152586,2046.64753203237,2207.98955275685,2332.50488205646,2714.79851204941,3213.07260246993,3735.63795905357,4570.92550340781,5290.52344774636,6318.20025761503,7485.51684141385,8814.11093056389,10805.2873784141,12961.9532766511,15468.5138271822,19308.6152427765,24872.5776433501,24215.4183766548
Economic OI (pretax),29918.1630565714,34988.7656370618,38257.5402264277,29433.4900873243,35786.8647648644,36082.5113264636,21942.5572885447,31841.919096958,46392.9571699103,54163.7426472024,64139.5739755792,76329.1513921349,90116.2428500245,99079.3229325372,97137.3543062728,121411.657256419,144468.407447178,171862.34814197
Economic OI-after-tax,21954.6760751626,26205.1095567154,31522.9508528963,22402.4063013334,28884.9021475783,28582.2062332874,14364.7551787418,25442.6293227375,39491.3208823158,24359.8137019351,57554.4938680797,63624.2707443485,77548.7311182706,85964.3512790113,78490.8089976281,99023.4410873925,118683.692158681,138189.451918008
NFE after-tax (real),43.6304912231736,174.052471776654,362.455632118374,422.914267074749,498.7650467903,670.560865793111,727.529247684411,1390.36719742206,2589.6222569618,1657.10766693687,3162.41834056836,2801.14339912384,2500.25474473031,2052.58106237253,1753.69380431273,2563.89446129904,2044.95994970203,2488.49490761455
Economic NI,21911.0455839395,26031.0570849387,31160.4952207779,21979.4920342587,28386.137100788,27911.6453674943,13637.2259310574,24052.2621253155,36901.698625354,22702.7060349982,54392.0755275113,60823.1273452246,75048.4763735403,83911.7702166387,76737.1151933153,96459.5466260935,116638.732208979,135700.957010393
OCI (real),1513.6511976955,-13261.6225510878,2775.57092811829,2075.59825605199,2507.41290882008,5249.037256691,3565.90542450542,2146.12095063894,589.254295855091,-2918.7318593269,-445.682379125156,4125.4115087844,2253.36423220283,-5356.8378944491,-6976.27580061831,-5971.95811775357,-3484.02257853098,-3323.09471101023
Comprehensive income,23424.696781635,12769.4345338509,33936.0661488962,24055.0902903106,30893.550009608,33160.6826241853,17203.1313555628,26198.3830759544,37490.9529212091,19783.9741756713,53946.3931483862,64948.538854009,77301.8406057431,78554.9323221896,69760.839392697,90487.5885083399,113154.709630448,132377.862299383
"METRICS (economic, ending-balance)",,,,,,,,,,,,,,,,,,
RNOA (econ),0.934520912081431,1.00873957640042,0.900694427180304,0.868823969866638,0.990251572665489,0.688230890804536,0.452097021990242,1.06434058946148,0.991984382563476,0.513312366296736,0.829606724162027,0.821751130955571,0.84481538144346,0.628078567693646,0.483979280277482,0.386645648395198,0.434836146040776,0.426135005806953
FLEV (econ),-0.630754438327635,-0.646021646175966,-0.60170105136346,-0.743093218002718,-0.751811394232832,-0.682500464300624,-0.731536515194457,-0.776715184117307,-0.616383573546006,-0.593701164118751,-0.511663135489284,-0.522878925238544,-0.457367750663232,-0.266772952745184,-0.258093927806812,-0.0338689807927801,-0.114686924753109,0.193535515533205
NBC,-0.00108719403682223,-0.00367115660151058,-0.00685541661970244,-0.00567050493189291,-0.00564473537169093,-0.00751132858683242,-0.00840297534049711,-0.0167203568585965,-0.0404842159574241,-0.0238966030023095,-0.0435058568878149,-0.0330126431503609,-0.0323155415527742,-0.0412185379078805,-0.0310837115620797,-0.285567746906235,-0.0578365484146377,0.0473242507403979
Spread,0.935608106118253,1.01241073300193,0.907549843800007,0.874494474798531,0.99589630803718,0.695742219391369,0.460499997330739,1.08106094632007,1.0324685985209,0.537208969299046,0.873112581049842,0.854763774105931,0.877130922996234,0.669297105601526,0.515062991839562,0.672213395301433,0.492672694455414,0.378810755066555
ROCE,0.368172419958317,0.173996876251407,0.386208002590877,0.239673316287642,0.26285987431509,0.253515764130297,0.145353718442409,0.244710335641085,0.361265799419318,0.169381852717071,0.379730033702639,0.400235381335874,0.456964594166991,0.420830801668437,0.319130701771954,0.341350193256634,0.367032145500013,0.487217666782286
Reported ROE (memo),0.368294655948228,0.406280454791554,0.405549813429568,0.255835329927821,0.276943149574382,0.24585672280139,0.152254535918984,0.233315277025432,0.352087189546095,0.200331245919872,0.383465259454705,0.374298417635921,0.431522382173141,0.436754692509998,0.350887146438564,0.328281379782998,0.296472273414095,0.30233483352811
CLEAN-SURPLUS (nominal check),,,,,,,,,,,,,,,,,,
Net distribution D = −(div+repurch),13821,15847,16735,11414,12815,16195,24325,26975,23633,23420,33354,38105,43906,50831,42045,39025,42502,48716
Reported CI (nom) = NI+OCI,15538,10131,25013,18400,23606,25782,14715,18335,25920,14384,38900,47467,63093,68060,66018,82546,98485,130465
ΔCSE (nom),,6617,10908,9280,12581,10840,-9701,-8086,397,10324,19612,15974,23684,24554,39681,62254,75002,98908
Clean-surplus residual (dirty),,12333,2630,2294,1790,1253,-91,554,-1890,19360,14066,6612,4497,7325,15708,18733,19019,17159
ACTIVE (cfg_restatement-selected),,,,,,,,,,,,,,,,,,
Active NOA,23492.9746261789,25978.0722099014,34998.4966062035,25784.7470584543,29169.256525216,41529.9670723514,31773.6115922743,23904.59367486,39810.426027336,47456.1208756329,69375.6356980045,77425.230520052,91793.7017029331,136868.786328244,162178.035705633,256109.027732232,272938.883391612,324285.613795854
Active NFO,-40131.2826831735,-47410.8001018087,-52871.4230257981,-74581.4124410917,-88359.3320054774,-89273.2701067856,-86579.9574798432,-83154.1580828893,-63966.2198147846,-69344.9050803044,-72689.4852047861,-84850.6248459301,-77370.0400671661,-49797.5223420068,-56418.4171124574,-8978.23542425778,-35357.5724305234,52583.9261833313
Active CSE,63624.2573093524,73388.8723117101,87869.9196320016,100366.159499546,117528.588530693,130803.237179137,118353.569072117,107058.751757749,103776.645842121,116801.025955937,142065.120902791,162275.855365982,169163.741770099,186666.308670251,218596.45281809,265087.263156489,308296.455822135,271701.687612523
Active OI-after-tax,21954.6760751626,26205.1095567154,31522.9508528963,22402.4063013334,28884.9021475783,28582.2062332874,14364.7551787418,25442.6293227375,39491.3208823158,24359.8137019351,57554.4938680797,63624.2707443485,77548.7311182706,85964.3512790113,78490.8089976281,99023.4410873925,118683.692158681,138189.451918008
Active NI,21911.0455839395,26031.0570849387,31160.4952207779,21979.4920342587,28386.137100788,27911.6453674943,13637.2259310574,24052.2621253155,36901.698625354,22702.7060349982,54392.0755275113,60823.1273452246,75048.4763735403,83911.7702166387,76737.1151933153,96459.5466260935,116638.732208979,135700.957010393
Active RNOA,0.934520912081431,1.00873957640042,0.900694427180304,0.868823969866638,0.990251572665489,0.688230890804536,0.452097021990242,1.06434058946148,0.991984382563476,0.513312366296736,0.829606724162027,0.821751130955571,0.84481538144346,0.628078567693646,0.483979280277482,0.386645648395198,0.434836146040776,0.426135005806953
REAL IS LINES (real 2026$; forecast build-up base),,,,,,,,,,,,,,,,,,
Real revenue,91283.0082969371,96029.5774113072,104203.841881577,107608.530401491,111990.583785849,122920.61815271,132314.603340689,127278.795793456,132029.87611374,147284.521259861,164958.845988962,185183.843982675,207883.362822453,227041.524012916,233072.28224626,261870.897627905,293257.47741681,335789.411025251
Real COGS,18987.028181619,19049.4624545988,23207.2293866337,25587.3680932429,29325.078684049,38331.5617143147,46713.0782770856,45770.8814326249,46840.9313927872,51185.2414269614,56247.7379066484,59664.3790024381,64598.0903273425,71741.3198134322,72438.6651515251,79178.1223504809,91426.7066312981,107640.340069733
Real gross profit,72295.9801153181,76980.1149567084,80996.6124949431,82021.1623082485,82665.5051017999,84589.0564383955,85601.525063603,81507.9143608311,85188.944720953,96099.2798328999,108711.108082313,125519.464980237,143285.27249511,155300.204199484,160633.617094735,182692.775277424,201830.770785512,228149.070955518
Real SG&A,6295.1644238523,6244.2893064167,6290.10223216072,6669.06359486746,7211.50941590079,6620.75168542174,6519.58362902239,6371.34020674397,6126.33062581593,6344.60505680845,6403.40712360702,6618.00948568647,6316.09831715688,6756.16579248603,8331.27687051611,8128.91401037333,7518.70184784263,8050.71300876901
BUYBACK / REPURCHASE-PREMIUM ROE ADJUSTMENT  (JK-original · premium-only),,,,,,,,,,,,,,,,,,
Additive capital-efficiency view only; never enters AEG value (Penman Ch.5/6). RNOA untouched. Reserve raises the economic-CSE base so ROE falls; cfg_buyback {On|Off}. VP6 proves value-invariance.,,,,,,,,,,,,,,,,,,
cfg_buyback active (1=On),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Year-end price (contemp.),30.48,27.91,25.959999,26.709999,37.41,46.450001,55.48,62.139999,85.540001,101.57,157.699997,222.419998,336.320007,239.820007,376.040009,421.5,483.619995,0
Market cap = adj. price x shares  [split-consistent],274198.08,249152.57,223074.271407,227195.251494,316862.7,390133.558399,457931.92,497927.811987,669949.287832,791636.58,1222648.076741,1708852.844634,2558722.613256,1808242.85278,2809770.947248,3148183.5,3610223.262675,0
Book/market = repCSE/mktcap,0.144267968615973,0.185328210742518,0.255892352085068,0.292096773870085,0.249142609717079,0.230136572635404,0.174879707009723,0.144593248793823,0.108058925227418,0.1044898657917,0.0836953837712347,0.0692300687981932,0.0554917517297113,0.0921015668575477,0.0733949506460599,0.0852799717678465,0.0951406533637753,
Premium fraction = 1−book/mkt,0.855732031384027,0.814671789257482,0.744107647914932,0.707903226129915,0.750857390282921,0.769863427364596,0.825120292990277,0.855406751206178,0.891941074772582,0.895510134208301,0.916304616228765,0.930769931201807,0.944508248270289,0.907898433142452,0.92660504935394,0.914720028232154,0.904859346636225,0
Buyback $ (nominal),9353,11269,11555,5029,5360,7316,14443,15969,11788,10721,19543,22968,27385,32696,22245,17254,18420,22271
