year,real_revenue,real_gross_profit,real_sga,real_gross_ppe_series,real_net_ppe_series
2008,37122.9548589662,28432.9147341189,11482.4334588928,23834.2379661337,9754.61638639917
2009,42844.6078951416,28756.2486051357,13345.1237483511,22287.5955772591,9190.53239571624
2010,70675.8878499101,42403.6884699343,20355.7991295814,20838.6677422421,9105.66850383339
2011,71582.3168992482,46447.2352415544,20459.9654083996,19411.7616614322,9209.4670307058
2012,68992.4773339025,44987.3515117991,18648.2723764558,18672.0462297671,9679.73390088594
2013,63344.183943818,38954.8101881463,17134.707491082,18015.0184183442,9701.50181056225
2014,59790.6112758516,36053.8645875574,16429.4299895242,18516.4351509848,10662.5463884177
2015,55846.9993882295,34731.5229371733,14581.7536252674,18260.1162134583,10313.6701634633
2016,55582.7174249084,35992.5567629277,356.057802480761,18972.7579798645,10357.9226077412
2017,54853.969508812,37200.9498612924,333.591759138381,19978.8862926169,10638.4499412045
2018,56444.8309366127,38415.9563652148,10679.3289155619,21506.5759183873,11680.1647073876
2019,51281.0010404566,35530.0614299628,11423.8880413992,23798.7041930921,13542.081289854
2020,53759.835223387,36126.4849639312,8764.88088605199,27172.4697219111,16559.4390450327
2021,60234.825227885,43382.8268590619,9155.68354061335,30182.1834155677,18884.4957562889
2022,67885.7248603304,47948.1650954195,8552.84784814884,32593.3215621877,20552.1134014439
2023,66116.7932767097,48380.7971296545,8341.17541729296,34794.5670253669,21228.7617419965
2024,68552.523881934,52321.4040817498,8226.13193322048,35545.798417548,21174.5262180358
2025,67584.000577742,48644.1168560894,11044.3619833325,38219.4602774715,21648.9047000123
