line_item,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ECONOMIC RESTATEMENT (real 2026$),,,,,,,,,,,,,,,,,,
Real net PP&E (BEA),12786.6952905842,13887.937768725,15238.2898437342,17320.2169947127,19044.9207774743,20367.6459172511,21387.1005431755,22487.3915052542,23166.9934697676,23055.9539544826,22736.2540745873,22939.1638601276,22037.0581038522,21320.1946531807,20609.0049173699,20203.346766634,19966.5110574321,19733.7076275376
Non-PP&E op net (nom),16479,18431,28670,31515,34751,35284,35998,37505,36093,37784,37559,43240,44008,46547,44957,48007,46051,57683
Real non-PP&E op net,25649.860508214,28790.6142670029,44061.967613824,46952.290821067,50723.7095612255,50758.2083045369,50958.6955680589,53029.0574726707,50396.8402546592,51657.5042101828,50125.582946712,56680.3119805051,56984.0268922109,57567.1486917371,51480.8382258974,52799.9483462531,49197.610604771,60044.47995142
Real NOA,38436.5557987982,42678.5520357279,59300.2574575582,64272.5078157798,69768.6303386998,71125.8542217879,72345.7961112344,75516.448977925,73563.8337244268,74713.4581646654,72861.8370212993,79619.4758406328,79021.0849960632,78887.3433449178,72089.8431432673,73003.2951128871,69164.1216622031,79778.1875789576
Real NFO,6744.39259555139,4987.7071973599,19047.9255879224,22077.9310702013,23991.9891242803,24567.7553969187,28752.2102806502,34672.1383107541,33044.9566804302,39531.9906372389,40272.3605793546,46006.2190004576,45949.2632770632,41391.6542938333,35146.9485879278,34427.1456898872,34912.9859191747,36565.0615823298
Real CSE,31692.1632032468,37690.844838368,40252.3318696358,42194.5767455785,45776.6412144195,46558.0988248692,43593.5858305842,40844.3106671709,40518.8770439967,35181.4675274265,32589.4764419447,33613.2568401751,33071.821719,37495.6890510845,36942.8945553395,38576.1494229999,34251.1357430284,43213.1259966278
tie: Real NOA−NFO−CSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
