# AEG by period,cfg_N=10,convergence_K=3,actual_eps_N=28.22894523465,normalized_eps_N=28.261233200585487,engine_intrinsic_ps=346.498638240437,corrected_intrinsic_ps=346.498638240437,guard=REVIEW
# CAVEAT,the convergence increment is computed on the EQUITY (EPS) leg only and therefore sits OUTSIDE the four-method tie; the tie covers the explicit period
period,years,n_years,eps_entry,eps_exit,eps_growth_annualized,aeg_sum_nominal_ps,aeg_first_ps,aeg_last_ps,pv_contribution_ps,pct_of_corrected_value
explicit,1..10,10,15.70323049,28.22894523,0.06040206,6.92096682,0.46901417,0.77075627,118.55876558,0.34216228
convergence,none,0,28.22894523,28.22894523,,0.0,,,0.0,0.0
combined,1..10,10,15.70323049,28.22894523,0.06040206,6.92096682,0.46901417,0.77075627,118.55876558,0.34216228
