ticker,tier,s1_pp,b_pp,n_bonds,longest_yrs,in_universe,widen_1,widen_2,widen_3,widen_4,widen_5,widen_6,widen_7,widen_8,widen_9,widen_10,widen_11,widen_12,widen_13,widen_14,widen_15,widen_16,widen_17,widen_18,widen_19,widen_20,widen_21,widen_22,widen_23,widen_24,widen_25,widen_26,widen_27,widen_28,widen_29,widen_30
A,2,-0.28815047820246,0.2087912270385138,2,4.5749,1,0.0,0.14472305034739724,0.22938060779060457,0.2894461006947945,0.3360365165794199,0.3741036581380018,0.40628896772795614,0.4341691510421917,0.45876121558120914,0.48075956692681726,0.5006594963174236,0.518826708485399,0.5355389236360418,0.5510120180753534,0.5654171243700244,0.578892201389589,0.5915500905673884,0.6034842659286064,0.61477302740019,0.6254826172742144,0.6356695755185607,0.6453825466648209,0.6546636847160099,0.6635497588327963,0.6720730331588398,0.6802619739834391,0.6881418233718136,0.6957350684227507,0.7030618281445467,0.7101401747174217
AAPL,1,-0.0005770737201535869,0.20718826678611652,34,35.9699,1,0.0,0.1436119629678984,0.22761957595907437,0.2872239259357968,0.3334566515770868,0.37123153892697275,0.403169751104284,0.43083588890369523,0.45523915191814873,0.4770686145449853,0.4968157655057165,0.5148435018948713,0.531427411766619,0.5467817140721823,0.5610762275361612,0.5744478518715936,0.5870085621903046,0.5988511148860471,0.610053208750977,0.6206805775128836,0.6307893270633583,0.640427728473615,0.6496376121162539,0.6584554648627696,0.6669133031541736,0.6750393747345175,0.6828587278772231,0.6903936770400808,0.6976641867710153,0.7046881905040596
ABBV,1,0.18956567545659042,0.20863111600004894,13,23.258,1,0.0,0.14461206983250882,0.22920470783619565,0.28922413966501764,0.3357788278039154,0.37381677766870447,0.40597740603323157,0.43383620949752644,0.4584094156723913,0.4803908976364243,0.5002755668151658,0.5184288475012133,0.5351282469308088,0.5505894758657404,0.5649835356401111,0.5784482793300353,0.591096461836679,0.6030214855049001,0.6143015902175393,0.625002967468933,0.6351821138694272,0.6448876366476747,0.654161657480997,0.6630409173337222,0.6715576556078308,0.6797403167633177,0.687614123508587,0.6952015456982492,0.7025226869123892,0.7095956054726199
ABNB,4,0.3673952833074256,0.2087912270385138,0,0.0,1,0.0,0.14472305034739724,0.22938060779060457,0.2894461006947945,0.3360365165794199,0.3741036581380018,0.40628896772795614,0.4341691510421917,0.45876121558120914,0.48075956692681726,0.5006594963174236,0.518826708485399,0.5355389236360418,0.5510120180753534,0.5654171243700244,0.578892201389589,0.5915500905673884,0.6034842659286064,0.61477302740019,0.6254826172742144,0.6356695755185607,0.6453825466648209,0.6546636847160099,0.6635497588327963,0.6720730331588398,0.6802619739834391,0.6881418233718136,0.6957350684227507,0.7030618281445467,0.7101401747174217
ABT,2,0.29627578858991316,0.2087912270385138,6,20.2957,1,0.0,0.14472305034739724,0.22938060779060457,0.2894461006947945,0.3360365165794199,0.3741036581380018,0.40628896772795614,0.4341691510421917,0.45876121558120914,0.48075956692681726,0.5006594963174236,0.518826708485399,0.5355389236360418,0.5510120180753534,0.5654171243700244,0.578892201389589,0.5915500905673884,0.6034842659286064,0.61477302740019,0.6254826172742144,0.6356695755185607,0.6453825466648209,0.6546636847160099,0.6635497588327963,0.6720730331588398,0.6802619739834391,0.6881418233718136,0.6957350684227507,0.7030618281445467,0.7101401747174217
ACGL,2,0.7516506590221936,0.2087912270385138,2,23.8631,1,0.0,0.14472305034739724,0.22938060779060457,0.2894461006947945,0.3360365165794199,0.3741036581380018,0.40628896772795614,0.4341691510421917,0.45876121558120914,0.48075956692681726,0.5006594963174236,0.518826708485399,0.5355389236360418,0.5510120180753534,0.5654171243700244,0.578892201389589,0.5915500905673884,0.6034842659286064,0.61477302740019,0.6254826172742144,0.6356695755185607,0.6453825466648209,0.6546636847160099,0.6635497588327963,0.6720730331588398,0.6802619739834391,0.6881418233718136,0.6957350684227507,0.7030618281445467,0.7101401747174217
ACN,4,0.4296724363906462,0.2087912270385138,0,0.0,1,0.0,0.14472305034739724,0.22938060779060457,0.2894461006947945,0.3360365165794199,0.3741036581380018,0.40628896772795614,0.4341691510421917,0.45876121558120914,0.48075956692681726,0.5006594963174236,0.518826708485399,0.5355389236360418,0.5510120180753534,0.5654171243700244,0.578892201389589,0.5915500905673884,0.6034842659286064,0.61477302740019,0.6254826172742144,0.6356695755185607,0.6453825466648209,0.6546636847160099,0.6635497588327963,0.6720730331588398,0.6802619739834391,0.6881418233718136,0.6957350684227507,0.7030618281445467,0.7101401747174217
ADBE,3,0.26392386187417655,0.2087912270385138,1,3.4552,1,0.0,0.14472305034739724,0.22938060779060457,0.2894461006947945,0.3360365165794199,0.3741036581380018,0.40628896772795614,0.4341691510421917,0.45876121558120914,0.48075956692681726,0.5006594963174236,0.518826708485399,0.5355389236360418,0.5510120180753534,0.5654171243700244,0.578892201389589,0.5915500905673884,0.6034842659286064,0.61477302740019,0.6254826172742144,0.6356695755185607,0.6453825466648209,0.6546636847160099,0.6635497588327963,0.6720730331588398,0.6802619739834391,0.6881418233718136,0.6957350684227507,0.7030618281445467,0.7101401747174217
ADI,1,0.10312347275442757,0.25819090650981186,5,25.1198,1,0.0,0.17896429889349252,0.2836517027140384,0.35792859778698505,0.41554223358261955,0.46261600160753086,0.5024163053712344,0.5368928966804775,0.5673034054280768,0.5945065324761122,0.6191147541994039,0.6415803005010234,0.6622465997547536,0.6813806042647269,0.6991939362966579,0.7158571955739701,0.7315099216375699,0.7462677043215692,0.7602273691938083,0.7734708313696046,0.7860680080852728,0.7980790530928965,0.8095560939670189,0.820544599394516,0.8310844671652391,0.8412108986482462,0.8509551081421151,0.8603449031582194,0.8694051628309171,0.8781582351901505
ADM,1,0.18073340362072055,0.19344970750801155,6,25.0732,1,0.0,0.1340891193393243,0.212526225907553,0.2681782386786486,0.3113452934126814,0.34661534524687726,0.3764357491716215,0.4022673580179728,0.425052451815106,0.44543441275200574,0.4638721391576884,0.48070446458620153,0.4961887029737964,0.5105248685109458,0.5238715193202343,0.5363564773572972,0.5480842927154703,0.5591415711544302,0.569600859294936,0.57952353209133,0.5889619750791745,0.5979612584970126,0.606560438964556,0.6147935839255259,0.6226905868253628,0.6302778223131208,0.637578677722659,0.64461398785027,0.6514023934038304,0.6579606386595587
