year,classic_net_profit_margin,classic_asset_turnover,classic_equity_multiplier,classic_roe_3step,classic_tax_burden,classic_interest_burden,classic_ebit_margin,classic_leverage,classic_roe_5step,reform_rnoa,reform_flev,reform_nbc,reform_spread,reform_roce,reform_reported_roe,data_as_of
1986,0.055368499812944255,2.24244966442953,1.505050505050505,0.18686868686868685,0.505982905982906,0.8533916849015317,0.1282267115600449,1.505050505050505,0.18686868686868685,,,,,,,2026-08-06T08:04Z
1987,0.04091634374287668,1.7143415396639312,1.5142011834319526,0.10621301775147927,0.48710990502035273,0.9697368421052632,0.0866195577843629,1.5142011834319526,0.10621301775147927,,,,,,,2026-08-06T08:04Z
1988,0.08451055343194283,1.697080806656325,1.7219524040796503,0.24696454589606603,0.6119133574007221,1.0834419817470664,0.12747216220707994,1.7219524040796503,0.24696454589606603,,,,,,,2026-08-06T08:04Z
1989,0.09761515080664017,2.0726920281075842,1.4684219889699341,0.29710016011385876,0.6171470805617146,0.9626467449306296,0.164309095160159,1.4684219889699341,0.29710016011385876,,,,,,,2026-08-06T08:04Z
1990,0.10871510379384396,2.0420244838297097,1.3952836201402166,0.30975143403441685,0.617691916624301,0.9919314170448814,0.1774337866857552,1.3952836201402166,0.30975143403441685,,,,,,,2026-08-06T08:04Z
1991,0.0955520042615528,1.7581362678529617,1.653663730519795,0.2778046655696448,0.6216157678145983,0.9443649007977092,0.1627713410573978,1.653663730519795,0.27780466556964484,,,,,,,2026-08-06T08:04Z
1992,0.09667567250088101,1.818142986811896,1.406081081081081,0.24714714714714714,0.6308930624760445,0.9408582762351243,0.1628685539762716,1.406081081081081,0.24714714714714714,,,,,,,2026-08-06T08:04Z
1993,0.09285169168150598,1.7970285714285714,1.3287371681953473,0.22170928749316648,0.6139613120269134,0.9562489946919736,0.1581531416942254,1.3287371681953473,0.22170928749316648,,,,,,,2026-08-06T08:04Z
1994,0.07884529118399874,1.5964697952649758,1.363312657937055,0.17160578911095797,0.6090501426824296,0.954103461688059,0.13568356334274484,1.363312657937055,0.17160578911095795,,,,,,,2026-08-06T08:04Z
1995,0.08395647790287346,1.5148757437871896,1.5993384223918574,0.2034096692111959,0.6150176950300046,0.9477905789703951,0.14403041505629308,1.5993384223918574,0.2034096692111959,,,,,,,2026-08-06T08:04Z
1996,0.08549439001019998,1.637463306002632,1.6252364892654436,0.22752323764086535,0.615281948615282,0.9218701937865272,0.1507279077674404,1.6252364892654436,0.22752323764086532,,,,,,,2026-08-06T08:04Z
1997,0.08662711587655798,1.713515630828919,1.6986787490890656,0.2521466366718418,0.6144224830142062,0.9386867661979997,0.15019866107875687,1.6986787490890656,0.2521466366718418,,,,,,,2026-08-06T08:04Z
1998,0.041829353822319455,1.7699447882313708,1.6546797878537047,0.12250528832888806,0.6119448698315467,0.7559620282472795,0.09042091048978865,1.6546797878537047,0.12250528832888807,,,,,,,2026-08-06T08:04Z
1999,0.05143045950164637,1.6725232006402806,1.5735704219017062,0.13535638250022491,0.6050127328776302,0.8707983193277312,0.0976198885711356,1.5735704219017062,0.13535638250022491,,,,,,,2026-08-06T08:04Z
2000,0.0643761603539705,1.5358124605166557,1.8674552817013677,0.18463476070528964,0.6299717145343777,0.9332927200731039,0.10949294615957576,1.8674552817013677,0.18463476070528964,,,,,,,2026-08-06T08:04Z
2001,0.06214379057415058,1.6304900680459136,1.6653598511947347,0.16874230934325368,0.6399717820707619,0.9084993098008282,0.10688390523564625,1.6653598511947347,0.16874230934325368,,,,,,,2026-08-06T08:04Z
2002,0.06754978267461842,1.5354648455688344,1.6783016410523575,0.1740739775983329,0.6569055342573479,0.9665558194774346,0.10638835540281007,1.6783016410523575,0.1740739775983329,,,,,,,2026-08-06T08:04Z
2003,0.06918481817331963,1.5932617405680753,1.6823865487257874,0.1854486681534568,0.6590115761353518,0.913528024078744,0.11492007104795737,1.6823865487257874,0.1854486681534568,,,,,,,2026-08-06T08:04Z
2004,0.07717002228007606,1.552676263368645,1.6503753895058244,0.1977480812263421,0.6521186206896552,0.9356649674130476,0.12647411675412754,1.6503753895058244,0.1977480812263421,,,,,,,2026-08-06T08:04Z
2005,0.08818023683195411,1.562465884279476,1.5579887317954715,0.21465752453846426,0.6514517690074202,0.982098537255109,0.13782688122739215,1.5579887317954715,0.21465752453846426,,,,,,,2026-08-06T08:04Z
2006,0.09307785408127102,1.5152488449379913,1.5702921148093936,0.22146789282759496,0.6499673141576392,1.0153612744168405,0.14103738573979097,1.5702921148093936,0.221467892827595,,,,,,,2026-08-06T08:04Z
2007,0.0913560661280542,1.5274552548113358,1.5213795655763374,0.21229680872263504,0.6779717259875448,1.0319448353504082,0.13057779356727656,1.5213795655763374,0.21229680872263504,,,,,,,2026-08-06T08:04Z
2008,0.10110967949750362,1.4970223504544833,1.5900604449669662,0.24067703474627167,0.7524751288505334,1.0284340715782554,0.13065442637032265,1.5900604449669662,0.24067703474627167,,,,,,,2026-08-06T08:04Z
2009,0.07752733871850899,1.4472965221591594,1.5242039388919568,0.17102337566721887,0.75986302070023,0.7970099397099559,0.12801351682563192,1.5242039388919568,0.17102337566721887,0.299575222515722,-0.286558101476536,-0.0115577205448354,0.311132943060557,0.250262468998802,0.171023375667219,2026-08-06T08:04Z
2010,0.10027874197959398,1.3186493102993904,1.478341552436511,0.19548479038723762,0.757528804131903,1.0173807599029911,0.1301146523614179,1.478341552436511,0.19548479038723762,0.339646177752261,-0.438787829029054,-0.00728683656485365,0.346933014317114,0.208112187449808,0.195484790387238,2026-08-06T08:04Z
2011,0.10602972610230153,1.341312174956661,1.5237224423448135,0.21670222493142335,0.7452830188679245,1.0073917634635692,0.14122384053288264,1.5237224423448135,0.21670222493142335,0.336189432389705,-0.370459170117583,-0.00783390967741936,0.344023342067125,0.217825055402227,0.216702224931423,2026-08-06T08:04Z
2012,0.09528095666709528,1.5086323957322987,1.4897408727482901,0.21414121953569018,0.7382929259382265,0.9811013359400457,0.13154172560113153,1.4897408727482901,0.21414121953569018,0.306670604753803,-0.303751002031671,-0.00822498368920522,0.314895588443008,0.224442729111069,0.21414121953569,2026-08-06T08:04Z
2013,0.09817090032789476,1.4395473157415832,1.5761921835783435,0.22275008963786305,0.7632063882063882,1.0055589870290302,0.12791846086990874,1.5761921835783435,0.22275008963786305,0.347429559762657,-0.38237909570501,-0.000986800087393489,0.34841635985005,0.237093375859448,0.222750089637863,2026-08-06T08:04Z
2014,0.09687398827295945,1.495052167365817,1.7178492239467849,0.2487989652623799,0.7598758465011287,0.9630434782608696,0.13237886254901254,1.7178492239467849,0.2487989652623799,0.376663757149543,-0.321835168030843,-0.00866932024409658,0.385333077393639,0.259908177257934,0.24879896526238,2026-08-06T08:04Z
2015,0.1069572889774844,1.416712962962963,1.6998504761155269,0.25757456520028327,0.778359096313912,1.007185628742515,0.13643344988725858,1.6998504761155269,0.25757456520028327,0.374674945699128,-0.336467175775018,-0.00650857654373928,0.381183522242867,0.336307303078918,0.257574565200283,2026-08-06T08:04Z
2016,0.11613540894489746,1.5131800336511498,1.7454723445912874,0.30673845651819226,0.8133246809431105,1.0268769435806309,0.13905361996540647,1.7454723445912874,0.3067384565181922,0.379901186388989,-0.251232057573948,-0.00454237948265726,0.384443565871647,0.306800410891449,0.306738456518192,2026-08-06T08:04Z
2017,0.12343522561863174,1.476847671868954,1.8746675263963892,0.3417425646812284,0.8677855096193205,1.028848178563908,0.1382532751091703,1.8746675263963892,0.3417425646812283,0.377975374068275,-0.171585325512424,-0.0215394926377787,0.399514866706053,0.29404893898972,0.341742564681228,2026-08-06T08:04Z
2018,0.05310877270104679,1.6150603478878238,2.2967794537301263,0.19700366897676314,0.4469364161849711,0.9730033745781778,0.122125449899717,2.2967794537301263,0.19700366897676314,0.209017242125958,-0.126289851093345,-0.0168184975609756,0.225835739686933,0.172399848620986,0.197003668976763,2026-08-06T08:04Z
2019,0.10299869621903521,1.6493232702281064,2.623561946902655,0.44568584070796463,0.8392001666319516,1.0060771165129925,0.1219929953728558,2.623561946902655,0.44568584070796463,0.426363353357085,-0.108645601216197,-0.0878891891891892,0.514252542546275,0.391688980310847,0.445685840707965,2026-08-06T08:04Z
2020,0.06788225543405609,1.1933826813859996,3.8909993792675355,0.3152079453755431,0.8794596466920679,0.9268057784911717,0.08328208967195144,3.8909993792675355,0.3152079453755431,0.220168837300504,0.410758999159974,0.0299532261116367,0.190215611188867,0.29286109483188,0.315207945375543,2026-08-06T08:04Z
2021,0.12858682473393507,1.180127186009539,2.956058588548602,0.4485783661001019,0.859780813691638,0.9602133487098169,0.15575463649018814,2.956058588548602,0.44857836610010177,0.518745583782852,-0.234471121669802,-0.0691365356149137,0.587882119397766,0.356113155915243,0.448578366100102,2026-08-06T08:04Z
2022,0.12943695140226932,1.158453411373726,2.638636214907401,0.39565473463778544,0.9090362351526087,0.9964044943820225,0.14290301862556198,2.638636214907401,0.39565473463778544,0.338911606102139,-0.0199189627746186,-0.717401383783784,1.05631298988592,0.334990487957522,0.395654734637786,2026-08-06T08:04Z
2023,0.09899056953745826,1.3646585489328822,2.6800199942873464,0.3620394173093402,0.8176100628930818,1.0483516483516484,0.11548899779370131,2.6800199942873464,0.36203941730934025,0.303836542660074,0.100669857836394,0.157510980258679,0.146325562401395,0.334397434237247,0.36203941730934,2026-08-06T08:04Z
2024,0.11097698687745804,1.347730254526371,2.641025641025641,0.395010395010395,0.8507462686567164,1.0616384091269213,0.12287294108484872,2.641025641025641,0.39501039501039503,0.337378400492199,0.0238147002463587,0.600120827027027,-0.262742426534828,0.334532563262425,0.395010395010395,2026-08-06T08:04Z
2025,0.06951132609212032,1.2659996172667378,2.7684098993415573,0.24362370392794974,0.8285714285714286,1.0494327390599676,0.07994126411712627,2.7684098993415573,0.2436237039279498,0.186248815367764,0.130558129147705,0.128257642742367,0.0579911726253964,0.175778257554334,0.24362370392795,2026-08-06T08:04Z
2026,0.06698564593301436,1.2079666753449623,2.5839219643457785,0.20908173562058524,0.796923076923077,1.0263157894736843,0.0819000819000819,2.5839219643457785,0.20908173562058524,0.172220969770344,0.131824655545282,0.0198634845463609,0.152357485223983,0.18303960208588,0.209081735620585,2026-08-06T08:04Z
