year,real_revenue,real_gross_profit,real_sga,real_gross_ppe_series,real_net_ppe_series
2008,36613.0395544883,13447.0705080747,3666.37820420524,46909.3296038199,32114.8443372501
2009,35528.9395213879,13733.4557274503,3489.98917016645,49248.9637115285,32814.8653864539
2010,36999.4504888652,14811.2452209524,3585.97101616099,51855.8660332618,33700.3778545861
2011,40234.6046617083,15921.3184543365,3566.22873356777,55152.0892011492,35184.0925976828
2012,40237.7054321977,15787.8294071274,3583.69116614546,58782.9533996764,36887.2360971135
2013,40431.7814064398,15684.205806651,3431.83260773447,62143.1362897589,38192.789368193
2014,38845.8484552413,14801.0676496181,3521.86617878143,65187.4367819271,39065.0123947982
2015,35931.9407426472,13841.1424986393,3441.90466886342,67321.2028489957,38920.2941283496
2016,34379.6847329453,14248.8747332369,3329.48952947206,69484.2401200764,38730.2659380883
2017,31199.5794272193,14520.5383420366,3050.58726297324,71672.3476000765,38489.7037179807
2018,28370.4206640994,14456.9980518265,2936.34834791543,72853.9698139996,39234.9169311282
2019,28005.1077075926,14654.2987917405,2922.36557653418,73622.1232512178,39502.3243398074
2020,24871.3368419426,12627.5660937905,2906.95192630916,74098.0547608976,38847.8103770776
2021,28720.9946366756,15558.6019286268,2940.75163080784,74976.3963257136,38612.2730714906
2022,26546.0060002392,15123.5053595531,2853.85023525995,75364.5156542197,38064.9347834018
2023,28040.3833417569,16018.0483620062,2666.66850168361,75904.3699414761,37924.067371786
2024,27691.0830791006,15715.1169789186,2480.6595258361,76210.135919617,38171.0841375901
2025,27985.6429709607,16066.8922914926,2688.74524061713,76497.4580548696,38973.0968582091
