t,df_cumulative,normal_eps,aeg_eps,contrib_eps,cum_contrib_eps,normal_nfe,aeg_nfe,contrib_nfe,normal_oi,aeg_oi,contrib_oi
1,0.994300347098904,158.988928020401,-1.30704030167689,-23.4915854234803,-23.49158542,0,19.1797715846798,436.644528161489,151.946057707281,24.9156015961222,564.65486005586
2,0.98188692136023,163.772340352793,0.919463391953912,15.6982152881578,-7.79337014,19.1797715846798,0.352464771012905,7.81715490293931,178.12751940318,6.09652069725959,137.376148497281
3,0.960597367656642,171.700811336432,0.238716161091901,3.84196346449805,-3.95140667,19.5322363556927,1.28113543971759,27.6675435910679,186.54181297823,6.2110863147046,138.210402780885
4,0.931598209002248,179.883901046975,0.478098696038785,7.21134057051803,3.2599339,20.8133717954103,1.38261170058887,29.0249125635225,196.151547453495,6.40643578551772,139.46639085561
5,0.901878532652478,189.339823326736,-188.683735861464,0,3.2599339,22.1959834959991,1.27076938263657,0,206.332095318076,-182.209254974168,0
6,0.871345130814661,0.686303176658729,-0.0490621569059407,0,3.2599339,23.4667528786357,1.56733942945873,0,24.1374392545558,1.53389407329146,0
7,0.83978578331449,0.667024915448692,0.00947023529461666,0,3.2599339,25.0340923080944,1.83647161751511,0,25.6865400967655,1.8605189795874,0
8,0.807204233455813,0.708074709707258,-0.000835036868451433,0,3.2599339,26.8705639256096,2.02848158658266,0,27.5643981831448,2.04188700188626,0
9,0.774059066501903,0.740383963408944,0.00277505127816535,0,3.2599339,28.8990455121922,1.78630274026648,0,29.6255155022767,1.80299176486908,0
10,0.740889085407841,0.778010591981266,0.000511092575465333,0,3.2599339,30.6853482524587,1.41832690626858,0,31.4496347375795,1.43256210570453,0
11,0.707981401730578,0.813746695743976,-0.027399737182359,0,3.2599339,32.1036751587273,1.27399949614048,0,32.9051752495608,1.25884636386859,0
12,0.675602902390558,0.821481785377129,-0.00981847391130297,0,3.2599339,33.3776746548678,1.06140877921631,0,34.1879521891223,1.06279455642756,0
13,0.643974168870582,0.847368246240834,-0.0125568575363989,0,3.2599339,34.4390834340841,0.878300452542597,0,35.2760608749518,0.876134400379264,0
14,0.613289693454661,0.870861132709882,-0.0153096928930019,0,3.2599339,35.3173838866267,0.682389723086686,0,36.1787178161914,0.676607233338821,0
15,0.583749760202977,0.891715395309252,-0.0180952320537431,0,3.2599339,35.9997736097133,0.431178146810716,0,36.8828168160102,0.421755103769378,0
16,0.555502416963098,0.909490411744189,-0.0250171185041825,0,3.2599339,36.4309517565241,0.200083080105223,0,37.3327809417219,0.182727188147439,0
17,0.528629580187553,0.919920816369437,-0.0211486091885202,0,3.2599339,36.6310348366293,0.00380443637578054,0,37.544059075855,-0.0104475956690422,0
18,0.503169609848593,0.933875663814258,-0.0228839320190356,0,3.2599339,36.6348392730051,-0.156724238120546,0,37.5624894627552,-0.173382696075436,0
19,0.479119648746009,0.945618619238848,-0.0244213754744171,0,3.2599339,36.4781150348845,-0.278372050855211,0,37.4181442221777,-0.297203994383992,0
20,0.456446629878586,0.955235314803338,-0.025696562879208,0,3.2599339,36.1997429840293,-0.36568433643594,0,37.1499968883363,-0.386399488818832,0
21,0.435149268075794,0.962600834301512,-0.0347554040562889,0,3.2599339,35.8340586475934,-0.509078924547666,0,36.7924861512557,-0.539660997964766,0
22,0.415133374321692,0.96069168148174,-0.0043747597872309,0,3.2599339,35.3249797230457,-0.539100874116571,0,36.2812328940436,-0.539037123420002,0
23,0.396316033154121,0.990032589722102,-0.00391208615308758,0,3.2599339,34.7858788489291,-0.546301999356324,0,35.7710289266766,-0.545331573534732,0
24,0.378610856284441,1.02076605631297,-0.00342817419288521,0,3.2599339,34.2395768495728,-0.53454033045422,0,35.254980039842,-0.532605638603343,0
25,0.361928962599739,1.05297491962891,-0.00299662933014999,0,3.2599339,33.7050365191186,-0.502351452723055,0,34.752150030801,-0.49948667410672,0
26,0.346176523191522,1.08695411256627,0.00557815728650124,0,3.2599339,33.2026850663955,-0.44978751149295,0,34.2830025654911,-0.437572740735718,0
27,0.331266082432013,1.13101714973089,0.000297744431662084,0,3.2599339,32.7528975549026,-0.37537612542905,0,33.8766561952778,-0.367819871641764,0
28,0.317110673259195,1.17119188147239,0.000737371519163199,0,3.2599339,32.3775214294735,-0.285947608534762,0,33.5409040964318,-0.277401022501437,0
29,0.303629077349184,1.21327965144995,0.00118649148679184,0,3.2599339,32.0915738209388,-0.186791090612598,0,33.2965455866692,-0.177296713406307,0
30,0.290751020375991,1.25737389756113,0.00160080440125454,0,3.2599339,31.9047827303262,-0.0922436404794027,0,33.1534065427422,-0.0818927509330791,0
