year,classic_net_profit_margin,classic_asset_turnover,classic_equity_multiplier,classic_roe_3step,classic_tax_burden,classic_interest_burden,classic_ebit_margin,classic_leverage,classic_roe_5step,reform_rnoa,reform_flev,reform_nbc,reform_spread,reform_roce,reform_reported_roe,data_as_of
1985,0.025081788440567066,4.818707304256437,2.3595784252944823,0.2851828890266584,0.5071664829106945,2.0755148741418763,0.023827699018538713,2.3595784252944823,0.2851828890266584,,,,,,,2026-08-09T05:52Z
1986,0.02223816355810617,5.373503753296815,1.633742127941664,0.1952270467351674,0.5077586206896552,1.1394891944990178,0.0384353998338745,1.633742127941664,0.1952270467351674,,,,,,,2026-08-09T05:52Z
1987,0.02217382097589013,3.9684273709483793,2.1961508041128392,0.19325072501977325,0.5250716332378224,1.0992125984251968,0.03841848927609886,2.1961508041128392,0.1932507250197732,,,,,,,2026-08-09T05:52Z
1988,0.023387773227414022,4.080330179182606,2.0717413972888425,0.19770594369134517,0.604977664326739,2.6878216123499143,0.014382987121922335,2.0717413972888425,0.19770594369134517,,,,,,,2026-08-09T05:52Z
1989,0.023871704888598713,4.41430244078177,2.07493926368903,0.21865071949168377,0.6100104275286756,2.69760900140647,0.014506651432302294,2.07493926368903,0.21865071949168374,,,,,,,2026-08-09T05:52Z
1990,0.02372079825971815,4.422739061323517,1.9394775271783222,0.2034723349018335,0.6099221789883269,2.7934782608695654,0.013922254799962166,1.9394775271783222,0.2034723349018335,,,,,,,2026-08-09T05:52Z
1991,0.020324032676073415,3.601189826438162,2.401310615989515,0.17575360419397118,0.6101000909918107,3.932021466905188,0.008472135917915763,2.401310615989515,0.17575360419397118,,,,,,,2026-08-09T05:52Z
1992,0.01763613016037813,3.8474718805844637,2.3723192019950123,0.16097256857855363,0.599907063197026,6.767295597484276,0.004344143602633808,2.3723192019950123,0.16097256857855363,,,,,,,2026-08-09T05:52Z
1993,0.014728104152507141,3.8643190453119822,2.1827238826737907,0.12422775087660709,0.6027545233594382,6.636200716845878,0.0036820260381267853,2.1827238826737907,0.12422775087660708,,,,,,,2026-08-09T05:52Z
1994,-0.006820140043445021,3.89087990178719,2.5137685459940653,-0.06670623145400595,-0.5520628683693517,0.5191228964813871,0.02379767726903147,2.5137685459940653,-0.06670623145400595,,,,,,,2026-08-09T05:52Z
1995,0.007472397366231242,4.0352233289764285,2.8058172620929493,0.084603224786595,0.3633894622487779,2.957429718875502,0.006953015486515618,2.8058172620929493,0.08460322478659502,,,,,,,2026-08-09T05:52Z
1996,0.012715610865509928,3.983489077546367,2.7629092136348294,0.13994825064686692,0.5874852420306966,0.8628769356153219,0.025083688958168298,2.7629092136348294,0.13994825064686692,,,,,,,2026-08-09T05:52Z
1997,0.014272391471308927,3.99437576465862,2.218832300149913,0.12649406425995705,0.6000384393619066,0.8959876011710004,0.026547013860951613,2.218832300149913,0.12649406425995705,,,,,,,2026-08-09T05:52Z
1998,0.018945277895665,3.8771046998306655,2.1105903772885126,0.15502882767456758,0.5999478079331941,0.973453575511241,0.032439359041446396,2.1105903772885126,0.15502882767456758,,,,,,,2026-08-09T05:52Z
1999,0.014470425407925409,3.65836109260493,2.1247982786444326,0.11248265904136352,0.46262226362366093,0.998488547843274,0.031326486013986014,2.1247982786444326,0.11248265904136351,,,,,,,2026-08-09T05:52Z
