Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Real CSE,436.048842087962,455.03712784163,501.09782316921,477.926408409047,473.346677374046,475.964157444863,411.758046373887,427.60808193422,358.74137718833,384.982822577641,393.108082976529,415.909159654069,682.363068994194,1086.99886639028,1189.45266199615,1203.89122438664,1130.71942931335,1016.12051178616
tie: Real NOA−NFO−CSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECONOMIC FLOWS (real 2026$),,,,,,,,,,,,,,,,,,
Real EBITDA,179.740475274381,138.149960706079,155.600066657189,186.329752692952,211.455586326298,238.061808737235,267.363987775412,305.720540324112,357.257228568333,423.956844843342,456.165626175296,485.688926804273,638.914367144364,1067.08298199063,1219.32531951957,864.722748524788,707.965485735872,657.674580615202
Economic depreciation,9.61518287940926,10.0924608331814,10.6403043503114,11.9453394263056,12.9938849975653,14.1704825993843,15.2494396913318,17.0741823692404,17.0958775643729,17.5614047698411,19.3180473841437,21.0231871019444,21.9566054622464,23.7457683467942,25.9273078360628,28.8366236558442,31.2395205770692,33.7093448180221
Economic OI (pretax),170.125292394971,128.057499872897,144.959762306878,174.384413266647,198.461701328732,223.89132613785,252.114548084081,288.646357954871,340.161351003961,406.395440073501,436.847578791152,464.665739702328,616.957761682118,1043.33721364383,1193.39801168351,835.886124868944,676.725965158803,623.96523579718
Economic OI-after-tax,102.923118561742,77.3003700266798,87.6820139667797,106.394170063469,116.512387766258,136.423346922118,153.395901558083,176.802994015169,208.481959302443,288.108789380899,348.794491744103,382.06147433617,500.086751389766,822.752165067485,905.826537262612,634.603875669895,517.373550246831,474.382182582987
NFE after-tax (real),17.8799541450997,9.16620563924829,6.18493317318738,7.27328310660414,5.57099621649521,5.94095667985082,6.47399312656016,7.019138825027,12.4351945335456,14.7501516006205,22.2932436411785,25.6486711890682,12.9770333800909,8.43098935968078,35.5855217695197,48.847572011609,41.1055811811587,37.0817830812632
Economic NI,85.0431644166425,68.1341643874315,81.4970807935924,99.1208869568644,110.941391549763,130.482390242267,146.921908431523,169.783855190142,196.046764768898,273.358637780278,326.501248102925,356.412803147102,487.109718009675,814.321175707805,870.241015493092,585.756303658286,476.267969065672,437.300399501724
OCI (real),-3.71385044740203,3.47718015074323,1.61678374362549,3.30744212820809,-0.195590834255251,4.18909144606086,-5.18391975027034,-19.4117032406958,-19.6571833071535,-10.0186888416979,-14.6764034097018,-13.578893427522,-18.1525875523065,-9.25586054544784,6.75044022825511,7.23913610963171,-14.5976450305876,-6.78692178429101
Comprehensive income,81.3293139692404,71.6113445381748,83.1138645372178,102.428329085073,110.745800715507,134.671481688328,141.737988681252,150.372151949446,176.389581461744,263.33994893858,311.824844693223,342.83390971958,468.957130457369,805.065315162357,876.991455721347,592.995439767917,461.670324035084,430.513477717433
"METRICS (economic, ending-balance)",,,,,,,,,,,,,,,,,,
RNOA (econ),0.111642154893721,0.0943670235590614,0.110746068773814,0.12969463279171,0.14707597394876,0.166583760122835,0.181545997549883,0.202588148697291,0.22235689521824,0.273779905245957,0.277271946985129,0.298085448191448,0.345921553942111,0.291473919134977,0.298059667275343,0.241164034814003,0.215001732813461,0.189394239365814
FLEV (econ),1.11421713683982,0.800173988958882,0.580009439963905,0.716464392861605,0.673597570247893,0.720607414115185,1.05203603449269,1.04093735448754,1.61358366726074,1.73346543418769,2.20001277463918,2.08172574756276,1.1186158257735,1.59681040210272,1.55502212243505,1.18576229567386,1.12817534487159,1.46499694461306
NBC,0.0368011533249397,0.025174353884501,0.0212802846763575,0.0212409947832141,0.0174724183078346,0.0173214167208425,0.014945124032705,0.0157693333333333,0.0214822429245112,0.0221024260179257,0.0257772204714324,0.0296239435340286,0.0170011754268111,0.00485731307955065,0.0192393149227914,0.0342182737467872,0.0322232494822291,0.024910283594906
Spread,0.0748410015687812,0.0691926696745603,0.0894657840974561,0.108453638008496,0.129603555640926,0.149262343401993,0.166600873517178,0.186818815363957,0.200874652293728,0.251677479228031,0.251494726513697,0.268461504657419,0.3289203785153,0.286616606055427,0.278820352352551,0.206945761067216,0.182778483331232,0.164483955770908
ROCE,0.186514229873437,0.157374728690486,0.165863551375182,0.21431820314354,0.233963405700626,0.282944586439639,0.344226396859651,0.351658816337756,0.491690093973031,0.684030386538794,0.793229287813552,0.824299974553893,0.687254559583087,0.740631237119712,0.73730673253492,0.492565630312687,0.408297860695152,0.42368348313397
Reported ROE (memo),0.235614352966484,0.0761419105663654,0.202109530054492,0.257351311546903,0.291069976528906,0.340098259149772,0.45300222629649,0.501577755793903,0.725866185858389,0.858778557536322,1.04862024240798,0.637707835584378,0.57350305721926,0.607269228005037,0.605946920078951,0.398563514111581,0.341057665503174,0.34289069875948
CLEAN-SURPLUS (nominal check),,,,,,,,,,,,,,,,,,
Net distribution D = −(div+repurch),32.149,26.481,39.429,103.034,110.896,129.987,174.066,142.336,228.163,204.035,256.899,106.96,168.128,257.62,621.853,473.82,485.933,531.202
Reported CI (nom) = NI+OCI,54.570001,21.428,58.69,74.212999,81.838,100.242,107.03,114.546,134.877,184.305001,223.464,251.216,352.719,643.14,754.357,529.810999,420.661,399.884
ΔCSE (nom),,10.453,32.995,-5.43600000000004,1.87700000000001,4.55900000000003,-41.83,11.391,-50.533,17.936,0.444000000000017,186.59,229.29,431.923,163.801,77.5930000000001,-39.3220000000001,-88.2359999999999
Clean-surplus residual (dirty),,15.506,13.734,23.385001,30.935,34.304,25.206,39.181,42.753,37.665999,33.879,42.334,44.699,46.403,31.2969999999999,21.602001,25.9499999999999,43.0820000000001
ACTIVE (cfg_restatement-selected),,,,,,,,,,,,,,,,,,
Active NOA,921.901934441529,819.14600155106,791.739290952715,820.343662442363,792.191849138117,818.947458152719,844.94234865153,872.721307500319,937.600604190042,1052.337238272,1257.95088733881,1281.71796595313,1445.66519689448,2822.72996331614,3039.07786498944,2631.42004635696,2406.36921143194,2504.73395691154
Active NFO,485.853092353567,364.10887370943,290.641467783505,342.417254033316,318.845171764071,342.983300707856,433.184302277643,445.113225566099,578.859227001712,667.354415694354,864.842804362284,865.808806299065,763.302127900283,1735.73109692586,1849.62520299329,1427.52882197032,1275.64978211859,1488.61344512538
Active CSE,436.048842087962,455.03712784163,501.09782316921,477.926408409047,473.346677374046,475.964157444863,411.758046373887,427.60808193422,358.74137718833,384.982822577641,393.108082976529,415.909159654069,682.363068994194,1086.99886639028,1189.45266199615,1203.89122438664,1130.71942931335,1016.12051178616
Active OI-after-tax,102.923118561742,77.3003700266798,87.6820139667797,106.394170063469,116.512387766258,136.423346922118,153.395901558083,176.802994015169,208.481959302443,288.108789380899,348.794491744103,382.06147433617,500.086751389766,822.752165067485,905.826537262612,634.603875669895,517.373550246831,474.382182582987
Active NI,85.0431644166425,68.1341643874315,81.4970807935924,99.1208869568644,110.941391549763,130.482390242267,146.921908431523,169.783855190142,196.046764768898,273.358637780278,326.501248102925,356.412803147102,487.109718009675,814.321175707805,870.241015493092,585.756303658286,476.267969065672,437.300399501724
Active RNOA,0.111642154893721,0.0943670235590614,0.110746068773814,0.12969463279171,0.14707597394876,0.166583760122835,0.181545997549883,0.202588148697291,0.22235689521824,0.273779905245957,0.277271946985129,0.298085448191448,0.345921553942111,0.291473919134977,0.298059667275343,0.241164034814003,0.215001732813461,0.189394239365814
REAL IS LINES (real 2026$; forecast build-up base),,,,,,,,,,,,,,,,,,
Real revenue,2776.33473759771,2405.27454314174,2480.11245165462,2671.75593433775,2852.08511024678,2991.77660727087,3180.22859694343,3341.28873075349,3589.6253599645,3811.95303167428,4001.20769604591,4194.02455473936,5097.36027305254,6549.3301724619,7076.48477361057,6094.85970287363,5673.84416482248,5505.93818069658
