field,value
ticker,AAPL
fiscal_year,2025
rev_cagr_5y,0.08677354924090741
rev_cagr_10y,0.059393927430567706
eps_cagr_5y,0.17911028042213006
eps_cagr_10y,0.12473596516079022
oi_cagr_5y,0.14951857284756986
oi_cagr_10y,0.06447433158660476
roe_reported,1.5191298333175103
rnoa_econ,0.611156556682452
roce_econ,0.841226355744829
roic_reported,0.6033039164607101
net_profit_margin,0.2691506412181824
asset_turnover,1.1584451663368045
equity_multiplier,4.8721874872852045
flev_econ,0.447109093651552
nbc_econ,0.0
spread_econ,0.611156556682452
