ticker,run_timestamp_utc,commit_sha,scenario,probability,coe_basis,real_coe,intrinsic_value_per_share_real,current_real_price_per_share,upside_downside_pct,tie_residual
MSFT,2026-08-20T20:09:11.326842+00:00,8d0f26f6b0da4ed9949fa2936f9b2c9cbd3c1999,base,1.0,variance_v2,0.0627282236458418,269.496907721408,490.075515035427,-0.450091058513857,4.8312358558178e-09
MSFT,2026-08-20T20:09:11.326842+00:00,8d0f26f6b0da4ed9949fa2936f9b2c9cbd3c1999,expected_value,1.0,,,269.496907721408,490.075515035427,-0.450091058513857,
