Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Economic depreciation,2480.19107173071,2519.75352336153,2631.45264236918,2716.46186980272,2739.20761877033,2778.95422959337,2853.13016098883,2928.38604758995,2708.15640167345,2792.11303666812,2910.12350545768,3089.1149665804,3258.4863662869,3455.08636563202,3667.92630269253,3867.34875734283,4031.2279511588,4117.49793039748
Economic OI (pretax),8351.61785336555,10045.5821157124,10173.7205058129,11635.161721482,10560.9691105867,11182.2863212379,10709.7139480609,8882.08501144801,10981.218874881,14495.8697268763,13784.1685971121,13588.5818263883,13092.9563621906,14325.7136159158,13270.5829180623,13095.4609025872,13812.0000421722,14274.8519172464
Economic OI-after-tax,6044.0019512557,7355.07280504239,7759.63912942498,8422.6822305153,7819.41698934356,8456.41267207354,7933.58661568334,6472.97644279573,8106.63712393975,7244.15223796947,18968.6856532484,10651.1839333641,10276.158999994,11109.9443871485,11058.0210279397,10408.1031277947,11034.787313928,11464.0616423778
NFE after-tax (real),375.511675984831,458.948101617329,1068.49052113502,932.873637962719,981.945225603361,1000.40066273977,963.651728566036,1013.79102669315,1397.54843368785,804.348169996377,2223.49409032879,967.786584322471,1155.56207211752,1801.54398555746,901.793412519786,722.302244130784,791.122884029536,944.881894081207
Economic NI,5668.49027527087,6896.12470342506,6691.14860828996,7489.80859255258,6837.4717637402,7456.01200933377,6969.93488711731,5459.18541610258,6709.0886902519,6439.80406797309,16745.1915629196,9683.39734904161,9120.5969278765,9308.40040159109,10156.2276154199,9685.80088366393,10243.6644298985,10519.1797482966
OCI (real),-7306.29560201205,-5926.51459654978,-5578.82603551381,-9280.21004361182,-8009.00677282507,-7375.50544091828,-15103.0146956948,-18831.9961732703,-19435.1707950185,-17851.2606519256,-20177.552346211,-18744.8765337933,-20039.1928782007,-18425.1483706683,-17522.5167723087,-17084.8917368445,-18815.4072218025,-15639.0663937405
Comprehensive income,-1637.80532674118,969.610106875284,1112.32257277615,-1790.40145105925,-1171.53500908488,80.5065684154879,-8133.07980857748,-13372.8107571677,-12726.0821047666,-11411.4565839525,-3432.36078329141,-9061.47918475171,-10918.5959503242,-9116.74796907725,-7366.28915688881,-7399.0908531806,-8571.74279190404,-5119.88664544394
"METRICS (economic, ending-balance)",,,,,,,,,,,,,,,,,,
RNOA (econ),0.176580271619783,0.199409563457363,0.135541554708655,0.136859493884578,0.123200985272968,0.130826958489825,0.138859996312265,0.123153507419908,0.159688949730844,0.14938627604564,0.325745240915691,0.170751201674863,0.146395412017934,0.159286652122441,0.15739879563702,0.155552457674705,0.165071459693745,0.159898263734481
FLEV (econ),0.412871794706573,0.226912116003465,1.02332545012566,1.21501351342334,1.00958055386072,0.807312947415949,1.0100540408664,1.35402654066556,1.35581439487607,1.27276347515957,1.15781388991442,1.29523501334001,1.84519175996853,1.62354634763492,1.27045297795234,1.33585625876916,1.33821568209827,1.42827661279927
NBC,0.0375429651416122,0.0672788181818182,0.0369023124203822,0.0276339270047222,0.0307958016021973,0.0346478658761397,0.0335653213845471,0.0335332293517912,0.0478345650927165,0.0296192289180889,0.0711626395438237,0.02749312243986,0.0253839945387832,0.0417384598280802,0.0229395539178561,0.018876029144631,0.0206780902211549,0.0224062199348341
Spread,0.13903730647817,0.132130745275545,0.0986392422882724,0.109225566879856,0.092405183670771,0.0961790926136851,0.105294674927718,0.0896202780681172,0.111854384638127,0.119767047127551,0.254582601371868,0.143258079235003,0.121011417479151,0.117548192294361,0.134459241719164,0.136676428530074,0.14439336947259,0.137492043799646
ROCE,-0.0676055918676736,0.0322529613208985,0.0393122076704812,-0.0644393743116187,-0.0370937292921116,0.00225100133032714,-0.286134582037557,-0.598931027820689,-0.590568016846127,-0.534833320429795,-0.127188473657093,-0.333420379717239,-0.442562883570671,-0.342922664250658,-0.238059363500976,-0.258303187013198,-0.299820776502202,-0.173405847421377
Reported ROE (memo),0.424582851478606,0.35384432278029,0.298620298620299,0.312949290849038,0.277114918812237,0.27760616170353,0.373494666819589,0.457267466241718,0.570437133844074,0.446046468913583,0.862033337925334,0.494657108075206,0.529210643674744,0.474848843732469,0.519563822963438,0.490406961033346,0.530901834709828,0.403802803097128
CLEAN-SURPLUS (nominal check),,,,,,,,,,,,,,,,,,
Net distribution D = −(div+repurch),7267,2739,7961,5653,6531,6442,8742,9045,7234,6477,6930,8304,7509,5921,7672,7682,8229,8638
Reported CI (nom) = NI+OCI,446,2152,2690,214,691,1613,-4156,-7867,-7590,-8200,-2604,-6986,-8356,-7280,-6392,-6460,-8034,-6784
ΔCSE (nom),,4698,4360,-576,1706,1985,-6841,-5515,-828,-206,3629,268,-1332,2589,1106,1354,-462,2365
Clean-surplus residual (dirty),,5285,9631,4863,7546,6814,6057,11397,13996,14471,13163,15558,14533,15790,15170,15496,15801,17787
ACTIVE (cfg_restatement-selected),,,,,,,,,,,,,,,,,,
Active NOA,34228.0703037416,36884.2530795421,57249.1524544208,61542.5498914869,63468.7861628589,64638.150803844,57133.7089613807,52560.2281121011,50765.172778727,48492.7560263719,58231.6585805709,62378.3834543409,70194.5427001165,69748.11912431,70254.8007637922,66910.5669134483,66848.5474981605,71695.9732684431
Active NFO,10002.1848186045,6821.58388063597,28954.5681843196,33758.2724960989,31885.6848828802,28873.3703344394,28709.7423416802,30232.4305260804,29216.2880749311,27156.2832449413,31245.2447602018,35201.0429677263,45523.255622829,43162.6847990552,39311.7240094992,38265.5821622438,38258.9917912327,42170.5176879137
Active CSE,24225.8854851371,30062.6691989061,28294.5842701011,27784.2773953879,31583.1012799787,35764.7804694046,28423.9666197005,22327.7975860207,21548.8847037959,21336.4727814306,26986.4138203691,27177.3404866146,24671.2870772875,26585.4343252547,30943.0767542929,28644.9847512046,28589.5557069277,29525.4555805294
Active OI-after-tax,6044.0019512557,7355.07280504239,7759.63912942498,8422.6822305153,7819.41698934356,8456.41267207354,7933.58661568334,6472.97644279573,8106.63712393975,7244.15223796947,18968.6856532484,10651.1839333641,10276.158999994,11109.9443871485,11058.0210279397,10408.1031277947,11034.787313928,11464.0616423778
Active NI,5668.49027527087,6896.12470342506,6691.14860828996,7489.80859255258,6837.4717637402,7456.01200933377,6969.93488711731,5459.18541610258,6709.0886902519,6439.80406797309,16745.1915629196,9683.39734904161,9120.5969278765,9308.40040159109,10156.2276154199,9685.80088366393,10243.6644298985,10519.1797482966
Active RNOA,0.176580271619783,0.199409563457363,0.135541554708655,0.136859493884578,0.123200985272968,0.130826958489825,0.138859996312265,0.123153507419908,0.159688949730844,0.14938627604564,0.325745240915691,0.170751201674863,0.146395412017934,0.159286652122441,0.15739879563702,0.155552457674705,0.165071459693745,0.159898263734481
REAL IS LINES (real 2026$; forecast build-up base),,,,,,,,,,,,,,,,,,
Real revenue,67320.9610316624,67531.6497200949,88889.2948325201,99080.2839525382,95594.290425708,95542.070188919,94396.3191445323,89156.1191306953,87686.5644627032,86850.0676199412,86295.4370168892,88036.6890130135,91121.6128989881,98289.7195335277,98928.5890075345,100603.330247258,98130.2756615629,97770.1884339775
Real COGS,31676.6982949611,31396.1562667512,40842.231926661,47068.498299539,45673.3790647839,44944.9807861537,44220.4492514869,40623.3262297641,39406.5227514198,39369.2962956919,39211.3675166363,39497.9454347035,41172.5391540545,45852.622891833,46464.098846765,46062.3375068099,44596.31836628,44829.0756997357
Real gross profit,35644.2627367013,36135.4934533437,48047.062905859,52011.7856529993,49920.9113609241,50597.0894027653,50175.8698930454,48532.7929009312,48280.0417112834,47480.7713242493,47084.0695002529,48538.74357831,49949.0737449336,52437.0966416947,52464.4901607695,54540.992740448,53533.9572952829,52941.1127342418
Real SG&A,24183.6205301366,22825.0477819677,34312.0854184246,37462.0134125252,36016.4465317038,30618.3455830904,30275.3936917072,14509.6437217584,13521.8186636223,12805.0017052872,12714.5671805246,13303.6190168859,13586.9249722771,13621.5991511975,16328.1640737387,40338.7777927286,39731.1489086324,38897.8057109488
BUYBACK / REPURCHASE-PREMIUM ROE ADJUSTMENT  (JK-original · premium-only),,,,,,,,,,,,,,,,,,
Additive capital-efficiency view only; never enters AEG value (Penman Ch.5/6). RNOA untouched. Reserve raises the economic-CSE base so ROE falls; cfg_buyback {On|Off}. VP6 proves value-invariance.,,,,,,,,,,,,,,,,,,
cfg_buyback active (1=On),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Year-end price (contemp.),54.77,60.8,65.33,66.35,68.43,82.94,94.56,99.92,104.63,119.92,110.48,136.67,148.3,173.71,180.66,169.84,152.06,143.52
Market cap = price×shares,87741.54,95881.6,105442.62,105960.95,107777.25,129386.4,144393.12,148381.2,151922.76,172444.96,157434,192294.69,206433.6,241283.19,250575.42,234888.72,209538.68,197052.96
Book/market = repCSE/mktcap,0.13797341601253,0.175257817975503,0.200715801636947,0.194297993742034,0.206852559329543,0.187647233403202,0.120767526873857,0.080353845365855,0.073030532094072,0.063144785443425,0.0922164208493718,0.076892398848871,0.065173498887778,0.0664903344489104,0.0684384765273465,0.0787734719657887,0.0860986620704111,0.103555917150394
Premium fraction = 1−book/mkt,0.862026583987471,0.824742182024497,0.799284198363053,0.805702006257966,0.793147440670457,0.812352766596798,0.879232473126143,0.919646154634145,0.926969467905928,0.936855214556575,0.907783579150628,0.923107601151129,0.934826501112222,0.93350966555109,0.931561523472653,0.921226528034211,0.913901337929589,0.896444082849606
Buyback $ (nominal),4726,7,4983,2496,3226,3008,5012,5005,3007,2005,2000,3000,2000,106,1500,1000,1000,1000
Annual premium reserve (real),6341.15735667418,9.01816712206365,6121.08356214537,2996.11515350472,3734.75391310371,3515.20749911039,6238.13417792968,6508.03049692086,3892.05693376471,2568.10243466884,2423.02410044878,3630.11286943721,2420.93157966417,122.379227673686,1600.11460130901,1013.20043109139,976.347140227989,933.143539001651
Cumulative premium reserve,6341.15735667418,6350.17552379625,12471.2590859416,15467.3742394463,19202.12815255,22717.3356516604,28955.4698295901,35463.500326511,39355.5572602757,41923.6596949445,44346.6837953933,47976.7966648305,50397.7282444947,50520.1074721684,52120.2220734774,53133.4225045688,54109.7696447968,55042.9131837984
Economic CSE (real),24225.8854851371,30062.6691989061,28294.5842701011,27784.2773953879,31583.1012799787,35764.7804694046,28423.9666197005,22327.7975860207,21548.8847037959,21336.4727814306,26986.4138203691,27177.3404866146,24671.2870772875,26585.4343252547,30943.0767542929,28644.9847512046,28589.5557069277,29525.4555805294
Adjusted base = CSE+reserve,30567.0428418113,36412.8447227024,40765.8433560428,43251.6516348343,50785.2294325288,58482.116121065,57379.4364492906,57791.2979125317,60904.4419640716,63260.1324763751,71333.0976157624,75154.1371514451,75069.0153217822,77105.5417974231,83063.2988277703,81778.4072557733,82699.3253517245,84568.3687643278
