ticker,tier,spread_30y_pp,a_pp_1y,b_pp,n_fit,longest_fit_yrs,extrapolation_factor
DGX,3,1.0168,0.3067,0.208791,1,3.88,7.74
DHR,2,0.7845,0.4562,0.096538,3,25.32,1.18
DIS,1,0.8597,0.1077,0.221096,14,33.75,0.89
DLR,2,1.2877,0.3743,0.268575,4,2.87,10.47
DLTR,2,1.0263,0.5737,0.133049,3,25.3,1.19
DOC,2,0.9896,0.5577,0.126988,5,6.32,4.74
DOW,2,1.5438,0.2615,0.377017,11,26.74,1.12
DRI,2,1.1166,0.8004,0.092976,2,21.51,1.39
DTE,1,0.8413,0.384,0.134457,11,26.63,1.13
DUK,1,1.0161,0.337,0.199667,58,26.59,1.13
EA,3,1.7935,1.0834,0.208791,1,4.51,6.66
EBAY,1,1.1381,0.4576,0.200083,7,24.74,1.21
ECL,1,0.7345,0.2906,0.130526,7,29.0,1.03
ED,1,0.9969,0.2449,0.2211,26,34.84,0.86
EFX,2,1.4403,0.5597,0.258917,4,10.88,2.76
EIX,1,1.3565,0.7243,0.185868,35,26.53,1.13
EL,1,0.9853,0.3142,0.197332,5,20.57,1.46
ELV,1,1.0556,0.3224,0.215575,16,26.49,1.13
EMR,2,0.6526,0.1329,0.152812,3,25.36,1.18
EOG,2,0.9258,0.3002,0.183929,3,23.66,1.27
EQIX,1,1.0686,0.4829,0.17219,6,25.49,1.18
EQR,1,0.8054,0.3154,0.144067,6,21.03,1.43
EQT,2,0.8713,0.6837,0.05517,2,3.46,8.68
ES,1,0.9076,0.4896,0.122909,19,26.43,1.14
ESS,3,1.0825,0.3724,0.208791,1,0.7,42.98
ETN,1,0.7356,0.1972,0.158294,6,26.05,1.15
ETR,1,0.9945,0.2807,0.209879,19,26.07,1.15
EVRG,2,0.846,0.534,0.091741,3,26.57,1.13
EW,3,0.9472,0.237,0.208791,1,1.84,16.33
EXC,1,1.007,0.3534,0.192179,51,26.57,1.13
EXPE,2,0.927,0.5876,0.099777,4,4.58,6.55
EXR,2,1.1854,0.4899,0.204495,3,5.57,5.38
F,1,2.0921,0.8132,0.376006,16,20.49,1.46
FANG,2,1.0163,0.3586,0.193356,4,26.57,1.13
FCX,2,0.9612,0.6599,0.08859,8,16.57,1.81
FDS,2,1.622,0.5593,0.312422,2,5.55,5.41
FDX,1,1.4255,0.2128,0.356548,19,38.47,0.78
FE,1,1.1321,0.478,0.192307,5,10.86,2.76
FICO,3,1.6767,0.9666,0.208791,1,1.82,16.46
FIS,1,1.4167,0.5783,0.246476,5,14.54,2.06
FISV,1,1.2688,0.5807,0.202305,7,22.87,1.31
FITB,2,1.4096,0.3548,0.310108,3,11.55,2.6
FLEX,3,1.5513,0.8412,0.208791,1,1.41,21.32
FOX,2,1.3372,0.3452,0.291664,3,22.44,1.34
FRT,2,1.0151,0.4966,0.152446,2,18.29,1.64
FTNT,3,0.979,0.2688,0.208791,1,4.59,6.54
FTV,3,1.0449,0.3348,0.208791,1,19.84,1.51
GD,1,0.7695,0.1774,0.174081,7,23.63,1.27
GE,2,0.6902,0.4452,0.072028,6,23.7,1.27
GILD,1,0.8271,0.363,0.136437,12,24.12,1.24
GIS,1,1.0202,0.3641,0.192904,6,24.45,1.23
GL,3,1.2095,0.4993,0.208791,1,5.82,5.15
GLW,2,1.1031,0.4077,0.204455,4,42.24,0.71
GM,1,1.4181,0.3951,0.30078,25,22.62,1.33
GOOG,1,0.8617,0.0517,0.238157,5,34.0,0.88
GPC,3,1.5617,0.8516,0.208791,1,5.47,5.49
GPN,1,1.5587,0.6856,0.25671,8,26.0,1.15
GS,2,0.7752,0.5835,0.056379,66,19.19,1.56
HAL,2,1.2228,0.3124,0.267691,7,19.24,1.56
HAS,1,1.6329,0.1978,0.421941,5,17.74,1.69
HCA,1,1.2608,0.4767,0.23053,12,24.92,1.2
HD,1,0.8622,0.159,0.206725,28,30.09,1.0
HIG,3,0.9603,0.2502,0.208791,1,25.08,1.2
