line_item,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ECONOMIC RESTATEMENT (real 2026$),,,,,,,,,,,,,,,,,,
Real net PP&E (BEA),9754.61638639917,9190.53239571624,9105.66850383339,9209.4670307058,9679.73390088594,9701.50181056225,10662.5463884177,10313.6701634633,10357.9226077412,10638.4499412045,11680.1647073876,13542.081289854,16559.4390450327,18884.4957562889,20552.1134014439,21228.7617419965,21174.5262180358,21648.9047000123
Non-PP&E op net (nom),9921.5,51076,45404,43189,43861,44927,41339,45245,38783,38042,29841,27849,33758,43872,41889,42474,45866,60324
Real non-PP&E op net,15442.9935695276,79784.5702512853,69779.8945775397,64344.6767657009,64020.9670243996,64630.2580347446,58519.4043026832,63972.7957699237,54152.9009945543,52010.2364800914,39825.2754522972,36505.3193419308,43711.7519502649,54258.8340259069,47967.6320138047,46714.5417555513,48999.9697726092,62793.5996496274
Real NOA,25197.6099559268,88975.1026470016,78885.5630813731,73554.1437964067,73700.7009252855,74331.7598453069,69181.9506911009,74286.465933387,64510.8236022955,62648.6864212959,51505.4401596849,50047.4006317848,60271.1909952976,73143.3297821959,68519.7454152485,67943.3034975478,70174.495990645,84442.5043496397
Real NFO,4922.95520452572,16084.6918293814,12463.9887460102,7403.0123144497,10029.1389714017,14579.8220487043,8250.10494390376,18488.4136918449,14969.7870603774,22073.1104561031,21928.5245453134,22277.5648036236,32942.4338339561,30878.0157987969,19833.3544959082,30733.887903591,24926.2480864806,35955.0713728828
Real CSE,20274.6547514011,72890.4108176201,66421.5743353629,66151.131481957,63671.5619538838,59751.9377966026,60931.8457471971,55798.0522415421,49541.0365419181,40575.5759651928,29576.9156143715,27769.8358281612,27328.7571613415,42265.313983399,48686.3909193404,37209.4155939567,45248.2479041645,48487.4329767569
tie: Real NOA−NFO−CSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
