year,real_revenue,real_gross_profit,real_sga,real_gross_ppe_series,real_net_ppe_series
2009,29954.5167514228,13440.7227713634,9606.13973720151,6452.66987819909,3714.94552814202
2010,29221.9829860219,13524.4267527608,9722.83334189382,6739.28444342014,3743.2329196322
2011,29971.1005694877,13709.5027807539,5984.68514130498,7141.5525755139,3867.13281971835
2012,34054.6996567855,14812.3566121066,6527.47918499612,7661.31883814598,4156.84235819967
2013,36414.3103619981,15873.0889477457,7266.17475757329,8147.86390003572,4461.88997426391
2014,39352.2078475602,17618.532280684,8118.45433309678,8600.24727653212,5020.10134749357
2015,43267.3560250953,19889.6080914027,9443.56952032977,9088.13655204737,5647.67878635094
2016,45206.7741690867,20904.0837683901,10040.8300299575,9951.13830238411,6470.50788012576
2017,46962.6103541123,20934.2500652741,9873.76919875979,10717.1224108486,7189.26656623325
2018,48574.7981179338,21294.59787262,10588.5773076816,11516.5775454189,7766.09172445172
2019,51275.7577183492,22905.4526259793,11730.6223846795,12453.1799364619,8389.72689461172
2020,48431.5024052301,21029.757788502,12345.1579801477,13467.9002537937,8912.01815826522
2021,55082.5116212127,24688.0663025427,12257.460431044,13987.0342652824,8912.6973303757
2022,53488.2210452581,24595.8788231877,12543.5661171003,14481.8649597627,8906.01056220246
2023,56330.4300299965,24517.6005277287,13546.7111833857,15085.9116571801,9066.12381432117
2024,54871.5049810481,24450.8417604698,13130.8295573004,15545.2314354196,9014.70711872422
2025,48204.8406301737,20600.1813053864,11865.6627943456,15447.7680177164,8535.90219894858
2026,47015.1216799346,20175.8284359062,11511.0949240066,14901.6017030385,7625.49589206074
