Fiscal year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Economic depreciation,3045.67287074528,3081.95184340941,3126.50243295827,3147.78860261406,3158.99849523442,3161.40564443788,3172.72594576907,3166.83551622495,3105.28374440653,3043.42544518989,2943.85334658078,2869.89352842481,2825.98008472758,2680.90406438679,2583.18383370061,2500.78405437244,2458.5049631814,2215.71773045983
Economic OI (pretax),3763.41440557536,4299.61880358035,5572.67021829385,6574.82741958164,8012.87106867652,9813.96530886031,11629.5991490554,13273.2608226318,15251.8332635896,19301.4888303978,20234.252028981,20617.5011224981,22894.7750948126,26979.8088774731,27127.8542362825,24139.063463392,23863.7176072736,23127.9438139353
Economic OI-after-tax,2300.53987907415,2709.25722034783,3397.39530539665,4078.59033788072,4898.8590636696,6110.97575640669,7265.57279644468,8310.43714543915,9587.69109005635,12032.4187512937,15380.3712867576,15674.4704706586,17272.0171152278,20322.2235673173,20574.1783624013,18278.4502570731,18140.874872485,17540.0574832055
NFE after-tax (real),627.740150054639,683.570074665352,499.854669118472,566.028027952525,570.985719863941,640.126731192328,746.410431295392,816.076932067881,846.533478392477,888.738614236995,1052.57038839576,1188.08534290655,1262.43060008312,1166.09271514429,1353.3920061273,1577.65868459392,1843.32604128582,1859.92858580325
Economic NI,1672.79972901951,2025.68714568248,2897.54063627817,3512.56230992819,4327.87334380566,5470.84902521436,6519.16236514928,7494.36021337127,8741.15761166387,11143.6801370567,14327.8008983618,14486.3851277521,16009.5865151447,19156.1308521731,19220.786356274,16700.7915724792,16297.5488311992,15680.1288974022
OCI (real),-120.279816535143,556.345736874931,662.978563077101,427.672495796929,571.108964315303,65.1175064206542,-639.091693844745,-1253.88198677539,-1185.34448841384,-755.373677356665,-1011.96116671947,-956.898651912013,-829.861361036277,-806.159443713588,-789.684065086544,-509.592848330671,-1175.22004516327,-660.671997398968
Comprehensive income,1552.51991248436,2582.03288255741,3560.51919935528,3940.23480572512,4898.98230812097,5535.96653163502,5880.07067130454,6240.47822659588,7555.81312325003,10388.3064597,13315.8397316423,13529.4864758401,15179.7251541084,18349.9714084595,18431.1022911874,16191.1987241486,15122.3287860359,15019.4569000033
"METRICS (economic, ending-balance)",,,,,,,,,,,,,,,,,,
RNOA (econ),0.0608840619682784,0.0766832321063921,0.0985372685195487,0.129414462540382,0.166551219165508,0.214437440076786,0.266843807223096,0.262820512347231,0.360903832116568,0.485436185174904,0.61193196243345,0.599530084626733,0.549636428587042,0.595716891095637,0.508766349155454,0.46122005531039,0.315226437192271,0.282846397452919
FLEV (econ),0.821439481903947,0.560281737896706,0.628559174950333,0.644375745511546,0.622288198836185,1.74408705191692,4.0904350589091,38.6163189857907,-12.9069224586615,-4.82132142052084,-3.32419969841339,-2.34134585018775,-3.51120519783622,-3.10757420174473,-4.39237273127009,-4.25772321756587,-11.3421955904477,-23.1548141738481
