date,month,market_semidev,vix_equiv,erp_source,market_erp_1y_pct,real_rf_1y_pct,real_rf_1y_source,real_rf_5y_pct,real_rf_5y_source,real_rf_10y_pct,real_rf_10y_source,real_rf_20y_pct,real_rf_20y_source,real_rf_30y_pct,real_rf_30y_source,real_coe_1y_pct
1929-10-31,1929-10,20.463663,31.554889,bridge,9.95711,3.5567919918216724,regime-extrapolated,3.1414251367152453,regime-extrapolated,3.1328245294848687,regime-extrapolated,3.142893635887204,regime-extrapolated,3.146539062777695,regime-extrapolated,13.513902
1929-11-27,1929-11,24.376833,35.879933,bridge,12.873696,2.797942893161496,regime-extrapolated,2.7666505746224987,regime-extrapolated,2.8728245294848707,regime-extrapolated,2.943553243559554,regime-extrapolated,2.967450506896073,regime-extrapolated,15.671639
1929-12-31,1929-12,25.144376,36.728262,bridge,13.489653,2.455359830622408,regime-extrapolated,2.695440631198924,regime-extrapolated,2.882569532348305,regime-extrapolated,2.996077031224166,regime-extrapolated,3.034256366721801,regime-extrapolated,15.945013
1930-02-28,1930-02,25.012552,36.582563,bridge,13.38284,3.353054086302902,regime-extrapolated,2.970777833640832,regime-extrapolated,3.0202885473267256,regime-extrapolated,3.063398101989863,regime-extrapolated,3.0780973760018826,regime-extrapolated,16.735894
1930-03-31,1930-03,25.006994,36.57642,bridge,13.378345,3.0088644054578544,regime-extrapolated,2.7992856788146923,regime-extrapolated,2.900546544429602,regime-extrapolated,2.971013485684403,regime-extrapolated,2.994846373430028,regime-extrapolated,16.387209
1930-04-30,1930-04,24.830847,36.381733,bridge,13.236305,2.430457218908707,regime-extrapolated,2.6972309883372008,regime-extrapolated,2.892050484922396,regime-extrapolated,3.0096087321526674,regime-extrapolated,3.049140315611851,regime-extrapolated,15.666762
1930-05-29,1930-05,25.168961,36.755435,bridge,13.50962,2.5923714441302,regime-extrapolated,2.7188579369835377,regime-extrapolated,2.920546544429602,regime-extrapolated,3.044090642397708,regime-extrapolated,3.0856438870336085,regime-extrapolated,16.101991
1930-06-30,1930-06,26.093878,37.777702,bridge,14.271548,2.80142011249952,regime-extrapolated,2.750971983383569,regime-extrapolated,2.948007562305145,regime-extrapolated,3.071420385566552,regime-extrapolated,3.112952754263558,regime-extrapolated,17.072968
1930-07-31,1930-07,26.317105,38.024425,bridge,14.458569,3.988079574417173,regime-extrapolated,3.083372616091569,regime-extrapolated,3.1198962679564968,regime-extrapolated,3.163051854146969,regime-extrapolated,3.17783462239101,regime-extrapolated,18.446649
1930-08-29,1930-08,26.256377,37.957305,bridge,14.40757,4.0675350033168085,regime-extrapolated,3.124328079748424,regime-extrapolated,3.1732487291163527,regime-extrapolated,3.224110152191072,regime-extrapolated,3.2414769701878723,regime-extrapolated,18.475105
1930-09-30,1930-09,20.593263,31.698129,bridge,10.047714,3.993668608750303,regime-extrapolated,3.076959321156967,regime-extrapolated,3.109896267956496,regime-extrapolated,3.1511562414072083,regime-extrapolated,3.1653061397623103,regime-extrapolated,14.041383
1930-10-31,1930-10,20.756817,31.878898,bridge,10.162641,4.298137621313158,regime-extrapolated,3.1388887709255946,regime-extrapolated,3.123248729116352,regime-extrapolated,3.139989122875376,regime-extrapolated,3.145964282871285,regime-extrapolated,14.460779
1930-11-29,1930-11,21.318934,32.50018,bridge,10.562617,4.26185336138057,regime-extrapolated,3.130117356722758,regime-extrapolated,3.146601190276208,regime-extrapolated,3.181473290988164,regime-extrapolated,3.193513285125994,regime-extrapolated,14.82447
1930-12-31,1930-12,21.678608,32.89771,bridge,10.822594,4.972891869756514,regime-extrapolated,3.3477180392730954,regime-extrapolated,3.266078653716605,regime-extrapolated,3.251473135331332,regime-extrapolated,3.2470179960162704,regime-extrapolated,15.795486
1931-01-31,1931-01,21.892611,33.134238,bridge,10.978777,5.116264070080607,regime-extrapolated,3.381425823290107,regime-extrapolated,3.292743129708032,regime-extrapolated,3.2756571888099524,regime-extrapolated,3.2703861804929586,regime-extrapolated,16.095041
1931-02-28,1931-02,21.971186,33.221083,bridge,11.036404,5.336808597734572,regime-extrapolated,3.5254695102254656,regime-extrapolated,3.439956599534652,regime-extrapolated,3.425802578311869,regime-extrapolated,3.421522811391754,regime-extrapolated,16.373213
1931-03-31,1931-03,21.709257,32.931585,bridge,10.844893,5.603968637371555,regime-extrapolated,3.5650119822841897,regime-extrapolated,3.4133502537340417,regime-extrapolated,3.3643261879452204,regime-extrapolated,3.348405587108974,regime-extrapolated,16.448862
1931-04-30,1931-04,20.814982,31.943186,bridge,10.203671,6.296301313550489,regime-extrapolated,3.7459105480329296,regime-extrapolated,3.4881916087188256,regime-extrapolated,3.3853733259858507,regime-extrapolated,3.3515152343232035,regime-extrapolated,16.499972
1931-05-29,1931-05,20.867755,32.001513,bridge,10.240968,6.145327759542818,regime-extrapolated,3.6508649289911936,regime-extrapolated,3.436485918479396,regime-extrapolated,3.357858683707142,regime-extrapolated,3.332089696593463,regime-extrapolated,16.386296
1931-06-30,1931-06,21.647744,32.863599,bridge,10.800161,6.232164623431684,regime-extrapolated,3.664627515042402,regime-extrapolated,3.455355160499019,regime-extrapolated,3.3807275747187693,regime-extrapolated,3.356306735967598,regime-extrapolated,17.032326
1931-07-31,1931-07,19.006061,29.94387,bridge,8.966354,5.544657921102222,regime-extrapolated,3.493790316596762,regime-extrapolated,3.3941376947159667,regime-extrapolated,3.3752836126097416,regime-extrapolated,3.3694620209788333,regime-extrapolated,14.511012
