# convergence guard,verdict=PASS,gap_ps=-0.0471,converge_value_ps=0.3956,eng_intrinsic=219.0841,corrected_intrinsic=219.4797,trend_g_short=0.047816,trend_g_full=0.047332,trend_spread=+0.000484,trend_estimate=OK
t,phase,eps,normal_eps,aeg_eps,contrib_eps,coe
9,convergence,17.39161,17.375499,0.01611093,0.14062087,0.099044
10,convergence,17.886841,17.870272,0.01656969,0.13167608,0.098254
11,convergence,18.386986,18.369953,0.01703301,0.12329416,0.095579
