Fiscal year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Real EBITDA,4433.32658842065,4410.03892807352,4765.99645681718,5070.76535972194,5396.04464772469,6104.0584279535,6820.74852014834,7210.51957651235,7471.6350970953,6965.18590481349,7199.08125339811,5482.42069309264,9565.04883197402,8605.52303907331,7450.30620737639,7643.89272496007,4694.63454710927,4658.14290190653
Economic depreciation,365.967226173619,381.207874630115,403.384600462705,436.246447880277,467.660354102568,510.270187273884,540.725792108124,580.319497854737,625.304461243562,662.523011382669,712.173957803697,761.684917198425,792.402702226517,822.526350042977,860.885651102519,884.68361085621,887.924802357948,858.20933431758
Economic OI (pretax),4067.35936224703,4028.83105344341,4362.61185635448,4634.51891184167,4928.38429362212,5593.78824067962,6280.02272804022,6630.20007865761,6846.33063585174,6302.66289343082,6486.90729559441,4720.73577589422,8772.6461297475,7782.99668903034,6589.42055627387,6759.20911410386,3806.70974475132,3799.93356758895
Economic OI-after-tax,3079.29293114472,3040.45091470898,3298.21370933679,3459.79431057664,3694.91110155417,4234.69042294658,4872.56500884674,5378.45417728254,5930.42495821052,2769.35326659582,5428.95676359195,4139.78774167795,7528.1406830244,7065.31808592066,5367.20705511064,5733.2408409487,3134.38300922033,3005.64557997626
NFE after-tax (real),47.7168080415695,51.0008936091426,45.2261628139184,40.482405621815,6.49738440927725,46.2541935496249,42.9209471182363,21.577347183728,69.9987263911635,32.2095393155587,136.406073287256,163.983475955504,307.304351589501,303.957049963185,254.484631661394,237.216759302487,249.260131695167,40.3761280815321
Economic NI,3031.57612310315,2989.45002109983,3252.98754652288,3419.31190495482,3688.4137171449,4188.43622939696,4829.6440617285,5356.87683009881,5860.42623181935,2737.14372728026,5292.5506903047,3975.80426572245,7220.8363314349,6761.36103595748,5112.72242344925,5496.02408164622,2885.12287752516,2965.26945189472
OCI (real),574.06276073591,330.118962101479,141.534749420954,217.485330627107,394.165884691166,120.325827081644,1761.74391710299,444.025024270125,-291.209199575718,-122.781587132179,302.801851699738,-72.5119411462419,-469.966195519799,364.145885086535,254.062700605838,56.6214275922968,-268.562242384522,-142.875385940574
Comprehensive income,3605.63888383906,3319.56898320131,3394.52229594383,3636.79723558193,4082.57960183606,4308.7620564786,6591.3879788315,5800.90185436894,5569.21703224363,2614.36214014808,5595.35254200444,3903.2923245762,6750.8701359151,7125.50692104401,5366.78512405508,5552.64550923851,2616.56063514064,2822.39406595415
"METRICS (economic, ending-balance)",,,,,,,,,,,,,,,,,,
RNOA (econ),0.299575222515722,0.339646177752261,0.336189432389705,0.306670604753803,0.347429559762657,0.376663757149543,0.374674945699128,0.379901186388989,0.377975374068275,0.209017242125958,0.426363353357085,0.220168837300504,0.518745583782852,0.338911606102139,0.303836542660074,0.337378400492199,0.186248815367764,0.172220969770344
FLEV (econ),-0.286558101476536,-0.438787829029054,-0.370459170117583,-0.303751002031671,-0.38237909570501,-0.321835168030843,-0.336467175775018,-0.251232057573948,-0.171585325512424,-0.126289851093345,-0.108645601216197,0.410758999159974,-0.234471121669802,-0.0199189627746186,0.100669857836394,0.0238147002463587,0.130558129147705,0.131824655545282
