year,real_revenue,real_gross_profit,real_sga,real_gross_ppe_series,real_net_ppe_series
2008,112821.127023126,13977.9521103282,0,18941.991342768,12054.6177155883
2009,111566.559176273,14194.5804266863,0,20116.058621012,12500.4369223464
2010,119792.609962578,15293.3602973548,0,20854.4836243343,12670.7647639797
2011,132469.076260675,16650.4458897746,0,21739.2698153945,13069.8524578408
2012,144703.645787782,17973.9218882027,0,22907.1227612574,13624.4394665947
2013,151273.38602403,19000.5219160618,0,24726.9420013741,14829.6991719918
2014,159452.954852663,20076.0103490808,0,26443.1284681685,15804.5482917928
2015,164296.052506782,21398.2603863858,0,28563.701977123,17150.4710991417
2016,165767.946089072,22086.7541946693,0,30981.0238387601,18709.9859677233
2017,176400.314437826,23437.5554381527,17817.0811684073,32919.791267172,19942.1787766811
2018,188944.847606797,24588.3474056876,18609.417945338,34834.5272570137,21603.0080370791
2019,200167.753939849,25976.7285503624,19767.3243447275,36460.9151808095,23157.5295145367
2020,215931.496740865,28256.3496373802,20448.3674032402,38369.7735412592,24384.76610864
2021,242315.807163155,31221.833173414,22184.8779348267,41418.660039276,26359.1695913393
2022,259887.94089286,31573.0513949873,22649.1869846748,44708.7289667613,28259.386455599
2023,266479.877618132,32669.6037177308,23745.5138791344,47979.8903352507,30299.6691433801
2024,271839.473870617,34288.0135580145,24368.5804411376,51353.0568502847,32497.2140436988
2025,286502.824739162,36796.1500234514,25988.0811758603,55270.3252739899,35237.0750655918
